,name,minter,generationHash,listings,offers,gas_fee
0,365 Tentacles #362,"{""name"":""r1b2"",""id"":""tz2Q5AmNP45Z5KMmeK7ZYdXyLMkbhz82n6fd""}",onpEXK2mrvvNu3SdC8SNjQPEDXR2qfPavn6cUeei7NCY5fFuDX4,[],[],0.003954
1,365 Tentacles #361,"{""name"":""r1b2"",""id"":""tz2Q5AmNP45Z5KMmeK7ZYdXyLMkbhz82n6fd""}",onxYr52V9x6EayFxhbe9a367eTVSVQDW4zLZ3q3Q5T8XnVfGAS5,[],[],0.003954
2,365 Tentacles #360,"{""name"":""Chinmi"",""id"":""tz2LBpXnAQ9ZWuCoUUoeWEY8VD917P9GmyyT""}",ooRf3TMB2dV6cWNnUBZFjC98fHmpRRMr7qXdUVKSrn5WukKdUXW,"[{""price"":3456000,""acceptedAt"":null}]",[],0.00398
3,365 Tentacles #359,"{""name"":null,""id"":""tz1SqapWg43iSesMuAePSQL5eW4WsBC9Hrzq""}",oovaxksLfm6G5vYg9cHvbzoGN3WDu9tVQVvs82ruab5HCSShVwj,"[{""price"":5000000,""acceptedAt"":null}]",[],0.103801
4,365 Tentacles #358,"{""name"":""UnknownNFT"",""id"":""tz1YhgsJsoyC5TPLFmbaNgWWNyYAavd9SLJh""}",ooK4pMnk8YD38zrKZtyP3JavfUiB3ub3sL8xSk69gXK2XZqAijj,[],[],0.003801
5,365 Tentacles #357,"{""name"":""moncil"",""id"":""tz1Qe89qNyUUEjpPwjW64AWvneHxVrd5wYqw""}",ooYdsDqG2hKFJi6ANpSD5khwH7uPfdGf1mBLbxEyQiFeqUCyJaS,"[{""price"":6900000,""acceptedAt"":null}]",[],0.003801
6,365 Tentacles #356,"{""name"":""inkmatte"",""id"":""tz1PCT2dcLu2GVgeC5tWw7x7fo9jCydcJqvs""}",oo9iMr23F2dv3jumadDMdZ7mBcecMRa4aFGiYzncJEaTU2imQuW,[],[],0.003801
7,365 Tentacles #355,"{""name"":""a dirty boy"",""id"":""tz1Yio7ieU81r7Wv9EDbLgChvYJv7BrgXTd8""}",ooK169HQnFZQ8dZY1R5c3nTUZraKrESBmhzhQkktrZ2wQsMtoh6,[],[],0.003836
8,365 Tentacles #354,"{""name"":null,""id"":""tz1McVAjR9YULDNWTUpSKtutjYCWzfKFF7h9""}",op2hfcVb1iYwdEG4dejBXmSrDTJHtaZZmhf5qmCT5dEMMLohyLm,[],[],0.003836
9,365 Tentacles #353,"{""name"":""Mr Blanks"",""id"":""tz1hgBnPS3hhCfxHQNyAaFuaoXdzbn3wRGuB""}",opCQHmwW6jAFmQXc22HkE7yiDpJMASSodSCrrnwLaskPXHRpYbD,[],"[{""price"":5000000,""acceptedAt"":""2022-12-01T12:54:44.000Z""},{""price"":4000000,""acceptedAt"":null},{""price"":4000000,""acceptedAt"":null}]",0.003855
10,365 Tentacles #352,"{""name"":null,""id"":""tz1KoicN2ymEbLKb1Hos5fy9B97h8VTz729R""}",onxoRYoqvDcf5z8VBcaavcycpfcBXDNnar1zpXXaeY5GhdmkEd6,[],[],0.003801
11,365 Tentacles #351,"{""name"":""The Italian collector"",""id"":""tz2UMY8owULYKsxQq5WwKaHJkXtopfymQ5HV""}",oorweKCSvoeZFKbn264QCz1oe6fAAFRgBMy6Bwnk5aU9sChQLUM,[],[],0.003836
12,365 Tentacles #350,"{""name"":""_0-0_"",""id"":""tz1cxk7mUBvBnU1R36sbf9tEZigLZcRcWE8k""}",oofjnKsFEHuBwK1rmPgi6dGnxfCXPKWJ35TUrJcxoNPKoBHfDqu,[],[],0.003801
13,365 Tentacles #349,"{""name"":""Ascallon"",""id"":""tz1QWpRs3mfYgZcaG62krPcACSeQLS4uV1WB""}",oomPUuSUtbD4nCwYX5K7QcgaXdJ8oyU6zW9rvTXhL1MXKZ91AEZ,"[{""price"":2000000,""acceptedAt"":null}]",[],0.003801
14,365 Tentacles #348,"{""name"":null,""id"":""tz1MKM6LEqbxfQrY1hCduvRLGAppcu4zvqsG""}",oopc2gJfdap5d1gcKiywS7gw9AQqCQGmCZzqW7S2Uaj4g7uijbM,"[{""price"":5000000,""acceptedAt"":null}]",[],0.003801
15,365 Tentacles #347,"{""name"":""Mr Blanks"",""id"":""tz1hgBnPS3hhCfxHQNyAaFuaoXdzbn3wRGuB""}",opXvyZLy3c23HnQovDTB1gEBSpFDoTVRSVNeyRTXFbtDKKrtwxb,[],[],0.003855
16,365 Tentacles #346,"{""name"":""a dirty boy"",""id"":""tz1Yio7ieU81r7Wv9EDbLgChvYJv7BrgXTd8""}",opE2ycmACAFejp8ETwApjQqp7MJVUjtoKJZDuMHVQBTduvRV5Gi,[],[],0.003836
17,365 Tentacles #345,"{""name"":""IamFred"",""id"":""tz1i4Z5LokDX8Vo1KXRv6QSkYmtNF5vDJ7ca""}",ooiNwgyDAQGqH8tKXgR2rPwa68eXFHozPL3CZ8A3CjZqq1GxsSz,"[{""price"":2800000,""acceptedAt"":null}]",[],0.003801
18,365 Tentacles #344,"{""name"":""benwellei"",""id"":""tz1hqvarZVcTrCrn7qYjVAWbC2cR7jYUDPZ1""}",ooWyfgRRGCMFgXxTsnvb6Ks443c8ZQQpYaWUCQ1j6g7EdERqmco,[],[],0.003801
19,365 Tentacles #343,"{""name"":""papayalunasa"",""id"":""tz1XyNJyqLS3nWLz9ecXwPokgzs3ptPypkaG""}",oo2j12NyVWbTYfDWgbcict9z55b7YDmGtXmgbB9xXTdZNuWqyUo,"[{""price"":3000000,""acceptedAt"":null}]",[],0.003801
20,365 Tentacles #342,"{""name"":null,""id"":""tz2PDF1Z1FnoqquNRtTeTejyq8vqqHBD99kJ""}",ooQboSGrF3CYjALhZ376rpCLaJtLUtGYWL8EM7bhEhyyqSeDpZh,"[{""price"":1200000,""acceptedAt"":""2022-11-19T01:26:59.000Z""}]",[],0.003836
21,365 Tentacles #341,"{""name"":""nftlobby"",""id"":""tz1iBxUkHhqArYB3FMo4tMWojYUNxL81qmib""}",ooyvJyZxWA6LSrSga7wpBt1Sov3Hqi62QfM24qj6xiyFVYH8ER9,[],[],0.003801
22,365 Tentacles #340,"{""name"":""imgreg"",""id"":""tz1eVFJgKtWeQ7TsQ1G1BWu4zY61i1XB1pii""}",opQWQUoXb5mY4puwVcQF4gKyPmh6cpjR642uvjSesMELxjU6cAV,"[{""price"":7000000,""acceptedAt"":null}]",[],0.003801
23,365 Tentacles #339,"{""name"":""johnp33k"",""id"":""tz1KjKfC69fqBFZZDTcLbLJpo4aGbLJP33KJ""}",onqLSDg7i1qjcps5zYzn9v3qVVGz4E84bFzT9rWmvSoJU8VLypT,"[{""price"":8000000,""acceptedAt"":null},{""price"":2000000,""acceptedAt"":null}]",[],0.003801
24,365 Tentacles #338,"{""name"":""Mrs BS"",""id"":""tz1X4dGCTCngqF8VAFtNArvgaQajsxREvnZZ""}",ooaFseNNEc65HcAXAKGLJi5bRTRqzTjdcXAYoh2jksRyBifanCm,[],[],0.003855
