,name,minter,generationHash,listings,offers,gas_fee
0,BRTLSMBRTHDY #365,"{""name"":""revdancatt"",""id"":""tz1WBfByKVzmEEJJCqgK4Dcz6W4DCCkgtNfV""}",oobvTsfbVkSB2nKxWFZG5BSi7HPsqgbRHiiiAy4CYKFwnDn6Dik,[],[],0.003654
1,BRTLSMBRTHDY #364,"{""name"":""revdancatt"",""id"":""tz1WBfByKVzmEEJJCqgK4Dcz6W4DCCkgtNfV""}",ooqiqAbJ6PjRSbKti43RNekM7gxAgEqixiyRcQtrNqJ4Srb32Xi,[],[],0.003654
2,BRTLSMBRTHDY #363,"{""name"":""bones"",""id"":""tz1VeGiVpVhT6HGF1T1YRkDNNUfDBquZDvkH""}",opYkRGhFhkzn7nkDVbEprNXx9aJwGX2ffXPp1QAyPAfmTFCM4iA,"[{""price"":5000000,""acceptedAt"":""2022-11-16T21:18:14.000Z""},{""price"":6000000,""acceptedAt"":""2022-12-15T16:15:59.000Z""}]",[],0.1
3,BRTLSMBRTHDY #362,"{""name"":""0xBlitzx0"",""id"":""tz1UpPYQT731pGSe2QH46d6G7o8hoMXaHhnY""}",ooZHXGwzrmiMzU37rv1hUF7Q2LnxnsqedH96bW9nHfKyy3i3YQX,"[{""price"":3100000,""acceptedAt"":""2022-11-16T21:14:44.000Z""},{""price"":20000000,""acceptedAt"":null},{""price"":12000000,""acceptedAt"":""2022-11-17T03:42:14.000Z""}]",[],0.1
4,BRTLSMBRTHDY #361,"{""name"":""vlad"",""id"":""tz1S3WpmfwTrMsAMWSzhFYP1sS9oSmpEAyKc""}",ook59AVyoTb68V9EK8iXLXddeXXqGfgj7seUUuQepjryYZUmBLZ,"[{""price"":3500000,""acceptedAt"":""2022-11-16T21:17:14.000Z""},{""price"":5000000,""acceptedAt"":""2022-11-17T01:40:59.000Z""}]",[],0.1
5,BRTLSMBRTHDY #360,"{""name"":""2pac450cent"",""id"":""tz1M299fiaWf521rrusTqbyfYmjtyZhyGYA9""}",oofvFJiFfsPoCYoW4M641vhfLdgJMvvpqZrhXmuwZVsW2b26Vin,"[{""price"":3550000,""acceptedAt"":""2022-11-16T21:13:44.000Z""},{""price"":25000000,""acceptedAt"":null},{""price"":12000000,""acceptedAt"":""2022-11-16T21:49:14.000Z""}]",[],0.1
6,BRTLSMBRTHDY #359,"{""name"":null,""id"":""tz1MguckT84YVv7uGoQeNLFMCf1RQwjSiqT1""}",ooDsLA2vKCX3njddYgiKfKwsJmHu9r3CdHa2vf9iL25zpbhG5PV,"[{""price"":7000000,""acceptedAt"":""2022-11-16T21:21:44.000Z""},{""price"":17000000,""acceptedAt"":null},{""price"":5000000,""acceptedAt"":""2022-11-25T14:39:59.000Z""}]",[],0.12
7,BRTLSMBRTHDY #358,"{""name"":""icons"",""id"":""tz1cGdvL2YBEGi2ekBzeLa1vbeRUKgYiCmEu""}",ooDA4BKqkWQ27sWzAJLFS584qNuAQzwkgsXV6gnn9fVowrmhS1f,"[{""price"":9900000,""acceptedAt"":null},{""price"":7750000,""acceptedAt"":null}]",[],0.2
8,BRTLSMBRTHDY #357,"{""name"":null,""id"":""tz29sjgBVYt7ZRpo2zcSxDNrogUWCvxhjssD""}",ooM46cTtDEH6X8c6tEB5gEyk9etfSbcxEDEDn4iJh54gqd5Ph6M,[],[],0.25
9,BRTLSMBRTHDY #356,"{""name"":""seventeenblack"",""id"":""tz2LXbRhJdbHCsG5S6BydPLFg3YFTaGmG69S""}",ooSS1LzYWhXkDiVVkLVB8Z9PeESvskhMjK2ubMx7v4m2deLCbw5,"[{""price"":10000000,""acceptedAt"":""2022-12-28T22:29:44.000Z""}]",[],0.33
