,name,minter,generationHash,listings,offers,gas_fee
0,Binary kaleidoscope #192,"{""name"":""xarop"",""id"":""tz1UA97Uf3hQuZZyz3j8uBmERteTzLw97GJ2""}",onsHEyWzNhswJbtBfFXYTBcdTEQTJyfj45NwfueJFmeSb4Qr4Te,[],[],0.003687
1,Binary kaleidoscope #191,"{""name"":""xarop"",""id"":""tz1UA97Uf3hQuZZyz3j8uBmERteTzLw97GJ2""}",ootPW9R2aFAVjPUg9uNcCuqdxo9i4Yyd1BR987a7fevQbK5xTgV,[],[],0.003687
2,Binary kaleidoscope #190,"{""name"":""xarop"",""id"":""tz1UA97Uf3hQuZZyz3j8uBmERteTzLw97GJ2""}",ooPynVoHVYtsYwR2mxTsWM7oZkpacYtH7VPCLLiSLEaJTmYa7R8,[],[],0.003571
3,Binary kaleidoscope #189,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",ooxnYrBrL5rRhig6o7sCU85QV6ibpJASoKQhjdtE69uuSqgT3Ny,[],[],0.003687
4,Binary kaleidoscope #188,"{""name"":null,""id"":""tz1UtyW75ysZqDL8d94Zddu6ET2htnpKnjrD""}",op7vAM4W7dqzPTvKGK6XXmrqo9SjUsCVkutXdVvcFurepHwuxiu,[],[],0.003687
5,Binary kaleidoscope #187,"{""name"":null,""id"":""tz1UtyW75ysZqDL8d94Zddu6ET2htnpKnjrD""}",oodR7hNo9zSYct6NDsVGKTMyVv2BVyABUFyuxXmLJutEZkNcFQJ,[],[],0.003687
6,Binary kaleidoscope #186,"{""name"":""=  "",""id"":""tz1MtMwpTM5o4uMq2g8EjbVEMprYNRki6AAD""}",onyPX1UTvqVHmqnK523fzdDa6sJuCk38aEsH8Jf5qLdF1xA6K11,"[{""price"":10000000,""acceptedAt"":null}]",[],0.003633
7,Binary kaleidoscope #185,"{""name"":null,""id"":""tz1MyHghv8FzXcRBFKZYg6fzggDbjDr2UT8Y""}",oo6BWe3gonsVGFDF2Yyc3npeiwyt3qLJJxjfSsgwp4m9vpGVPHr,[],[],0.003633
8,Binary kaleidoscope #184,"{""name"":null,""id"":""tz1MyHghv8FzXcRBFKZYg6fzggDbjDr2UT8Y""}",ooYobFN9fjHcu4AR7AGeZZcLEq1VX1EKTDzai6k5FCkWtxA9yWU,[],[],0.003517
9,Binary kaleidoscope #183,"{""name"":null,""id"":""tz1SiyERS7zq1qMBc6em6pEEWajG7Lww26Jk""}",ooF7UF5qsYfaZGh6xaDGzoHEX6aN1gzdNTFsuTajpeE9yBzVUnc,[],[],0.003633
