,name,minter,generationHash,listings,offers,gas_fee
0,Capture #365,"{""name"":""Pixel Planet"",""id"":""tz1KvyACq9emYkpEYhXJLvY4vC1EWXxHxpis""}",ooYtZuYEfDzpkoJn7TWubD9yvh9w5JroF9rB2P2sLwUJSgAjpZz,[],[],0.003858
1,Capture #364,"{""name"":""P1x3lboy"",""id"":""tz1SvJbECAva9gxczfBmX3CAFUszgQXNgsNm""}",opQu1A3ftApdC41eoistXXmYRirzTjpvpP9vgeNNeRJJvHrQPBC,[],[],0.003858
2,Capture #363,"{""name"":""Pixel Planet"",""id"":""tz1KvyACq9emYkpEYhXJLvY4vC1EWXxHxpis""}",oowdYSut2iFVLsyYn6bmzXxcfSoc7LjwV9EYDXcjb1Prtb1U5Dm,[],[],0.003858
3,Capture #362,"{""name"":""P1x3lboy"",""id"":""tz1SvJbECAva9gxczfBmX3CAFUszgQXNgsNm""}",oo1UxtRsSqEottEcfNcj9e8KjtEdYYVKooiikymkbLEmM8zaGJn,[],[],0.003858
4,Capture #361,"{""name"":""ffcbr"",""id"":""tz2DiaXdcqpRUxv1fJoBbmwtq4Y91ujJhcJx""}",ooSuhE7nZgFocppBARjsnYiCeKb4oKXcG79WqZW7QseC1Puuyxt,[],[],0.003894
5,Capture #360,"{""name"":""David Brice Allen"",""id"":""tz1N8iC2rP1NuzRRvmtn6szfAMbcdnmZ5GEM""}",opFRPLeZCj11e6YwfFU9Q3kG4ggVLpBdUbgNa3mPyoPMZDuEHwx,[],[],0.003858
6,Capture #359,"{""name"":""geoff.tez"",""id"":""tz1i7tKfmok8uX9VhaZZSoxbMGVYgXcPSb6U""}",op1crJmaFLFvUtogzviYoqeYWMS8Rh54VDsC9ZNt3XdwZ5PniiC,[],[],0.003858
7,Capture #358,"{""name"":""Macintosh"",""id"":""tz2MPW1eEfa1NR2HFnr9SUnYS6c25bHNKW91""}",onsUkFVaoc5mZnicqY3Zd7tdukkhSQWoQ9BXHQSbzf6HvczFxe7,[],[],0.003894
8,Capture #357,"{""name"":""Collapsar Beauty"",""id"":""tz1TQxnyRN9ju53bkEYHxK6m7yXxsJ244MAF""}",op8a3HxR6YfytT7FCbr8pPtN18AHWRheEf8tNUDLxB2Ft8hD5Zy,[],[],0.003894
9,Capture #356,"{""name"":""speginel"",""id"":""tz1Ki1Fmi3TX9kRRBVY9LYd3CqEiofvMZMGN""}",ooeMwkU1TgjQxU4kCJAMkNmMPjGx7ZDdoNQUBFkNp8q9o3Dfa95,[],[],0.003894
10,Capture #355,"{""name"":""david"",""id"":""tz1ULeC5qpJvYzC6SVczEDdoGuVV7w4bqH2f""}",oonr4MAXQ4mjWuQVzCXev2B3AGZSptTScLio2tfw6uVjB34SnkN,[],[],0.004067
11,Capture #354,"{""name"":""pixelwank"",""id"":""tz1fPR5U9vvCJMjfB5gFjgAGB2eD76arskGG""}",oo5DawhW6dk8damZimxoJLjJ53vhXPxeZ4nvFejoW4FKSzkSo7g,[],[],0.004165
12,Capture #353,"{""name"":""wandurz"",""id"":""tz1UJd94Mz9pyLzfC8SAZvTdDHUs5qkFvucK""}",onqh3t2HrcbXAdGqbuXLUCs73fmKVDWPMWw6ch3pwTPhwpVc9hZ,"[{""price"":5000000,""acceptedAt"":null}]",[],0.004124
13,Capture #352,"{""name"":""wandurz"",""id"":""tz1UJd94Mz9pyLzfC8SAZvTdDHUs5qkFvucK""}",opLav3MXRSmTSJ5PHMTqCxWXg3cfZ2HBEaRcbhztyoWKvyvg63h,"[{""price"":8000000,""acceptedAt"":null}]",[],0.004067
14,Capture #351,"{""name"":""Diego Pintos"",""id"":""tz1gLrwunGDkA25gBojS7gLeHF3EonHSqN6r""}",ooGoPWi4yweZ18293W2WxeqMQJgSbsLeteD8Ugk5csksjWXnx4Q,[],[],0.004107
15,Capture #350,"{""name"":""powlozzi"",""id"":""tz1PSt5Sc8xXGKZxC7UGbp64UevSWnVMrojC""}",onfQskNdzYRN4pweckhfx7ydjpej8szj9FDdDcY1cPMELVLdT87,[],[],0.004125
16,Capture #349,"{""name"":""Just a wallet"",""id"":""tz1SyrTbRRhke2vsbVvfCuyJJSwS1oDP9VEv""}",onqzNcHU8nvHsh3KwUKg2HnLjHdfSLGU3ry2gH1N4tThJSBEqWY,[],[],0.004106
17,Capture #348,"{""name"":""LeonardoDeNFTs"",""id"":""tz1X3LxgF1A23QW5ojvDfoFYM591cFeyFVtr""}",op3tTZzq2Y7yu8Byo5JvSqWU3mqCbAFBLo2ru4bWcvsLyJ6AT84,[],[],0.004165
18,Capture #347,"{""name"":""hereforthis.tez"",""id"":""tz1hk9DcELXzt24jK6Dh3RkFkZHsQ95Jzaas""}",oo6KkmrjjwgrfgPVQb3WVzAhDBwMVpewun8e3dNKsJH61e5Q42s,[],[],0.004067
19,Capture #346,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",op4scCkA6yMWMmeGDh8nHYrKN77TshNLQA9ojTNEoExw3R7x4Gq,[],[],0.004067
20,Capture #345,"{""name"":""WTFiZthiZ"",""id"":""tz2AShGBaSkfmQnYXyCjHnwbXirpUzaSh3rJ""}",opWadDYcBQtgbKkS9xxu5yXqwdNVkJHuJP4EGcU8QUKmRsWUTRP,[],[],0.004165
