,name,minter,generationHash,listings,offers,gas_fee
0,FHX-1 #365,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",oocDSbrkzjMrxuz4y2Jje1MWK7YveZiVgce2AnHnDk1PG4wEe2L,[],[],0.003838
1,FHX-1 #364,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",ookYg2RexQHvMpQrrmqv31QRVNxkG7Y9pUtLJStu3Za2A29PAar,[],[],0.003838
2,FHX-1 #363,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",oo36nEVeSo8RbtUApA3jTRCPZjzgVVTjrpQGSVsD7zU5rHS1nHR,[],[],0.003838
3,FHX-1 #362,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",op2SRjmu4QLQ2vsuXyaBhKLxZHH5UFT47uuWeMbQ4H9E9CUs8py,[],[],0.003838
4,FHX-1 #361,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",opZB5iXg7io1MbkXoCoVqmRGazLwXisMrkcS2isEqjsFExWXAWa,[],[],0.003838
5,FHX-1 #360,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",op2AL4vXtG4PRSwHX9MPuCCu7EMGNH84F1JQzM243abUv4sNZQZ,[],[],0.003838
6,FHX-1 #359,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",opNsjhKgfMEod4E6sD6XrGpfRHm23QEh53r5k8yBeTq99GDwCBy,[],[],0.003838
7,FHX-1 #358,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",ooxq2y13fgqytZhgcJiuzLUPMepaT4QYfSTPLvYUFLHSZKQRZGU,[],[],0.003838
8,FHX-1 #357,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",ooZAHNk8Ft8r2WMqTdz6oxq6VqsPg3tEQ79khnskXTTD9rgykUA,[],[],0.003838
9,FHX-1 #356,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",oo6jjivPQKoRLMKoZopi29R2oYtbASBpXMstKBCZ8wVacPRrNDj,[],[],0.003838
10,FHX-1 #355,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",oopKP8Zi4a5fctu8Z75yrWzKn5aL8m19tJRRFBQAj7AimSPbAgV,"[{""price"":40000000,""acceptedAt"":""2022-12-23T01:53:59.000Z""}]",[],0.003838
11,FHX-1 #354,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",ooQ4shXN6WSXWHHnPMcMDNp4fxcFP4aLrAJUCohowgeYYuCkzbk,[],[],0.003838
12,FHX-1 #353,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",ooS41f89DSmfqGWSJGYmtGvtZnhnJKcsgSUba2yQwPf7Ef8YAMB,[],[],0.003838
13,FHX-1 #352,"{""name"":""Kollekotor"",""id"":""tz1N9xdFKfTf3P2t3DasAYKVjnLQZZ7Am1F4""}",op2bDjDBdxH9c2TjzE5PfAQEF1HsiPZGnZuvZZZcPKiYnse9H3E,[],[],0.003804
14,FHX-1 #351,"{""name"":""ajberni"",""id"":""tz1dZhZ9Y3FeXDpVuVMms76voGMUvu72YWMf""}",op82EEykDuTaqqQPbAkx94s2M4777bQqH3kFFbMmbL8oGzAzGmR,"[{""price"":14000000,""acceptedAt"":""2022-11-20T18:30:14.000Z""}]",[],0.004113
15,FHX-1 #350,"{""name"":""6urk3s"",""id"":""tz1gy8GcobGodeJnWaVpLYv3n7oKkoPugxP8""}",oo2DukhVNDMsvY3gx2DTo58NzWmozRgcSJV3AvGfzBND5zFYbwz,[],[],0.003986
16,FHX-1 #349,"{""name"":""lemonde2d-vault"",""id"":""tz1c7zSkZF4rJg6xtjhVJ49WQYFpRpGxWkJV""}",op4cbtMVKqyV3iJ6i3hqEqMB29ijSWNCU5qrgjCh5RtZTm7P1ah,[],[],0.003971
17,FHX-1 #348,"{""name"":""rod0lphe"",""id"":""tz1fypcQTmDfiQGj95TTPA15DrZdgaWrBY2L""}",opXVbXTgxTrP4TTfcLUSjMaAUy8dwQEThJycUNP4Wr89VZ5cEG6,[],[],0.003986
18,FHX-1 #347,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",ooj35macCvyTEATu7M7W41v83rBzpMtKgkKHxpUivq4VJdpJ1Mn,[],[],0.004024
19,FHX-1 #346,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",op81tmpwJaxMEofBnHYRbtCBP9A5h76nyyN2LMigsggMSNy7Wym,[],[],0.004024
20,FHX-1 #345,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",ooqHp4Xunhcst1NJGAdPUrit2yHHJu8JzdFwW16zoLa77DmHGXf,[],[],0.004024
21,FHX-1 #344,"{""name"":""Thomas Noya"",""id"":""tz1d45wFbpZLqS4SPoMRnEbhLopFt7zBhW3g""}",onpKHej9R2fheUAi4LvQTxGfpb9d3M4oZ4sFxKPCMvCVhY1rknT,[],[],0.004024
