,name,minter,generationHash,listings,offers,gas_fee
0,Fragment of Time #365,"{""name"":""spirouzi"",""id"":""tz1dxJQUkh3uaFy1bPgeCV3jJMwPnBwmZSHn""}",ooynZSNy3e2e5mrt4mirNussSsbit68Kpfa64hkSxympZHrSMAJ,[],[],0.004095
1,Fragment of Time #364,"{""name"":""manggaminggu"",""id"":""tz1b9YUVtMNms4vpYjxL6TqdvChF3sU31khh""}",ooFsUp8AAYmEEZG329b7BRtrhtuXjoKkn8o7Co8Fod3Nm42iVJE,[],[],0.004095
2,Fragment of Time #363,"{""name"":""sundae_mango"",""id"":""tz1Xn6xgi84EyzwW2cH8vwDRwY8TZQtrD7Sc""}",opY4SE1auBcUgvGWqAXAjkC8h8tnYLw7toGmywz2YQ4V9kYfJYu,[],[],0.004095
3,Fragment of Time #362,"{""name"":""Smarahakim"",""id"":""tz1SmnB3u4PvJYRGxmePASt7e9uK6qWYYjEt""}",op8z2pqsAwn7MXN62kNgY69VFaQ2azuaaHiCDx4TUsGAQp3XYty,[],[],0.004135
4,Fragment of Time #361,"{""name"":""tito"",""id"":""tz1fCs4TPBE3GwYm1dsfXaxjVBqhTF2HwqLv""}",onugVmPK2KPbzAfc4XTnGiA1ywzxKzVm3ckSxBB7HQLK9rEAqJ9,[],[],0.004095
5,Fragment of Time #360,"{""name"":""Dirbots"",""id"":""tz1S48xQgmciATrngqM7UWX6PX3s9Jp7qw3K""}",onuSMkcugQ8W4XpUFCVpM5Z361hTFQYepzLU2QFRrADt6aaGqQM,[],[],0.004095
6,Fragment of Time #359,"{""name"":""Dirbots"",""id"":""tz1S48xQgmciATrngqM7UWX6PX3s9Jp7qw3K""}",ooe94HBuLdzAiiuxaqNDt8AxwnVrTHAAhKyWMFrQBnoH4MZeoRq,[],[],0.004095
7,Fragment of Time #358,"{""name"":""MEK.txt"",""id"":""tz2W3nHza52fLGAizWGksUzgDNPNxmN4XVVz""}",onfD3LNSfmzuGpNqzPpbV3TxvghYhZWrPimPr1GX5aU5VSM5jL1,[],[],0.004136
8,Fragment of Time #357,"{""name"":""Dirbots"",""id"":""tz1S48xQgmciATrngqM7UWX6PX3s9Jp7qw3K""}",oodY5xWdoWobCjP7PzZa36nYPvGAXG9LNnUqosGUvRuqmLmDiTM,[],[],0.004095
9,Fragment of Time #356,"{""name"":""Esconar"",""id"":""tz1bFXkoaGKEphKQv2uh1qTNQwcTn159mteL""}",ooaxfQ9A7Kua8MVNYP1dyhB5yove5rJCAYEMutYi3Uh8iYJqxWq,[],[],0.004095
10,Fragment of Time #355,"{""name"":""Metama"",""id"":""tz1QLGZW7ejFcXvL7K1gmjcbDVE5Pmi1wMBV""}",ooLVqmNED7skMWVeGMuj7S4DGD7M6gJJXuP1obYjc2wkHv9snRu,"[{""price"":3000000,""acceptedAt"":null}]",[],0.004095
11,Fragment of Time #354,"{""name"":""Esconar"",""id"":""tz1bFXkoaGKEphKQv2uh1qTNQwcTn159mteL""}",ooWqPn77xmz18pyZRza9WXYTffv6XfM6kXaXmg53s91VEgyjVGT,[],[],0.004111
12,Fragment of Time #353,"{""name"":""anven"",""id"":""tz2TxJxEoQhd6FKjyFqFFhUXexH8dJKNBYMp""}",ontww6ndPePmZ4HrixTnDs4o6B6PCT6owKkbQA5scoEVeDQPagN,"[{""price"":81180000,""acceptedAt"":null}]",[],0.004007
13,Fragment of Time #352,"{""name"":null,""id"":""tz2WoeKhtQV7pJKEZkrRm3wNVt3RnJ1avRrD""}",opNEc5xsiutyJma1RugRU4LViuCkxdXC9DkTXcEmtMU1bDR6qkH,[],[],0.004007
14,Fragment of Time #351,"{""name"":""WorkingAnteater"",""id"":""tz1ZaQTwDoV4wnvBZ6CnudFeZZNiSkCTzmXr""}",opSc2xqHrPfMherDfRJ642sBU9FxETYCfbRRm6B8FRFFTbX3ADn,[],[],0.004007
15,Fragment of Time #350,"{""name"":""dp17"",""id"":""tz1RBcq5HWsj57NXDgcjFH9y2RcCDjQBQcSm""}",oonjimWo3pNhVx8ag4rKPY1gkXcMPLUxZt9A25rmSkdEFV4UUGC,[],[],0.003969
16,Fragment of Time #349,"{""name"":""dp17"",""id"":""tz1RBcq5HWsj57NXDgcjFH9y2RcCDjQBQcSm""}",onqYHnX8CK49vut6DXwTvGXbqKfi4YQ3ewEzJYGqpoLcFqkxqkd,[],[],0.003969
17,Fragment of Time #348,"{""name"":""icons"",""id"":""tz1cGdvL2YBEGi2ekBzeLa1vbeRUKgYiCmEu""}",oogqXkaiguRESAiqGBFBVWXAuxmmszVaHwaojwNKXFEro5D2342,[],[],0.004007
18,Fragment of Time #347,"{""name"":""æther"",""id"":""tz1XpFAeKEyiNf3GcyhwdPZHiJ8BuwK9APvX""}",oozpcTKGZzPjUe3ysbMKpePZioY5aw1Z58DQeJiuxf5Sgy8cfsH,[],[],0.003969
19,Fragment of Time #346,"{""name"":""É-É¬"",""id"":""tz1iFDsN7uxDwgoviroSEcqWKN3kQUxPMgVv""}",ooWyKihja8vADiqTg4mJhfbPCrv5opfXxHjKdbk4fq1Td4WBrio,[],[],0.003854
20,Fragment of Time #345,"{""name"":""Hiamona"",""id"":""tz1NxRKvfmGdeWRNnX1u9uALoWHkkqwBGTZV""}",ooWRjf5DpAPBSUMfgijyj2PxAZRvmJhRxkW3z24cmYSxHgzGAcL,"[{""price"":3300000,""acceptedAt"":null}]",[],0.004111
21,Fragment of Time #344,"{""name"":""Darkspawn.tez"",""id"":""tz1gcwAKQXcHwtciPbqfjyQWzy2XGsVD2G1M""}",oo5oqF8SqbNHup2tLsmrGbcu5Kq9m7G7gTqTZ7aCqZd1WsbKRGN,[],[],0.003969
22,Fragment of Time #343,"{""name"":""mimemi.tez"",""id"":""tz1cShvCzAFnZzPsrwSvgCXvBt5Cvnj6DGW5""}",opEzGoNrFbHB9ihuDXs2LojhgmLJg6xmNcihDiXCJJtVkUCbfgW,[],[],0.003969
