,name,minter,generationHash,listings,offers,gas_fee
0,Fx(hash) Generative Birthday Candle #157,"{""name"":""A R T R A"",""id"":""tz1VGZPvqytFVAoSAsM8VrUveJdL3PpVy6K9""}",oos8rkzcrpqpodSdbnqDUEUWhitZyGYCJjf6Eh6cGNKukAySPzu,[],[],0.003631
1,Fx(hash) Generative Birthday Candle #156,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",ootT25k12kQamqXw5j1ib1pgFL1XAu4Nyi6gRvmxdAqiyqWS2Gh,[],[],0.00363
2,Fx(hash) Generative Birthday Candle #155,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",opAgB3Wa8TH99NgGuGS4ZbU5SeBriqNqZ28nBZkEwFfoBSxwkWS,[],[],0.00363
3,Fx(hash) Generative Birthday Candle #154,"{""name"":""V5MT"",""id"":""tz1LAdqCcvhj438mV4ADMuGkhtyjMJgqPnYX""}",opTwT2UbZRV5aTMt7ArJkw5iTkqVh2aoY9kWTrDh9PecWTvZVSS,[],[],0.003632
4,Fx(hash) Generative Birthday Candle #153,"{""name"":""V5MT"",""id"":""tz1LAdqCcvhj438mV4ADMuGkhtyjMJgqPnYX""}",ooqCDieCLGL7kjXYDZxssSHJNngHrgKqqK4wh4s23ztkozqXL8N,[],[],0.003632
5,Fx(hash) Generative Birthday Candle #152,"{""name"":""BullyzOnly"",""id"":""tz1iHxYmzgjFxuRX3BR5VpTYgCSH366CdQMA""}",ooTEtCDzEVcefNYrCQ8jAdxeymSCQRKhGsTxS45oquVn1k9tq31,[],[],0.003664
6,Fx(hash) Generative Birthday Candle #151,"{""name"":""rstanberry.tez"",""id"":""tz2E1NgAzYxaxZT3WbwN7nPSKwtRzpWHoo7G""}",oo1WMNNNTwtDnhvRDUqeiMKX3nbWdGQNGmGHVSyD5gLbd5UJThu,[],[],0.003664
7,Fx(hash) Generative Birthday Candle #150,"{""name"":null,""id"":""tz1aT6o4UbLe9joHZ5nJiLmcsxvrRRSfXw7a""}",opaCt8hbAucBGTSQjjewDn1AbKmDoAL3DfgnpWa5583Y8vkoN9B,[],[],0.003632
8,Fx(hash) Generative Birthday Candle #149,"{""name"":null,""id"":""tz1aT6o4UbLe9joHZ5nJiLmcsxvrRRSfXw7a""}",oooTjmBXAkPPoBPXrihxJC4dxEbuwXWFABSP8cWe2J6wiXib5mR,[],[],0.003632
9,Fx(hash) Generative Birthday Candle #148,"{""name"":""nftTerr0rist"",""id"":""tz2TPkHUKDU6h6AyrcS5rHLw2LACzGUDdGjG""}",oooYLbwXuFEQPhx6dfXMvXCiUMCx88bksyFt9kjwqfwZPqwVydF,[],[],0.003664
10,Fx(hash) Generative Birthday Candle #147,"{""name"":""kefan404"",""id"":""tz1P3QobR3vLkspkLfBLGRBqgCBRCxcVSsuZ""}",ooXEjzqMK2Tncv3dHt4ZL9dB9Fskt8YSJACARE5kRiC7BQgxGNk,[],[],0.003632
11,Fx(hash) Generative Birthday Candle #146,"{""name"":""Ron Harpa"",""id"":""tz2FaPzYZ2ZRm5EAskxJ3PHnwun7LNeUMW8i""}",ooywerX6sPct5jn6DMesCiRaC5nMj936622ubcxZXXWFopTN3xv,[],[],0.003664
12,Fx(hash) Generative Birthday Candle #145,"{""name"":""UNKTUKNO"",""id"":""tz1SWvGqJoePkrXRdpsXMoyvvppW1VwKTDm8""}",onyjFKn7aG9hXLA6iTspRUrmFaNxNPDPMEf8SV7Ckw6jLoLXkgz,[],[],0.003632
13,Fx(hash) Generative Birthday Candle #144,"{""name"":""fauxjebus"",""id"":""tz1WusSKVn2eN1S7MeFGe48P4fKjMbhFa5TU""}",oo96cNBR7y5KsQWryd44Dk63FmgajdqZQdYWxV26vKtjsMPsbaq,[],[],0.003664
14,Fx(hash) Generative Birthday Candle #143,"{""name"":""fauxjebus"",""id"":""tz1WusSKVn2eN1S7MeFGe48P4fKjMbhFa5TU""}",ooVHpQVLmfXQJgcGnFWiHcVr8qgMsnncjhKsuPqRi7wqFZ6QYZo,[],[],0.003664
15,Fx(hash) Generative Birthday Candle #142,"{""name"":""rudya"",""id"":""tz1Yu24ewNX9S5tUMBzBbjMpdwV8zB25dPcq""}",opFMkVuJvmHP1SqTUbF9n3zsxc7HWqLsrjHfxwLWEypz8BkFpem,[],[],0.003632
16,Fx(hash) Generative Birthday Candle #141,"{""name"":""anaglyphic"",""id"":""tz1hkKqGk3fPPYroNagWpWsxxV3x8P8jqwp9""}",ooq3By4yAZtaj6D6HGQbYjkT9UmyK96dnKiChkXjnyXdf1Pjwuj,[],[],0.003632
