,name,minter,generationHash,listings,offers,gas_fee
0,HappyFx #365,"{""name"":""Lammetje"",""id"":""tz1VnepzAtPKpQhC4jh9cCbxhXwFKTQxrhzZ""}",opU8ZtBMaHXfNhYceam72Ckymmd2frna5oPQuuWxVLLrNNVaTqA,[],[],0.004636
1,HappyFx #364,"{""name"":""lone_mallard_"",""id"":""tz1Ln4QHmphUY4MP9PnnYRZwSB3HZyyx2CgT""}",ooyJgXVUiQ7N73E8FijQYYHq66nns7ybx1PN1FWnwNMCXCX52gA,[],[],0.004775
2,HappyFx #363,"{""name"":""Niwin.tez"",""id"":""tz1iKFhTL3qvMZyGKReP5N7E3YFqjkQnm6YC""}",opP4c2Sy1kYgemVnZ1saFgFAnrV5WGHhUH3T6WApLmvNz5UTt55,[],[],0.004788
3,HappyFx #362,"{""name"":""roncrypto93"",""id"":""tz1fw9TJSPe9i5iurRVaNzMvSURyknXcEc5Y""}",opPoZqy2wnsp3SkdKvYgA3KxSk1cVENsqw2hZmuzScdfNL91EAq,"[{""price"":4000000,""acceptedAt"":""2022-11-16T16:33:44.000Z""}]",[],0.004786
4,HappyFx #361,"{""name"":""Lammetje"",""id"":""tz1VnepzAtPKpQhC4jh9cCbxhXwFKTQxrhzZ""}",ooWQGSToUeMTY938MXnKoQTLsF8xtna37jYMeDR76JdpLhtpohp,[],[],0.004636
5,HappyFx #360,"{""name"":""Hervé"",""id"":""tz2Htxtd8xUW9C3qN1i2xvqk28xGmqwRQ9vg""}",ong9w8KY9sc1Como4sKEJWB5LyiaL8hX4UURJvpZST8BqYorf1v,[],[],0.004843
6,HappyFx #359,"{""name"":""hungry"",""id"":""tz2C571mwS7wtxyQiqTKt9xWsxPc2TwK5ENa""}",oomcjV5AwzfqEL6iu6Md98rVhk2oz6wi63cvaAEGLriQJNwem7a,[],[],0.004843
7,HappyFx #358,"{""name"":""Lammetje"",""id"":""tz1VnepzAtPKpQhC4jh9cCbxhXwFKTQxrhzZ""}",opEjYEuB3YY6c9oxy8BPGjzm7oYAizYkvBwT4H2m8tBAtw1UrXs,[],[],0.004636
8,HappyFx #357,"{""name"":""coinsherpa.tez"",""id"":""tz1iG16d1G7jutBWiYmZZqGsrjM3aPbx1VB5""}",oohdKdxmXDYPjH567jysrdiqJQieLDKmfqUcURzFXA1xUmrwXDk,"[{""price"":13000000,""acceptedAt"":null}]",[],0.004788
9,HappyFx #356,"{""name"":""JoePao.tez"",""id"":""tz1cz9cr3yiDowFzC4EDHoDQi5EpEqD8nP62""}",oo95X7HczJJXeiFtFErq6bXEDD25w1t8UgqSGk86pALtxS5WVnq,[],[],0.004838
10,HappyFx #355,"{""name"":""OCitsme"",""id"":""tz1UNTamApRkCZVhNUW8CeKBybNrxkJLQnTp""}",onv2XNPK6DYrjxVK8fWhB8bfkTHk1ZNXoYtfbgvKGsGVphyGXjN,[],[],0.00478
11,HappyFx #354,"{""name"":""Ferdinand Dervieux"",""id"":""tz1feMcGwjomdn1mRCpZh9pgjMkBZkRy7jEZ""}",ook86RZ8C3hqVkyssKBPsdtPaLZrNYD5kwtMS8UxVhKj95U6m4s,[],[],0.004786
12,HappyFx #353,"{""name"":""TheBenMeadows"",""id"":""tz1d6Vh4PPBs9siz63MhCFZ6EaqujYxto2AL""}",opPiLTBq5sqYYUstvCqgtjARV9gfhs9Qom2pjvaA2tu2BCwFLkR,[],[],0.004926
13,HappyFx #352,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",ooDuEo7XYbRpafcBKupsF6a7Y2291koSsd8Vu7gtXEuYBGuEf8H,[],[],0.004843
14,HappyFx #351,"{""name"":""ztarshine"",""id"":""tz1cqfCUyco1YFdSaRWVumnR6qy1KTa4xYXu""}",opagGt8UUGfYfYQT53x8nX1g7vWisgyfd4GT2VsAW7hBN9B8rkr,"[{""price"":10000000,""acceptedAt"":null}]",[],0.004784
15,HappyFx #350,"{""name"":""Bzzhg"",""id"":""tz1U2k1rW4isR96Kk2cqd95Ypw2DXgnhDrD2""}",opMEmwhyoMVepSMXe7CnFxTAqtPTx2YftNTCTSk9Zb8voSCXwk1,[],[],0.004779
16,HappyFx #349,"{""name"":""vortac"",""id"":""tz1UwwR1WKWuTVjNtUc2ewPNUbSW4rVV2fBH""}",op2ADic8Z2NF1xTraXQts8EZSQFdMY5fYMw3xnDZFsXruinhVTs,[],[],0.00478
17,HappyFx #348,"{""name"":""Lammetje"",""id"":""tz1VnepzAtPKpQhC4jh9cCbxhXwFKTQxrhzZ""}",oo5fQFBoRTnJ8WmVoZPdi26iM1oNPskwozuvRMy2Zq8qghfEjXj,[],[],0.004636
18,HappyFx #347,"{""name"":""aotearoan"",""id"":""tz1gSQuwcbbRNS2aaPbYDcisgw5LeraPzDVH""}",oo6K2Y3qFFnzrYzkzF4BysceYvsG7tMt9BsoUrVQHe8W5Kzub5a,[],[],0.004787
19,HappyFx #346,"{""name"":null,""id"":""tz1UChu4KdjqtfjPaGQGXCrpDyZMj21v7dVq""}",opTeoBRKSmpa795WXLhHay2EqCxhhn7yqgXUmNzohMgHDH9yc4H,[],[],0.004779
20,HappyFx #345,"{""name"":null,""id"":""tz1YMSz2fY5HxFBqUqodGbY4UxAafnkW5BMG""}",ooMApALkgiDtt42qT8VBUGFRdDqNXWsxoo1iFyzXzJzDrhu8HNb,"[{""price"":4500000,""acceptedAt"":null}]",[],0.004782
21,HappyFx #344,"{""name"":""wahrscheinlich"",""id"":""tz1N8aumRsypoeiXUn19xtp2sYMiYDQvpgrX""}",oonZdq9osXdBo8pGVhgknxWDVsSAGhJW14JUu72QTsKg2uY1K1V,[],[],0.004776
22,HappyFx #343,"{""name"":""seaneeyost"",""id"":""tz1XdNUbLj6k4ftvcBQ54Pj4DQaZ69UvwbZo""}",oonw12qED1uNSpWewuCDMcLVHdSEHQYYTWgcpUpnqK17KvEPm9R,[],[],0.004835
