,name,minter,generationHash,listings,offers,gas_fee
0,Harmonies #365,"{""name"":""Steev"",""id"":""tz1TrdUmCjzTHZEe4fMYnWLqAkQ6Ac6E1xQA""}",opMYVunt5uYxktS4mPHdpZaZJEemEPz9UrQGv93GtE9jDGCAnCL,[],[],0.003859
1,Harmonies #364,"{""name"":""Murat Atimtay"",""id"":""tz1XvP1MfRgh6DbHhVXK5TTqKznV5MYCGoMv""}",ooVGiBdhSoV9aqyemZToXfXLx4Y91phgMEwrVnwRiMyzWcG3Upm,"[{""price"":1700000,""acceptedAt"":""2022-11-25T06:29:59.000Z""}]",[],0.00384
2,Harmonies #363,"{""name"":""SNS_"",""id"":""tz1NxcCsoMUydEe5UeFnKaQby74Xiw18B6Ji""}",opTFvsVz7wkyW1n3CYLgNK3t543otzoJeuBw3dHSPBjZELJMan1,[],[],0.003859
3,Harmonies #362,"{""name"":""Murat Atimtay"",""id"":""tz1XvP1MfRgh6DbHhVXK5TTqKznV5MYCGoMv""}",op5eR1ZWmTgNgsrLe5ms7QHKmyRWXLHT8Q32Lb7vzCwebsoHUQm,[],[],0.00384
4,Harmonies #361,"{""name"":""Murat Atimtay"",""id"":""tz1XvP1MfRgh6DbHhVXK5TTqKznV5MYCGoMv""}",ooEFukYEsN7XtPJVeo4fULYRadU9KQkUomchL5DR2gJRzL4nBxQ,[],[],0.00384
5,Harmonies #360,"{""name"":""Murat Atimtay"",""id"":""tz1XvP1MfRgh6DbHhVXK5TTqKznV5MYCGoMv""}",ooXNXTjaakDJgRnRUGjbT59UK3xgs7rqq2mGDeYMwu7zWhETRku,[],[],0.00384
6,Harmonies #359,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",oo6bGvyw3ZodeSYKemDwMTntNtStmYTPeqLA4dt8eSw637uJWGA,"[{""price"":4650000,""acceptedAt"":""2022-11-21T03:03:59.000Z""}]",[],0.003688
7,Harmonies #358,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",op4mbF2XE52tDCYKarBKUFYV7nep431HSzdbHVZ3RuFrUBaP4MJ,"[{""price"":4200000,""acceptedAt"":null}]",[],0.003688
8,Harmonies #357,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",onw2KC24zgLoCm2Tp2SAanKjLTw1AdyUiavjFsaPsTsegWRB7Ka,[],[],0.003688
9,Harmonies #356,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",oo5XQ7ijynnSUeN9BLHb47fjYH4MSLt1xhmTM4EtubcpPFFoKnR,[],[],0.003688
10,Harmonies #355,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",onzbqGU2jwuKqSYe5y4yWG7qyTpZCKdJVVKD2ySiwV6CnfNtovs,"[{""price"":4200000,""acceptedAt"":null}]",[],0.003688
11,Harmonies #354,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",opG5SdaesxuPYqtgUAiYMBEsUNhwudb6Z7GoNMWxw1suyAs7pSH,[],[],0.003688
12,Harmonies #353,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",onur9rtnmToeHTdjFFDkyu6iuaw6owA5Kf1hGfpG1oTKFCGL6xP,[],[],0.003688
13,Harmonies #352,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",op9vRZEuwS67d2iPtERSkGBZhWKW5WLQjrMmAzUF5AE99CP4rgw,[],[],0.003688
14,Harmonies #351,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",ooCpwHEuoS1LFokw75WSsp3A2uoz6X1SpMzy18681uM6rNFbD22,[],[],0.003688
15,Harmonies #350,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",ooPkyrSjyEoznxKB8yvEq8tg7f5vFhaTuDdaW9K9dxS794BSuhm,[],[],0.003688
16,Harmonies #349,"{""name"":""SOAPBOX1965"",""id"":""tz1UQSa7mYNT8BntyxkES1oBvPJr8vRYhmEZ""}",opKRYzjNBm5Myj9XutC3KRBovH4zJmfqsw3SFAtHn59WoAwkiS3,[],[],0.003688
17,Harmonies #348,"{""name"":""krush"",""id"":""tz2JqzdcGKcWai28kovwaCRA8nHFTAutvWmZ""}",oo7STAafF6C79tKJEAmBaFKtedKugXSgkvLWWyVYLwSHWCmB9CY,[],[],0.003722
