,name,minter,generationHash,listings,offers,gas_fee
0,Lory #365,"{""name"":""LauLau"",""id"":""tz1iLt7ssMkKdnpB6RVd9UbTDpA1zdEjJJqK""}",op5nop2MxZsxpxu1bErDuuPmnvJ8sZQibCZF4KNSFaha6wJnsbu,"[{""price"":7000000,""acceptedAt"":null},{""price"":4900000,""acceptedAt"":""2022-11-15T19:12:14.000Z""}]",[],0.5
1,Lory #364,"{""name"":""Pablo Emílio Escobar Gaviria"",""id"":""tz1WBEVuerEk2gDoTSZX5fS7YiKKPQ92RAvh""}",ooU1DvTFcNntXLYxDBEjy3KmzbrmVe2T2r9QvJs4tZcRtYgqLqK,[],[],0.5
2,Lory #363,"{""name"":""mustard"",""id"":""tz1S5KnFCBLzjPK1ysdH4x1L9pskqi6JRZu3""}",oozRk9SXaP9vLVAbQKWtr2EDmw82kV2syS9SF1nQfo45hnDtoMJ,[],[],0.5
3,Lory #362,"{""name"":null,""id"":""tz1RwFi618uYevGdcErxmouS6gMbAy1NbCGA""}",op5WYDmoSGoNauaoWZAG4N2mYafwnv8su8c4E3qdVR4Tkz11ZJe,"[{""price"":44000000,""acceptedAt"":null},{""price"":9750000,""acceptedAt"":null},{""price"":6900000,""acceptedAt"":null}]",[],0.5
4,Lory #361,"{""name"":null,""id"":""tz1PdyMfZRRvnXXZgUQykZ1nvjctUg52gfBR""}",opX3Gjftpn6f2smpDGkC5wetFb3Y6687Km1HX7yT3nb8kQcb1TM,"[{""price"":100000000,""acceptedAt"":null},{""price"":5000000,""acceptedAt"":null},{""price"":3000000,""acceptedAt"":""2022-11-20T23:08:59.000Z""}]",[],0.5
5,Lory #360,"{""name"":""shrimpy"",""id"":""tz1h2uK9nCke3AW6AXrcGyK78C2nsC4XTHui""}",oon76jZhghtgPNVe52pzTV16h1DSXSX6pqR7SBcbxv2KAYjuRSp,[],[],0.5
6,Lory #359,"{""name"":""Smallholder"",""id"":""tz1VYfWeGazFmBjtAqcfEnRRs5qp8R8YviS6""}",ooLDVDS6iSLitbyC3nd5gPzNCwko6Q4ZLhHEX3hZFSps4rTfSvk,"[{""price"":11110000,""acceptedAt"":null},{""price"":10550000,""acceptedAt"":null},{""price"":9550000,""acceptedAt"":null},{""price"":5000000,""acceptedAt"":""2022-11-15T17:43:44.000Z""}]",[],0.5
7,Lory #358,"{""name"":null,""id"":""tz1NxfQsjt72USsaDtPK3fF8Z1x3y4Y18wiJ""}",opBtBx2gJNRCtAXkZT25zYvHJK2JeMTJg4tFDHXvxoLdW2bUGcs,"[{""price"":15000000,""acceptedAt"":""2022-11-15T17:09:59.000Z""}]",[],0.5
8,Lory #357,"{""name"":""vladby"",""id"":""tz1fgqyqxfWK3FSWbrb1KfH9257am4fZmsqb""}",ooqsL3bRdC843BrergSaYy7rpo1XEgLTn7DjUeDhkdQQvA9KAJx,"[{""price"":14000000,""acceptedAt"":null},{""price"":8000000,""acceptedAt"":null},{""price"":3900000,""acceptedAt"":""2022-12-02T01:23:44.000Z""}]",[],0.503581
9,Lory #356,"{""name"":null,""id"":""tz1LNFRUunWhB5VJ648AqgZJFPnxhkQtciit""}",op2a4xLpdASYU7TDeSCCEGsQbYAQJ548vTQUW4ppoe6Mn5AiATH,"[{""price"":3450000,""acceptedAt"":""2022-11-17T04:23:29.000Z""}]",[],0.55
10,Lory #355,"{""name"":null,""id"":""tz1T1ivmH9dcqeazLC3oxWeEmT36sueeEyHH""}",onubsCzHwy6axYSjSy4eGEomqryGnwjBDpuw26bjHFUEeH6UXwU,[],[],0.6
11,Lory #354,"{""name"":""fantonbeat"",""id"":""tz1cWmjFkZzKWsuxKvrkLeS2tEVgzfVVC73b""}",ooTqqHUc83jeEVpT7Fg4BZsXJNoQ8DQC6y9B6SVB38voi76PTz4,"[{""price"":20000000,""acceptedAt"":null}]",[],0.6
12,Lory #353,"{""name"":null,""id"":""tz1L2RpupmxSq5P4VchfF4Yr8KdN2qEsqXq6""}",opMqAPnsDbv4KzdCFm4oUvdGo4gV7F6igQDs9tr8goWuCiJZDxg,"[{""price"":13500000,""acceptedAt"":""2022-11-15T17:15:59.000Z""},{""price"":10000000,""acceptedAt"":null},{""price"":3000000,""acceptedAt"":""2022-11-20T20:32:59.000Z""}]",[],0.6
