,name,minter,generationHash,listings,offers,gas_fee
0,Lucid Dream #365,"{""name"":""SegafredoO"",""id"":""tz1eFTs6QCrTpvxtK8nWN6w9LdNpG877TcGm""}",oohNpjLSZBQU5kyPvVjsNZp6R4bzzwkpPA3KW1qVh6bpCWnnPT8,"[{""price"":1990000,""acceptedAt"":""2022-11-16T03:20:44.000Z""}]",[],0.5
1,Lucid Dream #364,"{""name"":null,""id"":""tz1bbBLVByCUyfxFpuXJr3T7dmkZ1DZfE2Bj""}",oniRty2kpsQWfQhw8o6akkstF3h2Rm4zFUgyJRkoP88sfSRgBjp,"[{""price"":2990000,""acceptedAt"":""2022-11-21T22:53:59.000Z""},{""price"":230000000,""acceptedAt"":null}]",[],0.5
2,Lucid Dream #363,"{""name"":null,""id"":""tz1V9sRCDaG3fkEGgTJZKAbCspJGpEQn5hRG""}",oorChsHZJJei7nunUegzB9uqjVngCcVz1n7zJJaXEmUzxXhVwy2,"[{""price"":1990000,""acceptedAt"":""2022-11-22T10:18:14.000Z""}]",[],0.5
3,Lucid Dream #362,"{""name"":null,""id"":""tz1QfHrDDxQsMcvfGJ4eFWCjwMeYXGjq1cu9""}",oo8PMxqh1gCjKmS1jSBkXdErNEjfo7RyQChwbCuS7kZZeDCF85m,"[{""price"":3600000,""acceptedAt"":null},{""price"":2600000,""acceptedAt"":""2022-11-22T10:09:14.000Z""}]",[],0.5
4,Lucid Dream #361,"{""name"":""ArtistUnknown"",""id"":""tz1LMvSEVi43DTKpVLi7RjMaS544qZcRjRq3""}",opWwNWv5wm9dHNNhk3fuX4wyyMeEZm1MaqJzG41rVJdW8AgTTnz,"[{""price"":3300000,""acceptedAt"":null},{""price"":2300000,""acceptedAt"":""2022-11-22T07:57:29.000Z""}]",[],0.5
5,Lucid Dream #360,"{""name"":""coral salad "",""id"":""tz1g4QrfaHAmhqbidK3KqtY6eDS8g2AtXt9V""}",ooo76NjnwKbV5Nu9pL8Qoa8zFS7A6bTD31UDzccY5JSUEU6fWAC,"[{""price"":500000000,""acceptedAt"":null},{""price"":10000000,""acceptedAt"":null},{""price"":10000000,""acceptedAt"":null},{""price"":10000000,""acceptedAt"":null}]",[],1.0
6,Lucid Dream #359,"{""name"":""You-_-93"",""id"":""tz1hSLUezMKJZMH62iC48nEDjiHiEiude6uL""}",ooxmh7jp1YPiVg1TSwMMHDWUQb71WW6vbGZcHhifSZGq93q4pxX,"[{""price"":1490000,""acceptedAt"":""2022-11-16T03:20:44.000Z""}]",[],1.0
7,Lucid Dream #358,"{""name"":""shardifty"",""id"":""tz1YbYcUg8KUtpQG6K7nyC8sjokpx5W2vu2j""}",oo3xbmGqpwbsXADRW7NYRbxVsGhG98gT434HNLQwF23azvJPGcG,[],[],1.1
8,Lucid Dream #357,"{""name"":""teaboswell"",""id"":""tz2GHSM8dGsMCTUCoiY5wSN55nXXtPZWZtZf""}",opMNadbUdjRXKJyCCySAkcNG3NRDarZChmPnPwhUkfAguMVPoyD,[],[],0.003716
9,Lucid Dream #356,"{""name"":""art collector"",""id"":""tz1isguKP6JYgmpRJMvjwJaFRYmjfkLmY6ug""}",onhnnqZJF8AyznkxoVAxGWEibypw5xfPn7qvakhGHYR2hJbZM7b,[],[],0.003716
10,Lucid Dream #355,"{""name"":""innovador"",""id"":""tz1Xtg5eQcjXed2i17ikckr2pBhSAz2DA5w4""}",oopfhY7QHFFjSEKk8tWZEVuz54RkxArUpxCZqcyGFNEwdQ5PnTb,[],[],0.003716
11,Lucid Dream #354,"{""name"":""k _b Yk Zll]"",""id"":""tz1U6fykZsnkJoFY61hW8dZnTkEf3VmkTcRC""}",opHhmdydzmK8HTQuFGCT16pDjB8xeUYPwJzXb2XC19aMkMnVmKU,[],[],0.003716
12,Lucid Dream #353,"{""name"":""Swift1"",""id"":""tz1R5hLrvpJzZny96jofqmpBghQ45ZjcE5Ug""}",onq3f98FKBYZvvHA7QSX46ouie1GpqWvV35MBUyKkCdFqLx5yAr,"[{""price"":2450000,""acceptedAt"":""2022-11-22T12:49:14.000Z""}]",[],0.003716
13,Lucid Dream #352,"{""name"":""clod"",""id"":""tz1LWETrCgEunMm6Md5Q7sbCDCecSm53xoFT""}",ooxj7Fzc6ogfHkZVqDahj4y8Lwtz4ywZRbVysK2Fi4HA6nWbQ6W,[],[],0.003716
14,Lucid Dream #351,"{""name"":null,""id"":""tz1KxubZ83BVUbKckucv9eH6S2RZjgrsVVTD""}",op3EJ8X67F7xf67MyrXKZFXhjWJjA7FC3Jaj5h5Ub6jaZ1X3bpF,"[{""price"":3333000,""acceptedAt"":""2022-11-14T17:15:29.000Z""}]",[],0.003716
15,Lucid Dream #350,"{""name"":""coinsherpa.tez"",""id"":""tz1iG16d1G7jutBWiYmZZqGsrjM3aPbx1VB5""}",ooPBgh6YC1N7LjXTXqpKzbMPdif4wt4MetQUJjUEco6SXJ7TWF2,"[{""price"":16900000,""acceptedAt"":null}]",[],0.003683
16,Lucid Dream #349,"{""name"":""toti"",""id"":""tz1gajLsAJ55ty73UJN9CNUsk8nELucHuFEg""}",onmUJ7Tb4Yg2jvdUcgc13ktn3CJ9iLsBS5CL8skU1QaX5zF3NUm,"[{""price"":6000000,""acceptedAt"":""2022-11-16T03:20:44.000Z""}]",[],0.003683
17,Lucid Dream #348,"{""name"":""Dandelion"",""id"":""tz1gMFxsrWkKDzT926bqsH2hYUdKLJ47Fmn8""}",ooh78r3WYrvK1oM2ynn4hTzutAmrknSfd4MWuFdYHssjCLZVFRg,"[{""price"":15340000,""acceptedAt"":null},{""price"":3000000,""acceptedAt"":null},{""price"":1500000,""acceptedAt"":""2022-11-15T02:05:59.000Z""}]",[],0.003683
18,Lucid Dream #347,"{""name"":null,""id"":""tz1gFDzQmSEcozYtp37gWwd1tCRvVKVTaYP6""}",onemBARw1EutXU4NPKMuaMYtV5E9rPxAc2oF3Ck46HQmYfo7dc2,"[{""price"":12000000,""acceptedAt"":null},{""price"":9000000,""acceptedAt"":null}]",[],0.003683
19,Lucid Dream #346,"{""name"":null,""id"":""tz1dr6zyTYh59Hw2JYrecM3hPQcdNpfSSQMA""}",ooxbi8DCQZGzuqtRS1RjGXMeNUuzFv1dKHuEdt8BCL732vxsXXc,"[{""price"":2000000,""acceptedAt"":""2022-11-14T19:28:14.000Z""}]",[],0.003683
20,Lucid Dream #345,"{""name"":""Burning Forest"",""id"":""tz1dZSGsvHmeFLG16STacPvCVXRLXeXaPbYq""}",oowkVWmiuJiyTCizWRtWjpMWcZLyMZXPNX6wwqW5ofrE1hqvnp4,"[{""price"":5000000,""acceptedAt"":""2022-11-14T19:19:44.000Z""}]",[],0.003683
