,name,minter,generationHash,listings,offers,gas_fee
0,Majestic Inscription #365,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",onnayWwAtTJHLRGvGuKLFzVMnX2jsgKwHScS4c5Fb6oQTrCQbpf,"[{""price"":25000000,""acceptedAt"":null}]",[],0.003565
1,Majestic Inscription #364,"{""name"":""arttseng"",""id"":""tz1Z5KuUhoZukj6Rc6zRxscoaGcdYtobSFPX""}",opPxe9wF5CKLnvFE6dsnKLV3awJbkBVTcouSyC3hiQpAZT9x7fi,"[{""price"":5000000,""acceptedAt"":""2022-11-15T10:32:44.000Z""}]",[],0.003565
2,Majestic Inscription #363,"{""name"":""primitive.cap"",""id"":""tz1WwJoFqMXqB9sh74dsRkjoxEim5QkzbC8o""}",ooXWJvsYYT1ricQpz5CxHedT5ZrYAbZs1QuLZjjVnUxa5TMbazp,"[{""price"":9900000,""acceptedAt"":null},{""price"":2500000,""acceptedAt"":""2022-11-15T19:25:14.000Z""},{""price"":10000000,""acceptedAt"":null}]",[],0.003565
3,Majestic Inscription #362,"{""name"":""Doraemon"",""id"":""tz1RNq9tecQ4i4h1iyD7HmeZjiw7hfq4JMkb""}",opCGqVyynsYpihSEM1dzYT7Xpc827nPd9xbaKbewpF1GXHe7eU5,"[{""price"":8000000,""acceptedAt"":null},{""price"":5200000,""acceptedAt"":""2022-11-15T07:27:14.000Z""}]",[],0.003565
4,Majestic Inscription #361,"{""name"":""sunfish"",""id"":""tz1imejUcBVcHqoChpGFifds73MHzj3N73mh""}",ooanPB1wNznQwGp8c2Cd33SHhNwrzxTg5dASVBdqaGUjJmfKfHK,"[{""price"":15000000,""acceptedAt"":null}]",[],0.003535
5,Majestic Inscription #360,"{""name"":null,""id"":""tz1eiVBbhcb1Y3pYNU5x2WHh2hJ8xhwTYdWk""}",ooQAws2Xme6wHptPQi5YstT2C3AAS6uQGriT1vHLfHscVon4PnT,"[{""price"":8000000,""acceptedAt"":""2022-11-15T15:31:59.000Z""}]",[],0.003535
6,Majestic Inscription #359,"{""name"":""Tabemomu"",""id"":""tz1aCrnJwKayMTeABWVMuVj4kMUoYptVJcYW""}",ooxA4Ws5QjH2Txxq9TD8JzkbALAicSVZps36LghBFmRfV2gny1T,[],[],0.003535
7,Majestic Inscription #358,"{""name"":""rudxane"",""id"":""tz1YHsinBJHMj1YFN7UrCsVAgTcaJCH86PjK""}",onsNcALPCjsVzinaVU1M8MVVJmVsqB94fk9doP1gHy1jqh9QDqS,[],[],0.003535
8,Majestic Inscription #357,"{""name"":""Patchitchat"",""id"":""tz1Y7HdTpFBMfsbkU8CAb2MVGYeb1RgshSgw""}",op6cPpnLx4oCFqfXs3SKUsYMK1t8W3usohdf7TPF2vdaRc3MXwN,[],[],0.003535
9,Majestic Inscription #356,"{""name"":null,""id"":""tz1Xa6JTLubRcXrVyN94CyVjjbuRrxrneApS""}",opG2MZxkTYKNtPWjV5doFajgVAoMniWyqujSTodvAGe4kWFtSbm,"[{""price"":36000000,""acceptedAt"":null},{""price"":12000000,""acceptedAt"":""2022-12-11T13:46:29.000Z""}]",[],0.003535
