,name,minter,generationHash,listings,offers,gas_fee
0,Mantle #365,"{""name"":""xiiixiii"",""id"":""tz1amcnQuDXY2pzBy23e4sV8qaxpRbQAY7W6""}",ooyh1nEyXA9CC9XfiFMutoXJR39NF1Zsb5iWGyT4h3EECv9HBUk,[],[],0.004146
1,Mantle #364,"{""name"":""Conan"",""id"":""tz1Ymvy7cV7pxcaZenvGngfcYiQLB72ZoSTX""}",ooKHpxZAQqqZXERxRykXwkbcq5NErDKFPwtsuSFjzjT1vKCXBvj,[],[],1.2
2,Mantle #363,"{""name"":""Pika Pika"",""id"":""tz1YLH1637HYSiTwr8LA93hwkGnzqW7CKPWf""}",oocATPLvV2B1GL7Mz1ouxeq16qhDRxHw4BGKcpGk865fJkP2M2a,[],[],1.2
3,Mantle #362,"{""name"":null,""id"":""tz1VKhVrbHEB3bTURUZXrgBCRXW6tRsAmPzD""}",op8vK9S7gX7KQjYqrRUqaxaiDMFBEHLMbHTiQ59h9KdyuhYKKZ1,[],[],1.2
4,Mantle #361,"{""name"":""Anti Mage"",""id"":""tz1UMUr8Vd9Zb7vrcwjMLbZ1gUukKZwTM7Fc""}",onhwQScz7kPE5mR3Vo2WirRgBtyDembbDtSgQYjTxDbsyfDgNnk,[],[],1.2
5,Mantle #360,"{""name"":null,""id"":""tz1TmhGxqVeSpyKJ3i2Ma9GPkooGa95rmicu""}",ooZW3EizAs8nLUDnFzZobuDfZzQawe1HDjCpM8UbRmteEGc2Xmp,[],[],1.2
6,Mantle #359,"{""name"":""Holy Moly"",""id"":""tz1SdoRUPTLjbDQQQdbCKMLEShrQNbubHSiS""}",ooxL8ZLXPTKUaT3cEnTQ5fHgDuFvuPkpgudfYdrfDE8DgW4oULJ,"[{""price"":377000000,""acceptedAt"":null},{""price"":975000000,""acceptedAt"":null}]",[],1.2
7,Mantle #358,"{""name"":""Uchiha Sasuke"",""id"":""tz1SX3gdbisRxAg7dzWkHkerN8vK3aeuu1DN""}",onxBLsFqBoAjTtt312kAYSvv19XaHqg7Zyj9nmnv6yVpp5ALgdV,[],[],1.2
8,Mantle #357,"{""name"":null,""id"":""tz1QppKKrmSVLzHgMqvGDrPkEHNcAPK8DZak""}",onfrEJkW7Z9xf9K41evjRuBGJwRNe8fRaDxhS5zWNLKUk7oXhkm,"[{""price"":186000000,""acceptedAt"":""2022-11-16T20:46:44.000Z""},{""price"":888000000,""acceptedAt"":null},{""price"":500000000,""acceptedAt"":null},{""price"":250000000,""acceptedAt"":null},{""price"":185000000,""acceptedAt"":null},{""price"":125000000,""acceptedAt"":null},{""price"":140000000,""acceptedAt"":null}]","[{""price"":120000000,""acceptedAt"":""2022-12-20T22:54:29.000Z""}]",1.2
9,Mantle #356,"{""name"":""Austin Shannon"",""id"":""tz1QSotzKs2MemDghzJCAcEimtu7UK247DMo""}",opUBfvvmZ4SDTAxoaLhyZ2834D9KMK96PUZvuFGXn33rTPLo91r,[],[],1.2
10,Mantle #355,"{""name"":""Expensive petro"",""id"":""tz1NsEsLrJHoPqd6NnRbxfAyUncjEsDcPvsR""}",ooeNwKSyBfKWRfi7aKN4EQCTkffzvHFc2gXGRVC2hoybtcqP9mm,[],[],1.2
11,Mantle #354,"{""name"":null,""id"":""tz1Myexcnine1UL5QGY6jo2YMsUpz7HxDqHe""}",ookox8zMUgG7UBMhkjKukiBRBYdCB49M9oc4cnzaU4NzTjhdRiJ,[],[],1.2
12,Mantle #353,"{""name"":null,""id"":""tz1MUwnLpggRfQsqPBNdXv8Tt8tWLzM1cb7Q""}",op9wVvu9KuHQRZNmLEGYDobfCphvh6xYghZdwFTi9u8meBKsVAy,"[{""price"":367000000,""acceptedAt"":null},{""price"":998000000,""acceptedAt"":null}]",[],1.2
13,Mantle #352,"{""name"":null,""id"":""tz1M6bzj6poY2yZPNG4XkZW9JTZvBDAbGENb""}",ooycTgoqQmaTqWMGY6NsG8VACm6HtuL9tnNQFMQCjxddomH1vy1,"[{""price"":117000000,""acceptedAt"":""2022-11-16T20:43:44.000Z""},{""price"":145000000,""acceptedAt"":null},{""price"":120000000,""acceptedAt"":null},{""price"":118000000,""acceptedAt"":null},{""price"":100000000,""acceptedAt"":null},{""price"":99000000,""acceptedAt"":null}]",[],1.2
14,Mantle #351,"{""name"":""Faker"",""id"":""tz1ew8MmEDFpBV3nnmCF4igNf6DXurBdHAoh""}",oovYmFcgo6sm1m74c1bJHb7noN9BhTGg3J2UQZU27mESrBkFjDZ,"[{""price"":500000000,""acceptedAt"":null},{""price"":999000000,""acceptedAt"":null},{""price"":330000000,""acceptedAt"":null},{""price"":530000000,""acceptedAt"":null},{""price"":530000000,""acceptedAt"":null},{""price"":350000000,""acceptedAt"":null}]",[],2.0
15,Mantle #350,"{""name"":""GoreFlipper"",""id"":""tz1dWyQQjasXyeZPgdfPkgFxHLSNZF9pkt1k""}",onydf1h8UmyvUuegbHtRtuqG4QDUf12gkC6EtnLdi4TqEyqa8Qe,"[{""price"":2000000000,""acceptedAt"":null}]",[],2.0
16,Mantle #349,"{""name"":""BadBadmanman"",""id"":""tz1cHceCnSrCc6KmC83fgqwVK85actWf41gd""}",onkBa3oU7eUmqR9zvrnFfomFoUnnPVkBCsom5XgEd2Xy2qp159d,"[{""price"":250000000,""acceptedAt"":null},{""price"":150000000,""acceptedAt"":null},{""price"":2000000000,""acceptedAt"":null},{""price"":350000000,""acceptedAt"":null},{""price"":200000000,""acceptedAt"":null},{""price"":499000000,""acceptedAt"":null},{""price"":165000000,""acceptedAt"":null}]",[],2.0
17,Mantle #348,"{""name"":null,""id"":""tz1YM5Zu4zgEyaHi5EzLbyLoPak8rqJHU5Sh""}",opJYGFC2XQKti2XsDo3kQKjyGJTPmhAbd5YZNLNxqJT4wn4YoXE,[],[],2.0
18,Mantle #347,"{""name"":""ISEE JULEZ"",""id"":""tz1WRWPC14GHihJUo5abP2pzMm4qCRhpTytA""}",ooWrRvy7VojckTfby6TUCKfHWXxaR8jup6zDToXNzBcYpgYpBfb,"[{""price"":210000000,""acceptedAt"":null}]",[],2.0
19,Mantle #346,"{""name"":""Ramp"",""id"":""tz1VmheNS6QPHDPMWJiD1vGvvUrnhQ2dd4fC""}",opTLq3jm7G4gKMGu7ZXx5YAoqcM1NzjZCYNq1aFuGzgqy1vYEpK,"[{""price"":500000000,""acceptedAt"":null},{""price"":180000000,""acceptedAt"":null},{""price"":125000000,""acceptedAt"":null},{""price"":160000000,""acceptedAt"":null},{""price"":366000000,""acceptedAt"":null},{""price"":150000000,""acceptedAt"":null},{""price"":120000000,""acceptedAt"":""2022-11-21T09:52:44.000Z""}]",[],2.0
