,name,minter,generationHash,listings,offers,gas_fee
0,Minimal complexity #365,"{""name"":""Salvador Dalle"",""id"":""tz1LbSXCZmqKSWFiLmJh6B8LhmMw7UYi7zZS""}",ongq9TMGeiv1C37PCQZ3taeun9kAKZ25DGNwoF5T3hPcSpZpjLx,[],[],0.0371
1,Minimal complexity #364,"{""name"":""tezosart.tez"",""id"":""tz1gbjtBH26MNSzSfxFVKEbrG7uzxayUKYpc""}",onfUQR6URQZGaoqpSP7FrPLfu8zUkURRTNZwQsEpw7W3hvExJbj,[],[],0.003825
2,Minimal complexity #363,"{""name"":""tankbottoms"",""id"":""tz1Qo5MhQwpJUe2cPgWy37ceiBS643YAdg2a""}",ooAtt6PzzRbh5kKuR9nHC3JLTtyAe4bCvCgJcaC8TV3LYgG1D2e,[],[],0.003825
3,Minimal complexity #362,"{""name"":null,""id"":""tz1KvXAzMiFKGZDhXq5WDDqHBvigEPzQXZAW""}",oniQ8NiTv224PyGozLVN2hTMTNJtjKa8PFWrgNc69JJ53GZDBTL,[],[],0.003825
4,Minimal complexity #361,"{""name"":null,""id"":""tz1X3uMP2VQJZj7FMCWLxJRYFhBKPEveNzn6""}",ooNJji2Q6K66Ymaju1gKJHXzt5qhnUcXNEDtEDuy6NdbSf3hiJw,[],[],0.003825
5,Minimal complexity #360,"{""name"":null,""id"":""tz1X3uMP2VQJZj7FMCWLxJRYFhBKPEveNzn6""}",ooQnekdW8FWwyZseR4KKhmukWDsVzb6HcC3KGaoKvgbuLA1gvwv,[],[],0.003825
6,Minimal complexity #359,"{""name"":null,""id"":""tz1X3uMP2VQJZj7FMCWLxJRYFhBKPEveNzn6""}",ooBawzJGPRMApPMQtuW84m8BVhyJSxwpNK6YE54nCVs5sAeH5C9,[],[],0.003825
7,Minimal complexity #358,"{""name"":""tezosart.tez"",""id"":""tz1gbjtBH26MNSzSfxFVKEbrG7uzxayUKYpc""}",ooMaaBoM9eJqKr1NXPpjNfUKD77XRP7hL9U2U8o25tz4fZLqNK8,[],[],0.003825
8,Minimal complexity #357,"{""name"":""tezosart.tez"",""id"":""tz1gbjtBH26MNSzSfxFVKEbrG7uzxayUKYpc""}",oofiemADLBrJ6D3qR4GhMsJiLfrbgxexVUgRf6BbNm97TTXG8iu,[],[],0.003825
9,Minimal complexity #356,"{""name"":""oexcess"",""id"":""tz1WRrxkkMKdYc444DKD9JibWiZD8WsuiXGk""}",ooN74TVBX5miP8NtNaawJ33sC2v6rWybAsgWyJuyRp7vxZdAJtp,[],[],0.003825
