,name,minter,generationHash,listings,offers,gas_fee
0,Misunderstanding #365,"{""name"":""Murat Atimtay"",""id"":""tz1XvP1MfRgh6DbHhVXK5TTqKznV5MYCGoMv""}",opJceUMiYPUHijvbSAPa8D8rrF51L9vqY1dFPa2gwa2msNwPZqC,[],[],0.004172
1,Misunderstanding #364,"{""name"":""caddy2317"",""id"":""tz1SqV14QuU6uNNvVBp4WTUDybP7xHecFa15""}",ooUAMuEhZY136iUSf1nukwnpPaCpNqdCm5tu5PupiMau6ZaN1qp,[],[],0.00413
2,Misunderstanding #363,"{""name"":""vortac"",""id"":""tz1UwwR1WKWuTVjNtUc2ewPNUbSW4rVV2fBH""}",onvAdB7z33TnZcTcHoC3tvjA9HLxxfLg6QtC4qERTydzAXoxai6,[],[],0.00413
3,Misunderstanding #362,"{""name"":""k@in"",""id"":""tz1LMv35kXU69zkySfPfaiy1U7yfHR96rEVJ""}",onkMyxof5uN4x13JssjHzxMhzvPpYtRK2uN4ggFC74tmGq3dxNc,[],[],0.00413
4,Misunderstanding #361,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",op4ifC9HX5vv6MkmD7YCwK55r8daVrFZyHhHNzNSA6cZcFJgBEW,[],[],0.004131
5,Misunderstanding #360,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",opJk3g7fhQub5apaYXibb2hSvWyC8fjLCvRLVa6W79q4pVutVkG,[],[],0.004131
6,Misunderstanding #359,"{""name"":""Diego Pintos"",""id"":""tz1gLrwunGDkA25gBojS7gLeHF3EonHSqN6r""}",ooe4Qpig3czdHFJTCY9qyzhA9EWLHuKqc7tFCGpGktFr3mEYSKC,[],[],0.004172
7,Misunderstanding #358,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",ooZvBJEfjnR2BX1jCuLAGf7sJKzS7aSmdnqtmiS7zgxAHpvsxwp,[],[],0.004131
8,Misunderstanding #357,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",opDBhSuqBUMA54PkdvjsSRkVFTWyT38TEHKDHEd3vVmSj5onQm9,[],[],0.004131
9,Misunderstanding #356,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",opAPZm4v7sH7mDGHZPEd4X7JD26RRbZfdxZbHaXLjvb73DtcRQw,"[{""price"":4000000,""acceptedAt"":null},{""price"":3000000,""acceptedAt"":null},{""price"":2000000,""acceptedAt"":""2022-11-17T06:42:44.000Z""}]",[],0.004131
10,Misunderstanding #355,"{""name"":""Zen_ok1"",""id"":""tz1aeDkHxvzQQsNetSdYqzjwPX15aKZWfEpF""}",opGNML7xNFNQxGUDmZkuHXVd7dEMBxoMZ3HNTPfWzu3qAGn3zr4,"[{""price"":4000000,""acceptedAt"":null},{""price"":2490000,""acceptedAt"":""2022-11-15T17:31:14.000Z""}]",[],0.1
11,Misunderstanding #354,"{""name"":""pixelfawn"",""id"":""tz1ZgSauFwnJaJ5eicKTE7YTDtgbXxyt32D1""}",ooCEEVxFydEHrMRAc7gN1JGiZ4J27Mhxzbm4zXTfxExCA9VknXo,[],[],0.12401
12,Misunderstanding #353,"{""name"":""mistik vault"",""id"":""tz1Y7YKJ1vq23DZ4yv6E3ku3o6HU298bLWMb""}",onffRuMSDu6Qe4J5brxN8994u3pXhUYbCxktSCRfbQrnWuQFmrh,[],[],0.12401
13,Misunderstanding #352,"{""name"":""mistik"",""id"":""tz1UTifrX1UijdHnidyw3ZrYVNAiQpZ3XkB4""}",oomLJE195bp3vPmFWbtsLWQLdmtRsVT3MCoqch3iiryU5rmbNAv,[],[],0.12401
14,Misunderstanding #351,"{""name"":""DennyG"",""id"":""tz1M4WNPunccNQGvr43ke9uzvJ5bVuPMgXGP""}",onvbMjoXUyHmBwMuiQdFe2maCs262m2JmoPThH4BzbAbrxtygXc,[],[],0.12401
15,Misunderstanding #350,"{""name"":""Dewi"",""id"":""tz1cVStZBAo7petAmaLYbujovGfZLT6AK6GJ""}",op9z4PACBZ4rt8ybZXnhgoDit22GjQGZUPnh6qdYKxv5aGPgX1C,"[{""price"":3000000,""acceptedAt"":null},{""price"":5000000,""acceptedAt"":null},{""price"":4000000,""acceptedAt"":null},{""price"":3500000,""acceptedAt"":null},{""price"":12000000,""acceptedAt"":null},{""price"":8000000,""acceptedAt"":null}]",[],0.20401
16,Misunderstanding #349,"{""name"":""WTFiZthiZ"",""id"":""tz2AShGBaSkfmQnYXyCjHnwbXirpUzaSh3rJ""}",oombxavnjZkM7LhaQvkNFX2rN8no2nGqnSsQtij6xVhxiHU7FKF,[],[],0.004049
17,Misunderstanding #348,"{""name"":""tz1fT8...gGrqB"",""id"":""tz1fT8u4PVrhbGMMT9HTrxyGFfYn2F1gGrqB""}",ooJ5GfCbhF4VW3GTypV7LqmgHdSujui2pNhR5hqmqi9GugzBN1D,"[{""price"":5000000,""acceptedAt"":null},{""price"":2900000,""acceptedAt"":""2022-11-15T17:16:44.000Z""}]",[],0.004049
