,name,minter,generationHash,listings,offers,gas_fee
0,Mountains in Mind #365,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",opaafomDNbRYwCERazAWuMNHqgQF2NpcQVHscSfhW1ragh2ZZiY,[],[],0.005621
1,Mountains in Mind #364,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",oox5Kv3gAXRN1ETUuk66Pdwk3fszWW9eQxR5nzfUXXvmmisUUBi,[],[],0.005621
2,Mountains in Mind #363,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",op9o2y7waJYEkvEHPxiNR71HCVahh7m8pt7TGcyoVumUj6u8L93,[],[],0.006053
3,Mountains in Mind #362,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",onxZApDrhQ9m6AAjPbezpmoW4V7sZRVeB2DNP6eUJNoQ3auongq,[],[],0.005621
4,Mountains in Mind #361,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",onjWRdYKrraeAf9TZcsUaMbx2QVoAawiEwwUWcx4VtubG5MFoGr,[],[],0.005621
5,Mountains in Mind #360,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",ooNJEQQBhGRo53NbpxGVgfe5b7A2d5PG8QzyhwRYN4yuaK2AKx8,[],[],0.005621
6,Mountains in Mind #359,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",opQPW5UCV1mLmBBKkxY5racMB6mG7c4JJo78XHEQcC73hfrgvqt,[],[],0.005621
7,Mountains in Mind #358,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",oofcrt7ANWgsQo9YBTUPBNB55oqqip54bs5yiZsdXtiBchNMx9p,[],[],0.005621
8,Mountains in Mind #357,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",op82AMTJWVEaTBPy3zxTBr7quRfP3uo1ciz5hKGW3ev9KzRHi3m,[],[],0.005621
9,Mountains in Mind #356,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",oo9saMC87F7QHrFwD6YRpekwRDKER2kimUtfh4twadRXRW5WU7T,[],[],0.005621
10,Mountains in Mind #355,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",ooaNkVCGGbTFdG2UQ6EVax6sKbasRvGJrkawESBAtkHvUJ94uac,[],[],0.005633
11,Mountains in Mind #354,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",oof2An46wz6KVvJA42yyxFuqvAfX6hoJWjVRXZLQJnKq1dL7Cet,[],[],0.005633
12,Mountains in Mind #353,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",op4ZbkF1sWj3rMmz5DmHf9P9HrCzxEj7fitVRNDvnAtNevdtMoh,[],[],0.006065
13,Mountains in Mind #352,"{""name"":""patonce"",""id"":""tz2JKJhwoBpyAv6j3ga8pNDsBYJp7r9o3hAM""}",opGKPv8roTgtBNbAU1kj21NjWsqriNaXernvKaMCaxjfWbvKNTL,[],[],0.006285
14,Mountains in Mind #351,"{""name"":""AtionBear"",""id"":""tz1hovutjdnhamT1zseHBp1CJmVxbtVcAUw2""}",op1Xo6XpSS7KjcLeUpu96c5HP9iYpntpQ5QwnfMems1wULGSmwE,[],[],0.005771
