,name,minter,generationHash,listings,offers,gas_fee
0,ONE #356,"{""name"":""P1x3lboy"",""id"":""tz1SvJbECAva9gxczfBmX3CAFUszgQXNgsNm""}",oojACSnjumw5u1zj4Zv4p9EB3sbfstWckpTWjpb5zJR5iw5xwhZ,[],[],0.01
1,ONE #355,"{""name"":""Gastino"",""id"":""tz1KyHiUJD7WRsFHTHEy9sXXn7rXxNCSVTFY""}",opPYH7Zq1pYtuFCvvaeAwWpZhZ7QVApM1tTtJNdwjJyL1AfhcH5,[],[],0.01
2,ONE #354,"{""name"":""Pixel Planet"",""id"":""tz1KvyACq9emYkpEYhXJLvY4vC1EWXxHxpis""}",onxXwPLA4pwe4z5SpHYnt2buPkrpkVzizmbczfARBp6i9RgPsKs,[],[],0.01
3,ONE #353,"{""name"":""BadBadmanman"",""id"":""tz1cHceCnSrCc6KmC83fgqwVK85actWf41gd""}",opZWD4ciqvkUnL2Egvb9Gn1b4YUwin6ULeMiyaz8aJ3LjfkQ8ch,"[{""price"":15000000,""acceptedAt"":null},{""price"":25000000,""acceptedAt"":null},{""price"":15000000,""acceptedAt"":null},{""price"":10000000,""acceptedAt"":null}]",[],0.1
4,ONE #352,"{""name"":""Ramp"",""id"":""tz1VmheNS6QPHDPMWJiD1vGvvUrnhQ2dd4fC""}",op59U5TriZ2B7mzyAXKCEmddVdAKznN1h7muYNYJuYxBKo1kyLS,"[{""price"":5000000,""acceptedAt"":null},{""price"":4000000,""acceptedAt"":""2022-11-15T18:42:44.000Z""}]",[],0.1
5,ONE #351,"{""name"":""mrgn"",""id"":""tz1SwdC6BGEeabqjkDDUvrcZaWYkMNaGbLhi""}",ooja1miJTJ1ZqjcDoGvYGcwUm2avqwYwGznLDpzTUiqg1Raq672,"[{""price"":5000000,""acceptedAt"":""2022-11-14T18:58:44.000Z""}]",[],0.1
6,ONE #350,"{""name"":""Condoriano"",""id"":""tz1RRfSJ7m1MVRuPmL4qmXax1tbTkn5hrv6r""}",ooyw64xTbHJ1hTTZstPEWgf8r7Rou5hZJEv7kkZYG4t5KBwiJM6,"[{""price"":4500000,""acceptedAt"":""2022-11-14T14:18:14.000Z""}]",[],0.1
7,ONE #349,"{""name"":""Darkspawn.tez"",""id"":""tz1gcwAKQXcHwtciPbqfjyQWzy2XGsVD2G1M""}",oo6eaDexUxk3jdivdbqGFfApJ8vBRrTA7gTCtMedKx2xX7RuCqq,"[{""price"":10000000,""acceptedAt"":null}]",[],0.100392
8,ONE #348,"{""name"":""tz1fvck...y0u9"",""id"":""tz1fkfvhPGJiodqB3XMrnJxsFpaDsdfjp7jg""}",onwRPFtrxPvPR37yU7nGayQUN7ojGL3yJfp4Mvc9mxjJJtJkrRk,"[{""price"":11000000,""acceptedAt"":null},{""price"":5000000,""acceptedAt"":""2022-11-17T04:10:14.000Z""}]",[],0.100392
9,ONE #347,"{""name"":""Kirill Shulgin"",""id"":""tz1XZ8qGWQ4MukcDsgrNzUZ9VubmCRZaYGMX""}",ooTe1VTSddxQpueg1VWiAEgJg4dCQsNvDWSWDdhx8et1Z2HiZcM,"[{""price"":7000000,""acceptedAt"":null},{""price"":4000000,""acceptedAt"":""2022-11-17T05:20:29.000Z""}]",[],0.100392
