,name,minter,generationHash,listings,offers,gas_fee
0,Q365 #365,"{""name"":""speedbird"",""id"":""tz2TGftr7zDx7hjvaDQn7Bc7Z3zw7RAKFPBF""}",onpDATBijh5MgxeeqXEjGV3w8ogx4UXfG3PLKog4EcYqTPVXt9G,[],[],0.003894
1,Q365 #364,"{""name"":""Ron Harpa"",""id"":""tz2FaPzYZ2ZRm5EAskxJ3PHnwun7LNeUMW8i""}",onm8L19THtxaqZkjLQMxZYEeARhe9mGfNLoCbBW1YLGd2wiNuqt,[],[],0.003894
2,Q365 #363,"{""name"":null,""id"":""tz1ixjzCmDKanGeyyMb6WaBpjf7uRU1VTgJr""}",opEK5TY4Cd3tWYnNg7o6P3h64hzT5FxcJewtTWvrdfCwwo7nqCc,[],[],0.03858
3,Q365 #362,"{""name"":""CognitiveCrossing"",""id"":""tz2JTF1YGCrwJLc9iLAZZHQkC2tW8zRV28r4""}",opLBhsrLCSwBri4t9jFZAuGh4YPa6NpR5yNyEWMdHE2DUa4mAaz,[],[],0.004037
4,Q365 #361,"{""name"":""Landlines Art"",""id"":""tz1RkYY3jr1ocuPdQqrRefr5FqoawKQsmBmD""}",oofJXKkY6A3E5tcgKgHjBAj3EddHCLF2SJxmapUtoRVpvG5rSyQ,[],[],0.003998
5,Q365 #360,"{""name"":""pixelwank"",""id"":""tz1fPR5U9vvCJMjfB5gFjgAGB2eD76arskGG""}",ooetkymgua2U73zScsT4Au9ebXDasAR9HNw7s1vBpaDYPMue658,[],[],0.004037
6,Q365 #359,"{""name"":""r.rodkin"",""id"":""tz1aiYi2RXc2xCpNwnAixWtVSwHKXzGU8SEn""}",ooSxAKmzjncne1sfSwGtRv16BZvG3ya8oG9Pu4tPuykni9cSHnB,[],[],0.004037
7,Q365 #358,"{""name"":""Bzzhg"",""id"":""tz1U2k1rW4isR96Kk2cqd95Ypw2DXgnhDrD2""}",oo2WmEYnZ4hqGzmGSckNq3wfnqh1iuanSdNuCjpuczCK42UkjTL,[],[],0.003872
8,Q365 #357,"{""name"":""Sofie"",""id"":""tz1ShohUeWFkBBieUWRkKCB2QXk8Aiv1uR6M""}",ooBrv8fG9F268ekDtqKh3pKSNeDJck41SoEtzezrpioUKkHknn3,"[{""price"":3880000,""acceptedAt"":null},{""price"":8880000,""acceptedAt"":null}]",[],0.004014
9,Q365 #356,"{""name"":""Quaresma"",""id"":""tz1e3K4iJBPaeGtu6T3qJYt9UytoTuzKHD7x""}",op8mx2MS6rE4ZCrouw5Fc6Qo8EsUgxBVBzjJKpFnhevDTo89c5b,"[{""price"":3000000,""acceptedAt"":null},{""price"":1400000,""acceptedAt"":""2022-11-19T14:11:29.000Z""}]",[],0.003872
10,Q365 #355,"{""name"":""ReyArt88.tez"",""id"":""tz1iSjAt5KyBxWQh3T4Nc42ytUGUswG1EjBB""}",oo1N7gQA8ZE7pVh4v5PLBYCa6HCEmDtXYDgzGZ7tgWCRazd25t9,"[{""price"":5880000,""acceptedAt"":null}]",[],0.004014
11,Q365 #354,"{""name"":""tatsuatsa2014"",""id"":""tz1Lk6DK84Yf8TmmXoYYGkEtoezJa8H63xsY""}",op3zBTyP1WVdYrkNQLcMcBSp2KqgSaJGhB3sygtmFQSEgjMDtwf,"[{""price"":3000000,""acceptedAt"":null},{""price"":1500000,""acceptedAt"":null},{""price"":1200000,""acceptedAt"":""2022-11-16T21:59:14.000Z""},{""price"":18000000,""acceptedAt"":null}]",[],0.004014
