,name,minter,generationHash,listings,offers,gas_fee
0,Spheara #365,"{""name"":""Condoriano"",""id"":""tz1RRfSJ7m1MVRuPmL4qmXax1tbTkn5hrv6r""}",ooZ8L265ZPqWXbYt4xRUDnYcadaEW5h2FW8ScfBW9dPoZdKQ364,"[{""price"":3000000,""acceptedAt"":""2022-12-26T20:56:44.000Z""}]",[],0.1
1,Spheara #364,"{""name"":""NFTMuseumSC"",""id"":""tz1QCdJJCDsF4Bgmu76kFbuGW8UCCNM2t7wJ""}",ook94TpyKbg3mxtx1ynkuf22Y8ihh5xT2afwtpAUeKuq4gidHEe,[],[],0.003822
2,Spheara #363,"{""name"":""ClownVamp.tez"",""id"":""tz1M4Ebfg4pwyQc9FKGVufXdvctfVemZTTyg""}",opEddsCDVxRkLMVd3v9UEA1ZWzKpvPCLhhRniJzvFUqtFs5xZHJ,[],[],0.003821
3,Spheara #362,"{""name"":""P0chita"",""id"":""tz1V9EauaVkNMQMqzhmVdgZm2sKLaH9GsuRU""}",opPrUF59e6CDsTQra6eJ5G6TRr5KR6qhqi2CeqscLQDKG8DnMz9,"[{""price"":5000000,""acceptedAt"":""2023-01-03T13:13:59.000Z""},{""price"":14000000,""acceptedAt"":null}]",[],0.003856
4,Spheara #361,"{""name"":""sfancy.tez"",""id"":""tz1LHPjJnsu2pnkis24pFfNRTi4bR3qh8Cec""}",opCgBhCxA2DRwxgwFya3cDxp624VeCaACgwRCBjLfk37bbfzeNr,[],[],0.003821
5,Spheara #360,"{""name"":""DAFCO TEZ"",""id"":""tz1LMjedRiL41Vnd6JAa6acTPLSNX5idTZ2T""}",ooXzCpBpPswV2ivj5dfCm8NqH6w7Gap1L8RYaa2hQsJxhktWWEi,[],[],0.003821
6,Spheara #359,"{""name"":""Trinity"",""id"":""tz1Ruop15fjNSfKQx8APjKJgU3ZiEM6887me""}",onsf3v52QWoG8ofdr7QgPev9X6w11XaVtqDEEjz7wZhriDwTfCY,"[{""price"":3500000,""acceptedAt"":""2022-12-08T16:37:59.000Z""},{""price"":4500000,""acceptedAt"":""2022-12-26T20:53:44.000Z""}]",[],0.004
7,Spheara #358,"{""name"":""Kusamehewa"",""id"":""tz1YnuVaS6mFDwBMC58krtU6BNQ1s5cGnVZR""}",opAZ4k8bwJt1dG1hHHX2biQHnrvTJCNLCcDJbDgTPwZqjpLt4TY,[],[],0.003822
8,Spheara #357,"{""name"":""k@in"",""id"":""tz1LMv35kXU69zkySfPfaiy1U7yfHR96rEVJ""}",onf5fDECsCkBgdELNj4c3Sxasseud8AnXgYURomGbKfQmAPJ7mD,[],[],0.003821
9,Spheara #356,"{""name"":""sammyandres.tez"",""id"":""tz2KvjfwPNKPDQr69ur1cSmU22Rx1rALHEXL""}",opWfm8zXkBfgqfr5kziChyNUHfyL6S9YZVDAcNqKQsj89F4MFyP,"[{""price"":4000000,""acceptedAt"":""2022-11-20T00:34:14.000Z""}]",[],0.003857
10,Spheara #355,"{""name"":null,""id"":""tz1YEmchBsAkF9uE1mTxw6vg4o2wTtahLkFb""}",ooWsogNNVwJaAiyM4DfXryQbW8PwvrdiWE9egBpZbFFYSrHELnu,[],[],0.01
11,Spheara #354,"{""name"":""guiboguibo"",""id"":""tz1TFjv1rC41koxYBVczv4zwVqDSs9xNDvZ1""}",oo3RxuTWrsAiyzNp7rcS1ZugzBGPDLXVfnsxzSLVyJVPvHWAKDB,"[{""price"":8000000,""acceptedAt"":null}]",[],0.01
