,name,minter,generationHash,listings,offers,gas_fee
0,[fxhashturnsone] 2022 A Generative Odyssey #365,"{""name"":""Condoriano"",""id"":""tz1RRfSJ7m1MVRuPmL4qmXax1tbTkn5hrv6r""}",oo5SCGzEk8GZaPZGK6AD2QGnDNeGS7c9hvZZ2Q84ajG1jvp6cxi,[],[],0.004149
1,[fxhashturnsone] 2022 A Generative Odyssey #364,"{""name"":""Je suis Bossu"",""id"":""tz1RCj8WBxcQ8PL62h5JsqX4roKL4oFegNJA""}",opBPC8kY4D8Yig89vVuNFVtctzyt2F9iYDaSquMPeysvSp1nkbZ,[],[],0.004149
2,[fxhashturnsone] 2022 A Generative Odyssey #363,"{""name"":""Condoriano"",""id"":""tz1RRfSJ7m1MVRuPmL4qmXax1tbTkn5hrv6r""}",op6Gg7kNSdWpriaD5WDhLMjmYgv5hbehELo6H2JGrCJP2zgaphB,[],[],0.004149
3,[fxhashturnsone] 2022 A Generative Odyssey #362,"{""name"":""UpOnlyFan"",""id"":""tz1dW9QXydD28arnVXC4YZFLMEdQsJbrRnxM""}",opPUHbtoX8czUWFh42rNW2rizUCxiG7t4FcQJAwibznAmo8eQTH,[],[],0.004009
4,[fxhashturnsone] 2022 A Generative Odyssey #361,"{""name"":""UpOnlyFan"",""id"":""tz1dW9QXydD28arnVXC4YZFLMEdQsJbrRnxM""}",opR35TnyNmAu2ZWWTsQ4sFm4avyJceFzKW76zzCsyuaZGVBaCCF,[],[],0.004009
5,[fxhashturnsone] 2022 A Generative Odyssey #360,"{""name"":""Johnny Rebellious"",""id"":""tz1iKTw2dKrsKcTmJHUWpKfNvya5fUdrYDaU""}",onjW1HhMYy7MocWWKyojWSw3mxaeg9d5ku32F3aWj9feCYSJ2BP,[],[],0.004009
6,[fxhashturnsone] 2022 A Generative Odyssey #359,"{""name"":""aleks.ustya"",""id"":""tz1hftUJsR7kifAEQAKCYFC6SRpY5mjsQzii""}",opXvFqtUgUhGoEgvGAwx7zLwkpaJceuqYtE6u8yU3BavcAFk5kK,[],[],0.004281
7,[fxhashturnsone] 2022 A Generative Odyssey #358,"{""name"":""Bad Habits"",""id"":""tz1gdno6FuKgE5WC1VKnqxb8qQQEuYrbKCub""}",opW2qQznaRgJQqZmurtjN5usDAL7fF2SJ3SizMRVGGixVBZRyK9,"[{""price"":6300000,""acceptedAt"":null}]",[],0.00401
8,[fxhashturnsone] 2022 A Generative Odyssey #357,"{""name"":""Théo"",""id"":""tz1T3St54TYhfvjYhaHRwtraMXsvQfysYCWi""}",oomYjkZVs4DTqUp3dLDjRvrNt4w6egZy9dKHMu91Jyd6kDf1MdQ,[],[],0.00401
9,[fxhashturnsone] 2022 A Generative Odyssey #356,"{""name"":""Théo"",""id"":""tz1T3St54TYhfvjYhaHRwtraMXsvQfysYCWi""}",ooN8oyBPctKErGnpWmE2s6PPvSzr9Q9TEYYs8Hzin8VazSY86aB,[],[],0.00401
10,[fxhashturnsone] 2022 A Generative Odyssey #355,"{""name"":""f3nt0n"",""id"":""tz1inPpZMzFUv5mkmqDMEC8sYxmEq53vxRhw""}",ooWDZLZCSFUT4v18Vh9a6LhBAqkWH7YDpfLj88FjoJerZGieWmY,[],[],0.004178
11,[fxhashturnsone] 2022 A Generative Odyssey #354,"{""name"":""HAL09999"",""id"":""tz1PgMiRHHCjLaJZPS739cJKnNHGaRXYnsCn""}",onfBXvoAR3hL6zND6ZMDFqLJ2m8QUKNtapE6itddpXgFQBu72uo,[],[],0.004137
12,[fxhashturnsone] 2022 A Generative Odyssey #353,"{""name"":""TacyTurn"",""id"":""tz2EaL8HTqjZhVAWrQ3Ddp4wNCxPeE8CtM5f""}",oodE1WvWrQWPKEP1QPqfB4aoeqPJXQNzxMWZd5p5J94dCW62Sfr,[],[],0.004178
13,[fxhashturnsone] 2022 A Generative Odyssey #352,"{""name"":""f3nt0n"",""id"":""tz1inPpZMzFUv5mkmqDMEC8sYxmEq53vxRhw""}",oodCbkY6UwXZrHryGRGhZNScFwV1nCCUTkpGNRny9VEhMDxzTi6,[],[],0.004178
14,[fxhashturnsone] 2022 A Generative Odyssey #351,"{""name"":""TacyTurn"",""id"":""tz2EaL8HTqjZhVAWrQ3Ddp4wNCxPeE8CtM5f""}",oo8fwmFqPqT3o4YVNfXBsCTgVM59wwgzAp2Hy5ERk6PqSL43G4u,[],[],0.004178
15,[fxhashturnsone] 2022 A Generative Odyssey #350,"{""name"":""æther"",""id"":""tz1XpFAeKEyiNf3GcyhwdPZHiJ8BuwK9APvX""}",oohikVDRUubxT4DNrjBMsXLLDSBVjNfEtDdDsoXj97YMZ8BuS6X,[],[],0.004137
