,name,minter,generationHash,listings,offers,gas_fee
0,celebration! #365,"{""name"":""Shiro"",""id"":""tz1cdmooBQ3CxGfSa54VE4pfxC5mGxFCPxtR""}",opKrQpb7WMFbsexN551JgSYuN4jdA5w3CFgJ57A3F6ELnmnM4SZ,[],[],0.004371
1,celebration! #364,"{""name"":""Anfernee"",""id"":""tz1PQRJ8wVtFgkZWGfJ6JajjjtJDYUNuKqKc""}",opPV9sEZab1snmxkUohKuFh3akAhk9FvfFjQGYE1qkvJCJACbRa,[],[],0.003851
2,celebration! #363,"{""name"":""Anfernee"",""id"":""tz1PQRJ8wVtFgkZWGfJ6JajjjtJDYUNuKqKc""}",opPGsR71D2Yrp5iJfxngXzj9TaTQD7uL3jeUmG4e82wjP5piMvM,[],[],0.003851
3,celebration! #362,"{""name"":""Anfernee"",""id"":""tz1PQRJ8wVtFgkZWGfJ6JajjjtJDYUNuKqKc""}",oowMY1Phis1TvdaWwzrGYAAkvp1YkDEy8CAoyJ1bqYjLk7vCPwZ,[],[],0.003851
4,celebration! #361,"{""name"":""dirtnap"",""id"":""tz1KgaUSx8Y6N4SBonYdnHKm1sawcoU6uDkP""}",onow6DGNxfQrEpyHoyABSjGvEZSCHygSj69VJHHCJfx5SfMwXJj,"[{""price"":5000000,""acceptedAt"":null}]",[],0.00371
5,celebration! #360,"{""name"":""Anfernee"",""id"":""tz1PQRJ8wVtFgkZWGfJ6JajjjtJDYUNuKqKc""}",oop3LKbe9b1WEB3QXndwdy21WcQZBuNmuyTGzqaWENHH4MAAq3b,[],[],0.003851
6,celebration! #359,"{""name"":""tz1fT8...gGrqB"",""id"":""tz1fT8u4PVrhbGMMT9HTrxyGFfYn2F1gGrqB""}",oo2eXsZu7TafTY2533Zwgn5ec5Pfbv2yvrSMBUjU2xzD1FAEQPC,"[{""price"":5000000,""acceptedAt"":null}]",[],0.003743
7,celebration! #358,"{""name"":null,""id"":""tz1MFYSHEYKvdQsLDvWvYPKE2r3QCUbMME59""}",opXMUsaTxBbTqvLJg7wm94zGfbrTKZHsZ2ng8CzijZLraPJVtsi,[],[],0.003851
8,celebration! #357,"{""name"":""/chopisdish/"",""id"":""tz1hwkS4C2v7UdJZDzbk2GPvKy7F16oNS4q6""}",op8vVKt7Q5W6deQtbx8KDzCLjT7pSwJaURghQVSbvmDveExq6vD,[],[],0.003851
9,celebration! #356,"{""name"":""ISEE JULEZ"",""id"":""tz1WRWPC14GHihJUo5abP2pzMm4qCRhpTytA""}",ooyH5XQCpTdmqvdxhGx9peAu1i7XuPhv7vL3ZZXSTnmSnEfXuyM,[],[],0.003851
10,celebration! #355,"{""name"":""tz1fT8...gGrqB"",""id"":""tz1fT8u4PVrhbGMMT9HTrxyGFfYn2F1gGrqB""}",ooGwcK1M8zBHJRm5VcRpk44EQAWGw2FEfoucp1vth8GZRiCRPTH,"[{""price"":19000000,""acceptedAt"":null}]",[],0.003743
11,celebration! #354,"{""name"":""danielleking.tez"",""id"":""tz1ioXgXZDvhmU6Q3FbTvVACCweyNbq3XaZ1""}",oni6ErxKdK1xKjnxoMspdB8HRpd3AL3M7A9FtAcYqGgKga4etXm,[],[],0.00371
12,celebration! #353,"{""name"":""tulalit"",""id"":""tz2UL9PXHxRGZpShwQ47dNW3L13Lfzuc7wDT""}",ooUaaqFFFjtPLEwn9hgDwRUfNMcV8gDvBFFMqdmdveMH6dbCY7p,"[{""price"":2222000,""acceptedAt"":""2023-01-02T07:05:14.000Z""}]",[],0.003886
13,celebration! #352,"{""name"":""moncil"",""id"":""tz1Qe89qNyUUEjpPwjW64AWvneHxVrd5wYqw""}",onphMbJJDxt67iAHudxHD7P2yV459zZrXJqLewbwyyKU1jEGVcb,"[{""price"":2222000,""acceptedAt"":""2023-01-02T07:05:14.000Z""}]",[],0.003851
14,celebration! #351,"{""name"":""tz1fT8...gGrqB"",""id"":""tz1fT8u4PVrhbGMMT9HTrxyGFfYn2F1gGrqB""}",ooVHWB6HVxaV9NantKXo6VfWyE5hNPL85xcVzJXQBSWzAG9LWrk,"[{""price"":9000000,""acceptedAt"":null}]",[],0.003743
15,celebration! #350,"{""name"":""ISEE JULEZ"",""id"":""tz1WRWPC14GHihJUo5abP2pzMm4qCRhpTytA""}",ooQHnBLgLcz88NjeHm2Amm1rPCJbBsB6SyTNHC9yVGbKRHPtp5q,[],[],0.003851
16,celebration! #349,"{""name"":""dirtnap"",""id"":""tz1KgaUSx8Y6N4SBonYdnHKm1sawcoU6uDkP""}",opDxyVKmCDx3aCsP5BmmggHvMVxr548ZjvTjNhNzk18Un7RWyvE,[],[],0.00371
17,celebration! #348,"{""name"":""tulalit"",""id"":""tz2UL9PXHxRGZpShwQ47dNW3L13Lfzuc7wDT""}",ooS6PFif2HuNPQDKGL4gp9e8eTPTec43R269oydbom35ctTYUbD,[],[],0.003886
18,celebration! #347,"{""name"":""Sie Fan"",""id"":""tz2RF6jScS6LyPXVEsEURdydFGCBYFasZ8kc""}",oogLNVi9ksgS6bsioWqHGfTXMboNEom6F7iCyZxZttS3se5AukU,"[{""price"":2345000,""acceptedAt"":null},{""price"":1880000,""acceptedAt"":""2023-01-02T07:05:14.000Z""}]",[],0.003886
19,celebration! #346,"{""name"":""Tantan"",""id"":""tz2QPAJhBKpVa1nVUSv7oUfZCAdrcgLC2ddF""}",oodmvhaHZWyMDbwKdS97W9gsebtg3xs2QggVx1oAt3NPsvtBLDA,"[{""price"":2345000,""acceptedAt"":null},{""price"":1880000,""acceptedAt"":""2023-01-02T07:05:14.000Z""}]",[],0.003886
20,celebration! #345,"{""name"":""ISEE JULEZ"",""id"":""tz1WRWPC14GHihJUo5abP2pzMm4qCRhpTytA""}",ooE4xjhLrdHfrEvPSS5Nygr3gkDUf9BmuFSR76WsEiESaV6czsR,[],[],0.003851
21,celebration! #344,"{""name"":""tz1QDr"",""id"":""tz1STqxGCvsWc5cFd6A4gXyr7q9Zr25sUQDr""}",oo5mkagmmbBnsyNv2mMQ5EPK9fXfB4tCd75sUvt6EP2US25kVSc,[],[],0.003851
22,celebration! #343,"{""name"":""moncil"",""id"":""tz1Qe89qNyUUEjpPwjW64AWvneHxVrd5wYqw""}",oo2P5GnaEqhUXyfZovdq7oWRvPonEAdRsCYxZrvsLCS6js17nTY,"[{""price"":6900000,""acceptedAt"":null}]",[],0.003851
23,celebration! #342,"{""name"":""tulalit"",""id"":""tz2UL9PXHxRGZpShwQ47dNW3L13Lfzuc7wDT""}",op1mFooQEeHykWB1qoHejUWmq3BpU1vP8SSUsvkudgeSWcfzi6c,"[{""price"":11110000,""acceptedAt"":null}]",[],0.003886
24,celebration! #341,"{""name"":""Chinmi"",""id"":""tz2LBpXnAQ9ZWuCoUUoeWEY8VD917P9GmyyT""}",ooBmH8hNiR16zXXFwHcCwLi2KD62sa4bXShz8Rhdn6RDZn5D2fy,"[{""price"":2345000,""acceptedAt"":null},{""price"":1880000,""acceptedAt"":""2023-01-02T07:05:14.000Z""}]",[],0.003886
25,celebration! #340,"{""name"":""moncil"",""id"":""tz1Qe89qNyUUEjpPwjW64AWvneHxVrd5wYqw""}",ooDccfhvbqpzzTipDvsjCfj7u4dkiK6vFx6zqi5hKgpfDMcfR3X,[],[],0.003851
26,celebration! #339,"{""name"":""seaneeyost"",""id"":""tz1XdNUbLj6k4ftvcBQ54Pj4DQaZ69UvwbZo""}",opKHxHSgfiKLq9SptxeFNi5Mh3RBsuW3meFNdAvm3syowVqbVzr,[],[],0.003743
