,name,minter,generationHash,listings,offers,gas_fee
0,fx(haish) / the Generator #365,"{""name"":null,""id"":""tz1YuNu6ehQ6iWJpBFxsanAugdCAb5Zibkut""}",ooNPxLPwnqGVS97qFBmXnKfFpx3qnqhRe2NE4X9FsMnLyAxaNih,[],[],0.004532
1,fx(haish) / the Generator #364,"{""name"":""ASOA 9972.55555"",""id"":""tz1LeCZ9aKwBCENWJvFJt9imb32BS86oBiyW""}",opBtHi1FXpUAVZZNvjqRyauUHuHvbFs8vZV4BjDWu5U2BBhS1Bu,"[{""price"":136400000,""acceptedAt"":null},{""price"":96400000,""acceptedAt"":null},{""price"":164300000,""acceptedAt"":null},{""price"":92700000,""acceptedAt"":null},{""price"":47000000,""acceptedAt"":""2022-12-22T19:51:59.000Z""}]",[],0.004156
2,fx(haish) / the Generator #363,"{""name"":""sermad.tez"",""id"":""tz29LhsyuU7PAKV4y6A5JFmZXks37FQeqRCs""}",oogvfv6BjVZmm3zFRPEAAvzzmXGrXoCGWJQ4WMWfCp7xrVwLg3Q,"[{""price"":123000000,""acceptedAt"":null},{""price"":50000000,""acceptedAt"":""2022-11-22T04:54:44.000Z""},{""price"":123000000,""acceptedAt"":null},{""price"":70000000,""acceptedAt"":null},{""price"":66000000,""acceptedAt"":null},{""price"":88000000,""acceptedAt"":null},{""price"":66000000,""acceptedAt"":null},{""price"":88000000,""acceptedAt"":null},{""price"":88000000,""acceptedAt"":null},{""price"":88000000,""acceptedAt"":null},{""price"":70000000,""acceptedAt"":null}]",[],0.004252
3,fx(haish) / the Generator #362,"{""name"":null,""id"":""tz1Xx3jQyamk6R6NfyJ8Hz15mL8NUyx8ii2T""}",ooTDHH4wUyNDi4tXJPnFF2gXrDKNnc9xT1z7dDivE7jxZgr9pJx,"[{""price"":50000000,""acceptedAt"":null},{""price"":100000000,""acceptedAt"":null}]",[],0.004209
4,fx(haish) / the Generator #361,"{""name"":""Alejandro"",""id"":""tz1Z3A438AD3qZFNvoJBD5LQUYbomErw716Q""}",ontFRBV1GU79zT3uXm3aVtMd5yvi7o6Hyr7FNRLukD1iHqf9Bkx,[],[],0.004209
5,fx(haish) / the Generator #360,"{""name"":""Alejandro"",""id"":""tz1Z3A438AD3qZFNvoJBD5LQUYbomErw716Q""}",opaNQq7Gi1BG5bgYDZyw2JQ43pu5usVVrgcwzBjPNicPx378nDg,"[{""price"":5000000000,""acceptedAt"":null}]",[],0.004209
6,fx(haish) / the Generator #359,"{""name"":""Alejandro"",""id"":""tz1Z3A438AD3qZFNvoJBD5LQUYbomErw716Q""}",oonLFPTmDxCcq3HXzTimzioRVinuQMqYWaTc7dFVZjxiuM7Ejvy,[],[],0.004209
7,fx(haish) / the Generator #358,"{""name"":""..h.."",""id"":""tz1XBuBrXhvLqG4YXXWE6z7bZyU7Mx6F2fiu""}",ooUkbQ9ZqGBukLHe5Y7cWzyevDpzG4cemKLNzAjpRsifgFFccHZ,[],[],0.004209
8,fx(haish) / the Generator #357,"{""name"":""Alejandro"",""id"":""tz1Z3A438AD3qZFNvoJBD5LQUYbomErw716Q""}",oo3n6ohhXKUG11h1AKedWbeNaYZC6E4Bf38nUCimA6DyK7rRecQ,[],[],0.004209
9,fx(haish) / the Generator #356,"{""name"":""Alejandro"",""id"":""tz1Z3A438AD3qZFNvoJBD5LQUYbomErw716Q""}",oouQXCewor7GucMhw4yTD2HAf8MK7cGcAZ8uq6PzrfA9jHeexhb,[],[],0.004209
10,fx(haish) / the Generator #355,"{""name"":""froggie"",""id"":""tz1fWwhbxgXpP3FTTLjscrD8JuVngRsE9PUT""}",onpHWsrUet5eQBWLeTbctVXh1KqHxFFfHT6qHa2RBBS8urBX3dN,"[{""price"":77770000,""acceptedAt"":null},{""price"":66660000,""acceptedAt"":null}]","[{""price"":50000000,""acceptedAt"":""2022-11-23T21:42:59.000Z""}]",0.004209
11,fx(haish) / the Generator #354,"{""name"":""iambbrone"",""id"":""tz1MGXYXMoq8Bj79V5oDdYJ1unbd2hQW4REd""}",opNvMZ2HgyxhZNjtmkufjHw5BxH8LXDi9jKfDKi6o9oHMx5uKXA,[],[],0.004209
