,name,minter,generationHash,listings,offers,gas_fee
0,uncontrolled #365,"{""name"":null,""id"":""tz1M4qJUbZpdb9ACz3C7PCzTkR8rV3gzZQPF""}",onwq97gJVdKC3pekRL6xvbCx9b1FA1tQAdUZtF24dDyVki62VvX,[],[],0.003792
1,uncontrolled #364,"{""name"":""Diego Pintos"",""id"":""tz1gLrwunGDkA25gBojS7gLeHF3EonHSqN6r""}",oo46JYsVxvCu6YqhutYgRZhqA5MrBCnoyW3zqnYdQDX1nh6H4RT,[],[],0.003792
2,uncontrolled #363,"{""name"":""Diego Pintos"",""id"":""tz1gLrwunGDkA25gBojS7gLeHF3EonHSqN6r""}",ooUoQ6QWLY8EG1SLXbj7vWSim5Gw3H3N3r6XhmRC7MfqVjeAoQU,[],[],0.003792
3,uncontrolled #362,"{""name"":""innovador"",""id"":""tz1Xtg5eQcjXed2i17ikckr2pBhSAz2DA5w4""}",ooXeNYYvRr9gjBRzFyKzdMqH4voDZY5yTboEoKvt7Nfgn2LFJVe,[],[],0.003792
4,uncontrolled #361,"{""name"":""innovador"",""id"":""tz1Xtg5eQcjXed2i17ikckr2pBhSAz2DA5w4""}",oorqzt4HJ9kmZ9CpVJA1cUPP5rL5jwwxzD5PbTN5EUFFKCbxRvV,[],[],0.003792
5,uncontrolled #360,"{""name"":""innovador"",""id"":""tz1Xtg5eQcjXed2i17ikckr2pBhSAz2DA5w4""}",ooNE8zk1FBrYTc9pd6HxvgTKo5uQe3aXrho5nD1tcscLAA5R96y,[],[],0.003792
6,uncontrolled #359,"{""name"":""innovador"",""id"":""tz1Xtg5eQcjXed2i17ikckr2pBhSAz2DA5w4""}",ono5qVmAZUx3W1gUMozjU5VxbYiz7qanmTfMQggheobe58DvSfo,[],[],0.003792
7,uncontrolled #358,"{""name"":""innovador"",""id"":""tz1Xtg5eQcjXed2i17ikckr2pBhSAz2DA5w4""}",onen5BjpUg7FQ25wUGj2skxSYz6B6Y8TCPt1h5TvLcqzQRJqwKm,[],[],0.003925
8,uncontrolled #357,"{""name"":""innovador"",""id"":""tz1Xtg5eQcjXed2i17ikckr2pBhSAz2DA5w4""}",oof7UfRKaS6LcSoKVZWu3GozgcMWxurb6yFn26CZcGjGDT7jVjd,[],[],0.003925
9,uncontrolled #356,"{""name"":null,""id"":""tz1M4qJUbZpdb9ACz3C7PCzTkR8rV3gzZQPF""}",opKFRib5ik7Ua8pe6yDKS7vkBcU7M7NYjnjWMNXyWbcr4Du5QGC,[],[],0.003792
10,uncontrolled #355,"{""name"":null,""id"":""tz1M4qJUbZpdb9ACz3C7PCzTkR8rV3gzZQPF""}",ooJ6AtbuR8Tg7Jom9Pecro8UtyW7zXXamYYkJThFCr96xc7wD8z,[],[],0.003792
11,uncontrolled #354,"{""name"":null,""id"":""tz1M4qJUbZpdb9ACz3C7PCzTkR8rV3gzZQPF""}",ooTQh8fmcGGP4jsrz65VD1NoewGnfHvcSoa6NLEmjUo6qTDoWZP,[],[],0.003792
12,uncontrolled #353,"{""name"":null,""id"":""tz1M4qJUbZpdb9ACz3C7PCzTkR8rV3gzZQPF""}",ooaL6Yp3ngaSaQjKFkd1HW5nDeag1BdCufYAqtJvaL7akw9EasE,[],[],0.003925
13,uncontrolled #352,"{""name"":""Melissa Wiederrecht"",""id"":""tz1amUZ31Ua4qDTNXvRRs1CFYn415xEWq5Kb""}",op8NPQuFpBe12s7vXdGLMHnmo6zAyYZ3StttvR5vinrw81yULSe,[],[],0.003758
14,uncontrolled #351,"{""name"":""Melissa Wiederrecht"",""id"":""tz1amUZ31Ua4qDTNXvRRs1CFYn415xEWq5Kb""}",ooRibcE491i3ZkzpBSn14jNHpQivab1KZrJqtL7voacUfiP4Dzq,[],[],0.003758
15,uncontrolled #350,"{""name"":""Melissa Wiederrecht"",""id"":""tz1amUZ31Ua4qDTNXvRRs1CFYn415xEWq5Kb""}",onsvEgs3ML8Hos7Q3CMKwDy44W5sQ1KohqaSJvcpAp4qV1qtfKc,[],[],0.003758
16,uncontrolled #349,"{""name"":""Melissa Wiederrecht"",""id"":""tz1amUZ31Ua4qDTNXvRRs1CFYn415xEWq5Kb""}",oo1ojRfefpKSP2WKsYXgbuETUCYxMguQX6qumgFGjCknm5UMUdM,[],[],0.003758
17,uncontrolled #348,"{""name"":""Melissa Wiederrecht"",""id"":""tz1amUZ31Ua4qDTNXvRRs1CFYn415xEWq5Kb""}",ootwUPkcxDxtru89f35jp2WbM9YXMJpJeb8waYoS9EqN83pZJSr,[],[],0.003888
18,uncontrolled #347,"{""name"":""jringg.tez"",""id"":""tz1XDovCYMMde9YhfY3cYzfHkE1LF8YYPaRz""}",opCbjdyrQfcxcFfAKAT3L1C5vpgwh48YQySuXyirCB5osVodi4S,[],[],0.003888
19,uncontrolled #346,"{""name"":""art4skulls"",""id"":""tz1fxqbnUK9t2KSLNW2tVv5P7VNpMHhV48ok""}",ooK3vinAPjz3cAj4Gf56W96bzJKQS3xqzSR59TwLydLJ7LF4frg,[],[],0.003792
20,uncontrolled #345,"{""name"":""art4skulls"",""id"":""tz1fxqbnUK9t2KSLNW2tVv5P7VNpMHhV48ok""}",ooym71XAQoDfAhP5krFvy4CYsQYyG5jPFMts3ybsKxqiYStmvYk,[],[],0.003792
21,uncontrolled #344,"{""name"":""art4skulls"",""id"":""tz1fxqbnUK9t2KSLNW2tVv5P7VNpMHhV48ok""}",onu44bXoFu8g7mRuEFvM4ui2aWnaBu1gF9YMca7hBRYBbQKz29P,[],[],0.003792
22,uncontrolled #343,"{""name"":""T-Bone McGillicuddy"",""id"":""tz1XuRkBUuK8frXC8FQ2GDsBrnNuN4zmJoiy""}",ooEQ8NHtgmCXYX17TSwNFUPdRHn3e33ukVDjSoLGdAPm1NBJpve,[],[],0.003888
23,uncontrolled #342,"{""name"":""dirtnap"",""id"":""tz1KgaUSx8Y6N4SBonYdnHKm1sawcoU6uDkP""}",oo1HdP2bFDsiFRPiYWCn4t3zP1tZfsuDV73PMJyaZrF5q2WppdK,[],[],0.003758
24,uncontrolled #341,"{""name"":null,""id"":""tz1LKW3gUc96LTLDHt3hBAZbGx9shrcyEMGZ""}",ookUKKZoYBAqaxfVmM9KjsDeKzugd38Csf98q35iBAvRRtPsit4,[],[],0.003888
