,name,minter,generationHash,listings,offers,gas_fee
0,空-sora- #365,"{""name"":null,""id"":""tz1YMSz2fY5HxFBqUqodGbY4UxAafnkW5BMG""}",opW84maxBbh3a9mhFPy4RX7WqPn3FQtXDvmYVtioREyAuKE936J,"[{""price"":2482000,""acceptedAt"":""2022-11-16T12:03:59.000Z""}]",[],0.15
1,空-sora- #364,"{""name"":null,""id"":""tz1LKW3gUc96LTLDHt3hBAZbGx9shrcyEMGZ""}",ooaczrDVvA5dPeudaPjWYonnpSREamQTEGuhC2CqyZBXnsM7mxu,"[{""price"":2482000,""acceptedAt"":""2022-11-16T12:02:59.000Z""},{""price"":4000000,""acceptedAt"":""2022-11-16T12:06:29.000Z""}]",[],0.15
2,空-sora- #363,"{""name"":null,""id"":""tz1hhiqw82R6VhSUWHb3N6Ehs9DubdfiRzPB""}",ooTQV9kCPjUAYKtYpDZbhRmfpfXej12kasJRdjvUJH7QrGp8h2d,[],[],0.1
3,空-sora- #362,"{""name"":""Nickie_YB"",""id"":""tz1heupZikcdBy9bR6922gEC9ZbiRgnxWtkt""}",ooMshBWnfpsQ5FZWepB81bzt81h72LbwCVFXVMnk7PxKkBEYHDT,"[{""price"":4440000,""acceptedAt"":""2022-11-16T12:05:59.000Z""},{""price"":100000000,""acceptedAt"":null},{""price"":100000000,""acceptedAt"":null}]",[],0.1
4,空-sora- #361,"{""name"":""Vault 8"",""id"":""tz1XNVB1kwZu8prNp3PqqWUDCcNkLKW7Kwww""}",opJ67QuseN92AYyyx2T6NTCFrFA6aoyY5bEDNHL2tPmL1ZkCtgF,"[{""price"":4440000,""acceptedAt"":""2022-11-16T12:06:59.000Z""}]",[],0.1
5,空-sora- #360,"{""name"":""Liquidity Network"",""id"":""tz1UraXm8CyqneVqUawTppCAYF6zWkxcSsPr""}",op4bp4zFHtWZuaXbB6ASNNtNGpKiEKWpEJHzGzG6UXjcDAHGTCK,"[{""price"":3600000,""acceptedAt"":null},{""price"":3600000,""acceptedAt"":""2022-11-30T03:12:29.000Z""}]",[],0.1
6,空-sora- #359,"{""name"":""PierreDunn"",""id"":""tz1UAnRqXU5eR6SgxcX3BaUikXyistDRuxyj""}",oo76J8SZg2Rh2oudXQp1EW3PnWjqVMGyYePgXKT5HHNLtcEyKVk,"[{""price"":4000000,""acceptedAt"":null},{""price"":4000000,""acceptedAt"":null},{""price"":20000000,""acceptedAt"":null},{""price"":9000000,""acceptedAt"":null},{""price"":4000000,""acceptedAt"":null}]",[],0.1
7,空-sora- #358,"{""name"":""Doraemon"",""id"":""tz1RNq9tecQ4i4h1iyD7HmeZjiw7hfq4JMkb""}",ooJYtw6tdfmoDosHfjEhQyaHC5divFmjRfCsdiVHSiQN2cVreC3,"[{""price"":4000000,""acceptedAt"":""2022-11-16T12:21:59.000Z""}]",[],0.1
8,空-sora- #357,"{""name"":""SmallWhale"",""id"":""tz1Zknzx49yqLwvf8sfyn3hrjACBXiUF8h8g""}",oooQJQ6dgcNeBr6y8tgH1FWMQYJCVRjfo65ash727gyJU1weHQS,"[{""price"":7000000,""acceptedAt"":null}]",[],0.1
9,空-sora- #356,"{""name"":""NFTzombie"",""id"":""tz1NtLM6sadeDnJpBKfMLKMnvVvCeCRGEXhL""}",oo9YKNnf1FJkxjebuzuztwt5DXAgJhADZFx3xBxEnWJWZcGaHuE,"[{""price"":15000000,""acceptedAt"":null}]",[],0.1
