,name,minter,generationHash,listings,offers,gas_fee
0,(dis)Mantle #249,"{""name"":""Inglide"",""id"":""tz1UvsQnsBr1HzeECqGFi98KJQ9VAEVE9rEz""}",opLQymFUF6CGCzjmiW2TotqQQtiDu4PGTFaoQFqcpiWvaJWdYwY,"[{""price"":110000000,""acceptedAt"":null},{""price"":220000000,""acceptedAt"":null}]",[],0.155
1,(dis)Mantle #248,"{""name"":""InProgress"",""id"":""tz1dh7NF5TYwV7om7pg5FTkHoQeJcuo9b9yN""}",ooAvZeuE33eqdBbr3WufQiWrkneEAqQAptLTQrMkDMVcoEUPFS8,"[{""price"":200000000,""acceptedAt"":null},{""price"":350000000,""acceptedAt"":null}]",[],0.156
2,(dis)Mantle #247,"{""name"":null,""id"":""tz1hNcCmuqgZGXpLa2qKxyKQWYYGCyKBtWpk""}",oom6YBj8NjUw1PGF7DsXkSX9CLDkLmpy2KrLp2yNKSHT3xDvcFN,"[{""price"":55000000,""acceptedAt"":""2022-12-24T18:49:14.000Z""}]","[{""price"":40000000,""acceptedAt"":null}]",0.17
3,(dis)Mantle #246,"{""name"":null,""id"":""tz1do8h3q6jtFdUaxbkLvetvNeSBCn1bU6wu""}",opZQgztMP1pd6U8yDKw1bohRoYZjAuJ8KQZ8texkzti27dntbxm,"[{""price"":88880000,""acceptedAt"":null},{""price"":66000000,""acceptedAt"":""2022-12-24T22:09:44.000Z""}]","[{""price"":40000000,""acceptedAt"":null}]",0.17
4,(dis)Mantle #245,"{""name"":null,""id"":""tz1P4RKhuS8qYJbDZMapYsNx6SUwMZFBnuXm""}",opLUJUGCRzg2N6cN2YiT9rxy8p5HyY1zqDfb7QU4Ui17pLNoYCw,"[{""price"":100000000,""acceptedAt"":null},{""price"":72000000,""acceptedAt"":""2022-12-28T20:21:44.000Z""},{""price"":140000000,""acceptedAt"":null}]",[],0.17
5,(dis)Mantle #244,"{""name"":""Choch"",""id"":""tz1SuW9ARD5gFbAfZXLv6Cw8e5ieJuYZwzBM""}",oovzpEtyikXZ3t9EHBQCFakYCt29F4yDAmuHUxXxwXruT4YEFS8,[],[],0.500388
6,(dis)Mantle #243,"{""name"":""thugzhitek.tez"",""id"":""tz1iWRcpFCrmZ8VruzhJFw5LSGCMDwp1eLW4""}",ooVMZu7f64dBt2SgZL9ZjBzDZNtWzAMaRnUZd9HEN2jRx36HG4V,"[{""price"":98000000,""acceptedAt"":null},{""price"":75000000,""acceptedAt"":""2022-12-26T21:20:14.000Z""},{""price"":69000000,""acceptedAt"":null},{""price"":54000000,""acceptedAt"":""2022-12-24T18:24:14.000Z""}]","[{""price"":40000000,""acceptedAt"":null}]",0.7
7,(dis)Mantle #242,"{""name"":null,""id"":""tz1N7N8CY6Vq7CpA2HhgGi7vWSXEN1s6ZB6i""}",ooKQhSepDEXmhwC7bZAxkm8YsEYvA2y5zxT3BH8ipqRgQQ9THna,"[{""price"":130000000,""acceptedAt"":null}]",[],2.009
8,(dis)Mantle #241,"{""name"":null,""id"":""tz1TQgbghNyRaW21NnkzN2m49QysKUn36neS""}",oo1R55QA4R3xqjXHAsWWvUQG1s8JX6mwxq7eKJyDNixS2ExPJBn,"[{""price"":95000000,""acceptedAt"":""2022-12-29T17:47:59.000Z""}]",[],2.009
9,(dis)Mantle #240,"{""name"":null,""id"":""tz1TWubPRXfog5Ws35g8aekHUttce9ghJtvr""}",ooX9Rqx5kGW7PXzfkHzccqEEd9tzEes128PrG2kLnCxCDgEhpLH,"[{""price"":99000000,""acceptedAt"":""2022-12-28T20:46:14.000Z""},{""price"":170000000,""acceptedAt"":null},{""price"":120000000,""acceptedAt"":null},{""price"":110000000,""acceptedAt"":null}]",[],2.009
