,name,minter,generationHash,listings,offers,gas_fee
0,0xElf #43,"{""name"":""Jan van Essen"",""id"":""tz1eRPAyJo2aeFSdhMxxgH8gVMtp36tFKX1s""}",onuysQYNHgaf4XnpsYPcPF6V9J4TveiMxPrUDVJ1YhCrmix85ZE,[],[],0.003586
1,0xElf #42,"{""name"":""Jan van Essen"",""id"":""tz1eRPAyJo2aeFSdhMxxgH8gVMtp36tFKX1s""}",ooF16K26nuvpvZZxUWseXE6gv1YSsLsALyqzEBq1mfRmUPKryqH,"[{""price"":9000000,""acceptedAt"":null}]",[],0.003586
2,0xElf #41,"{""name"":""WorkingAnteater"",""id"":""tz1ZaQTwDoV4wnvBZ6CnudFeZZNiSkCTzmXr""}",ooAHLQXneWE8GWJJZRiyon74J1T7KgqwqJfGSG7TVzWt2EMEf5w,[],[],0.003617
3,0xElf #40,"{""name"":""æther"",""id"":""tz1XpFAeKEyiNf3GcyhwdPZHiJ8BuwK9APvX""}",opFZGq28LNRnKiNGc8kcpxtw8yh5uQZb59bD4TgWJiWyg8hJaDC,[],[],0.003587
4,0xElf #39,"{""name"":""Jeff Palmer"",""id"":""tz1PhYXjxJJovmLLuajAa4kYACQXE2eVEF5k""}",onguv4WNmAkr4L1DypRWDza6WdoPuugY2bjZg9zRJjB9rn6fcC2,[],[],0.003617
5,0xElf #38,"{""name"":""Art Ralgo"",""id"":""tz1TmMJYiLpo2jf3Us2jox27ruh4Ajh3xYVL""}",oouDiNYiyeu6CP5SDfmXb4yFGu3pwa7bwYSe83mhTzTg8ErDXih,[],[],0.003587
6,0xElf #37,"{""name"":""V5MT"",""id"":""tz1LAdqCcvhj438mV4ADMuGkhtyjMJgqPnYX""}",oomCZf9HseHPzLvhvR3kr6AEfoX5Xzzn8c2wesXHCbZ7u1h9TQA,[],[],0.003587
7,0xElf #36,"{""name"":""TLZz"",""id"":""tz1gV8RMgSr9xitsFTRYs8HVpaWKZZkYW39f""}",oofex2eyy8k5i3quVCqNRC18vQxqjZMNWCN7jjzrw9qu5KLMoZ7,[],[],0.003587
8,0xElf #35,"{""name"":""EASports"",""id"":""tz1MgpiDP6N6hgvE5yUBP9vmZ6aEVVpvP5AQ""}",oouN1366PjBQLKQoNB89SwRMJYJfKGiLQDZtSemntmnqX6C4jwM,"[{""price"":10000000,""acceptedAt"":null}]",[],0.003587
9,0xElf #34,"{""name"":""headfullofjelly"",""id"":""tz1VYcoXV9zkwGVTQg4c6P6U2hq2ndqvz23X""}",op9SFdhnRvuWQJs6kPZgCRrQT63cVnzCvhaR35V9CcZgrsFhYp5,[],[],0.003587
10,0xElf #33,"{""name"":""dirx"",""id"":""tz1QM2ZmH3HUD5MUSY3efFvYqLz3A2rZZmT6""}",opXSJ2uA1H1LuC2Ln1LNxsHHzHQLCwpA8HihrrLPVWSNWRvmpZX,[],[],0.003587
11,0xElf #32,"{""name"":""Elout de Kok"",""id"":""tz1gmu6JWBtVempivULkthcWT3hgXjtHz2xT""}",onhF6ZQ2YoTr9EPYRpFtkrBvLB7fSiEEuzUkdHExKgrZ2Tq9XRC,[],[],0.003587
12,0xElf #31,"{""name"":""wut! tha aktual"",""id"":""tz1XzDFq1nftstKsSRgm93ww2xP2M2Wvenaf""}",opZchRfmQgxBj2KgJtcCD7HUZ4kCt4m3c8t7CNfVmN7zrtSBZjM,[],[],0.003587
13,0xElf #30,"{""name"":""djangonero"",""id"":""tz1bBQdNMKcgXspA67qbWojpNBAU4HbabiLk""}",ooz656qfadyhExsTYpmATapQRatwzzMXQzyUxMdLZn3QpRmYZWQ,[],[],0.003587
