,name,minter,generationHash,listings,offers,gas_fee
0,Blind Gallery Club Membership #400,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",onjgSEYB9NdFtvvbLtai6o7M5BfSLihTUPACMNCiR9yM2ABHRrW,[],[],0.003967
1,Blind Gallery Club Membership #399,"{""name"":null,""id"":""tz1MqRsVEzpw7d77XunAdLFnDGmqzm54cSmX""}",ootdYawwn9jVcCAKuHHsDaoWhzaRNn5bsWYt4Yjy943pnTGVTmn,[],[],0.004391
2,Blind Gallery Club Membership #398,"{""name"":""Orvix.tez"",""id"":""tz2MhBGCfA69KDPQ3wQwt1U5AGKbWmBfChre""}",opWwM4JDQMtfoLYMWmHnniAZSE2LHDVysVZLqjLXqKG2e1zoQjD,[],[],0.004397
3,Blind Gallery Club Membership #397,"{""name"":""slaq"",""id"":""tz1WwYJnXwZNcqWB1YJU1KBuWjqL5C35vFkQ""}",oopBGVAs27xcwTGyhpmfqiXBFxKDzE9CGArk371vHU7S63wCqCc,[],[],0.004348
4,Blind Gallery Club Membership #396,"{""name"":""Orvix.tez"",""id"":""tz2MhBGCfA69KDPQ3wQwt1U5AGKbWmBfChre""}",ooerLYJdQaXTryWXkpvN5K1FwWLxW1QAzNPHLgNFmmxB1KozeHs,[],[],0.004397
5,Blind Gallery Club Membership #395,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",op6e5B86Ygty12kvWqd5pqkKGYSi52N3bPfvQqFHWX4RRNgyZon,[],[],0.004348
6,Blind Gallery Club Membership #394,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",ooHW5ikhQZGn7VJEoCMiPKELHRdbowsqyq2i2f2EHNhQ9Vmppmw,[],[],0.004348
7,Blind Gallery Club Membership #393,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",ooCaD96ZxZcAbUahTGATzfAgG7uAsEJ4mND61a8BHZ4boLxN8gX,[],[],0.004348
8,Blind Gallery Club Membership #392,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",opFFnoMJYtiU4xYjud29f3Zf2cU5iDULN5ZeXCcbbUhosTrqQZb,[],[],0.004348
9,Blind Gallery Club Membership #391,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",opYZSp14uq4DsPNZd35mNpKoBu8oHEnc35q47qLG2MUdnxz6iXy,[],[],0.004348
10,Blind Gallery Club Membership #390,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",onp1KZZQ9PKAGjo6KqQemAXUZLXba9DZGHH1CcXGPtNUbnCKBWv,[],[],0.004348
11,Blind Gallery Club Membership #389,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",oo2ngbK1adSe9S4jh6h7zLHMeZoYW491e3rtT8sm4kfSgmuChrf,[],[],0.004348
12,Blind Gallery Club Membership #388,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",oohVDhWR3LaefsgEUavAGFASUFC8wtsA2cRtMPgQP1nCRqrooBf,[],[],0.004348
13,Blind Gallery Club Membership #387,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",oo7axaTjHDfrD9mPcvoSnzCeFP6itWhYEB2HSd4LmLzFMBuPvYP,[],[],0.004348
14,Blind Gallery Club Membership #386,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",opBCjVL47yg2SSCJGCorRQeXmuUo486rtsRtqq67gQXRvW8zEce,[],"[{""price"":101000000,""acceptedAt"":null}]",0.004348
15,Blind Gallery Club Membership #385,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",oorkZyLQt77SFe1PdPG5nsNXg59AiDWwYFvCb3vw848fRYbumed,[],[],0.004348
16,Blind Gallery Club Membership #384,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",opNX5mPPjgLYkDsav19xXdyiykNMhBhb4gbxX8yJU2M5XLdYdCX,[],[],0.004348
17,Blind Gallery Club Membership #383,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",opR8cAS9jWWuK1csDfW4Dsg9o3LqD9iuwHiC9XjVpu4SQdzej18,[],[],0.004348
18,Blind Gallery Club Membership #382,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",ooqgF36K8gwwjRq2r9r5EaNKJooKJW8ve4GQg4cqm3qYs3JCu4L,[],[],0.004348
19,Blind Gallery Club Membership #381,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",opTPuhuhB2tVDJwy1cxu3fLCrqRq4r9GkaJXMCuc9bKKBf6BjBn,[],[],0.004348
20,Blind Gallery Club Membership #380,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",op7UoNuVw2NrWSJSXccQawa44a7RhJzS33gLtYUFueFUAQ5DPPa,[],[],0.004348
21,Blind Gallery Club Membership #379,"{""name"":""Blind_Gallery"",""id"":""tz1UdddbVe3icmr5LRP1monxfR13ChsidcoX""}",ontKSE2Agqawwnn2AUVmWrpFx7vow4Y4JkrhwHsYBahQMmhxK9m,[],[],0.004348
