,name,minter,generationHash,listings,offers,gas_fee
0,Connect-us #200,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",opAuzDy6Sd1F4Z1iBuDcDVvcVM3FVdbcrpYD5goWn99tU8K4uz4,[],[],0.004003
1,Connect-us #199,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",onrpoc4nfHBfKVe65HKFGFnSZhQ9g13hq5mnyZgJUaMZ9zpWSWW,[],[],0.004003
2,Connect-us #198,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",ooRUSACbiVnQVvxM4viARKd8B48TmFPdfSEQRe9XZwXpUb71XgP,[],[],0.004003
3,Connect-us #197,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",onx3Uy7u75ZHxwtprumpoag6DEybJQAQHSk3Yo2JvcredbMmLq2,[],[],0.004003
4,Connect-us #196,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",onf37g3cTfMrAYFrdLAG82eAm49u8Acn4NXRufynhha9EKiSxKC,[],[],0.004003
5,Connect-us #195,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",opUthdD5BTaXe2kW6vXehXkiz5Y9myKeXMbh3v1A3cZgHzgB4xw,[],[],0.004003
6,Connect-us #194,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",ooQMX7mWS97fV5z76onFPxmiyuy9RQSPruhTxpeeEwTBVBcXGUD,[],[],0.004003
7,Connect-us #193,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",opQpxgwqt2KjnTj1Tyv9MVffDFj9CBq6gg38ffoSmtSpiLEpz8Y,[],[],0.004003
8,Connect-us #192,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",onjpJHgkSFWQQx7UsHdvpSpc8gZPsGbPwVZcsuMNQD7AQ9xVAmR,[],[],0.004003
9,Connect-us #191,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",ontaUnnt4YJoB6fpf888snSYHg4QTUHUhpUbuZu5Y9xGVamnsE6,[],[],0.004003
10,Connect-us #190,"{""name"":""zovcom"",""id"":""tz1Tvy2a1JSFk7p51ZE1C3j3EiVrsX2rwBjP""}",onedg7k8qnxitfSiAPKFCQAN3SGY8npwS9XNfSVU4Kt2WqS24Z5,[],[],0.004003
11,Connect-us #189,"{""name"":""473xanderz.tez"",""id"":""tz1UDGwyTMU3ccfV4o6KzagWkD734FCSWN12""}",op64J7G3tYr75ZxdsRoa68bARm3d8qocRct2YiWJ5g6eRTmsowe,"[{""price"":2880000,""acceptedAt"":""2022-12-28T15:22:59.000Z""}]",[],0.004003
12,Connect-us #188,"{""name"":""headfullofjelly"",""id"":""tz1VYcoXV9zkwGVTQg4c6P6U2hq2ndqvz23X""}",oos6BPjRKaWwvKLMJmyxJg8Thm8HSQ2KUK7qHBBVso3EZYdegDm,[],[],0.004003
13,Connect-us #187,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",ooo32ckDTe4L9i9dMff7HXuMpJjnNen7Lcm7rCesERyM54BvbTs,[],[],0.00402
14,Connect-us #186,"{""name"":null,""id"":""tz1PgCTSqvd3PD8RwBL2jhqTXjQMhsvgd5uY""}",ont7UGvSnhesmiEu9N8pek5fVLr6Bynf8dVMM6surnPqhUoh1uk,[],[],0.00402
15,Connect-us #185,"{""name"":null,""id"":""tz1PgCTSqvd3PD8RwBL2jhqTXjQMhsvgd5uY""}",oneDSix4n8n138hSCXEy57PGKQdjSdNu9TFT86Hu91gmN3DsarM,[],[],0.00402
16,Connect-us #184,"{""name"":""kefan404"",""id"":""tz1P3QobR3vLkspkLfBLGRBqgCBRCxcVSsuZ""}",oo8N1sV49ecPoTZWzG3XAXypR4erDF6AF2puA7CY271HexrwSDP,[],[],0.00402
17,Connect-us #183,"{""name"":""PureSpider"",""id"":""tz1PqooZUtCQqP539PmMzUWHtaUX6EQtFY5S""}",onshay6FpbUnM4RTqtCbFKqNFKAZQuv6P6kdA3AL6Ud3VVGyiLH,[],[],0.00402
18,Connect-us #182,"{""name"":""jaxo"",""id"":""tz1Ujpedv3t2miP6gWXyW9M8fFNw8jh4X93G""}",onrHgjeXcPzdcYreaw99fHB72GPwfmNsLn69U2tVGH8qgBip5jc,[],[],0.00402
19,Connect-us #181,"{""name"":""James Filomar"",""id"":""tz1fZ3x4oUfshuHoF4qbDd94cKfQaNurwst7""}",onxAe5kqB1ZkkXj1JcVyMXJ2LykaNB3FBpQAe18ySaUn2wYWcAy,[],[],0.00402
20,Connect-us #180,"{""name"":""Lammetje"",""id"":""tz1VnepzAtPKpQhC4jh9cCbxhXwFKTQxrhzZ""}",oovh2zNj4nmFfBWhWojhBASHpaxxXkU5cXGVo4YZCGry5TrBaEb,[],[],0.00406
21,Connect-us #179,"{""name"":""obi.tez"",""id"":""tz1LvDyHQgvZwbh8ViJJjU1wBUfmmwhsukuJ""}",oo5iBpLooth3S2yQJCvSNcDiW4N731zZ4NwdAMboxKGXpRGWdSK,[],[],0.00402
22,Connect-us #178,"{""name"":""obi.tez"",""id"":""tz1LvDyHQgvZwbh8ViJJjU1wBUfmmwhsukuJ""}",opTZKC6hSMW7xohpfB7Hn6Mbdx7uH1nHgQAUp4UrQDWvohEBrj1,[],[],0.00402
23,Connect-us #177,"{""name"":""obi.tez"",""id"":""tz1LvDyHQgvZwbh8ViJJjU1wBUfmmwhsukuJ""}",ooeUM4GQHhHeZjdsUy2bhrXnaUXLr8JT6LdyYR1JoWjvvjMD8uu,[],[],0.00402
24,Connect-us #176,"{""name"":null,""id"":""tz2L4t9S9LjpR2ca6B869siiKe2Ymp3aQ4gg""}",oosyQsoJXGykSoJn54kDtR5kvsZvQ7BQftzT33Z2Nh9gN7bQu2f,[],[],0.00406
25,Connect-us #175,"{""name"":null,""id"":""tz2L4t9S9LjpR2ca6B869siiKe2Ymp3aQ4gg""}",opFtfRA2MGWEHqB8qZCX6mGq4gQMkAPdDaJ52DEcqaZz9bNE29H,[],[],0.00406
26,Connect-us #174,"{""name"":""BullyzOnly"",""id"":""tz1iHxYmzgjFxuRX3BR5VpTYgCSH366CdQMA""}",opUBy9DEDjD9MehUnSwQAfn1YBpRZkeQ76PNRNFKX87WMXVQ5rB,[],[],0.00406
27,Connect-us #173,"{""name"":""BullyzOnly"",""id"":""tz1iHxYmzgjFxuRX3BR5VpTYgCSH366CdQMA""}",opXtf1raEbbjKiaVj6EAkRx8WudYkZMw4sKwxLHEHtz9KYBKKVx,[],[],0.00406
28,Connect-us #172,"{""name"":null,""id"":""tz1aEQe5dAaP1WJ85N77SFqUJTLrt9VHexNu""}",op7c7FHJx2WCxeMafeTKs8pAS3ZBKy1pywMpwRZEybpubfezs12,[],[],0.00402
29,Connect-us #171,"{""name"":""innovador"",""id"":""tz1Xtg5eQcjXed2i17ikckr2pBhSAz2DA5w4""}",ooT4KwF52FFKkQsVTUT9ESPoZf59H3YJZnaRCfieCnNdUMDustJ,[],[],0.00406
30,Connect-us #170,"{""name"":""0xMav"",""id"":""tz1VgoYJYn8WCrzSiJzU8akNexYkZxuZghAH""}",oo31ecjfDVxeUZKmfGb1GMK2qZADyr4uUgrFHhj1GtabEQBCyXd,[],[],0.00402
31,Connect-us #169,"{""name"":""0xMav"",""id"":""tz1VgoYJYn8WCrzSiJzU8akNexYkZxuZghAH""}",ooFrdWf5NXc7zBgLFCfxJMvXzB3Sph421MW75Tjmwpx5vu6xKxt,[],[],0.00402
32,Connect-us #168,"{""name"":null,""id"":""tz1MP5EqxEWdV8bB5yLvgLFf3X76z3qTKRCG""}",ooxs7kVcsLq3GBNxhspnBmsMx2yeH2q4kU5khJ4iMyfCGBEarZM,[],[],0.00402
33,Connect-us #167,"{""name"":""CryptoScottie"",""id"":""tz1fY5MULURVd7eysXtwT7sg3nd8n2xawr9f""}",ooPnj6tdJbR3dd9MHng2USsa2i1AJoCAEJVbEi57VtZVU9h2uGf,[],[],0.00402
34,Connect-us #166,"{""name"":null,""id"":""tz1KqLnrrNTyEh2CjLkAXrpCxn9aeijLvCFf""}",opC5oSy8bQpVeECmnZz5fneSDjS67C7UzWsjy3k2Y89R8177APh,[],[],0.00402
