,name,minter,generationHash,listings,offers,gas_fee
0,Energy Flow #40,"{""name"":""fresh(hash)"",""id"":""tz1bXJqoRVXFywzA1ySddnDy1dnEjYy78h6P""}",oopotrVatSG3icgbwGPpCuMdXGKs6jnwnGag46iiinrN54shabW,[],[],0.00358
1,Energy Flow #39,"{""name"":null,""id"":""tz1SZEFHAoPQa4NqynYR3chHCbAePz6QzCGn""}",oni3JdgdwdF8XqSrxE4Y7Lh1Lg26GLurhHmpVwD3svvoNHmqFMh,[],[],0.003581
2,Energy Flow #38,"{""name"":null,""id"":""tz1SZEFHAoPQa4NqynYR3chHCbAePz6QzCGn""}",ooGYbc2RwpArGDqfJTsyVDNSbsfEeQHt7Uqq7Jw1joUHg22nKUu,[],[],0.003581
3,Energy Flow #37,"{""name"":""fauxjebus"",""id"":""tz1WusSKVn2eN1S7MeFGe48P4fKjMbhFa5TU""}",oovLhZDepPW8aNctxxzMGfmcmxdyRA5fAZZAQDCdmYHBvbpS4X5,[],[],0.003612
4,Energy Flow #36,"{""name"":""fauxjebus"",""id"":""tz1WusSKVn2eN1S7MeFGe48P4fKjMbhFa5TU""}",oorz4me8Q8N1KDATVAn7q8WraESus4XNRGBsDv9edrp3Bnt99mQ,[],[],0.003612
5,Energy Flow #35,"{""name"":""tezosart.tez"",""id"":""tz1gbjtBH26MNSzSfxFVKEbrG7uzxayUKYpc""}",oo6kMLYTHdq7uxhrRbFvLAZw2hwpN6ZuwdKnoiUKGcGbby3uAWz,[],[],0.003723
6,Energy Flow #34,"{""name"":""Titito.tez"",""id"":""tz1W3ocxM4cz27USBQGsthccT8rENDkzvmv1""}",onjPdnpgjKL8mXprbcBW9UhEhdrgbB2fpdgvu5v7uqUNYQj1A8S,[],[],0.003612
7,Energy Flow #33,"{""name"":""UpOnlyFan"",""id"":""tz1dW9QXydD28arnVXC4YZFLMEdQsJbrRnxM""}",oozwHjU6WcnrG41u2BA8u2sbpNSKXWLhCzK4Nfhad8seej8cbgf,[],[],0.003582
8,Energy Flow #32,"{""name"":""andsoitgoes"",""id"":""tz1S7dEUeBMcJPps1qEKNHmHaqRCNjvaPXVa""}",opKsFidsrqDPGKrMnn3JVK31vfxuysr92dFzG5Rv2YHdYUo6fxC,[],[],0.003612
9,Energy Flow #31,"{""name"":""andsoitgoes"",""id"":""tz1S7dEUeBMcJPps1qEKNHmHaqRCNjvaPXVa""}",oo11sJZQDi5bdHVJFrQcuS3hgfDeY9v8jnbcg7iZXTVAXAoQeWi,[],[],0.003612
