,name,minter,generationHash,listings,offers,gas_fee
0,Enfantines II. Enfantillages Pittoresques #439,"{""name"":""Noochie"",""id"":""tz1XX1VvPpWb9UezvCeZRgEfxrCqY8G8Gvbi""}",ooQPAdJgErCTEmX9MzBDmxhQhuQj9fhNKE9QqagGUYurTz7J1UC,[],[],0.004174
1,Enfantines II. Enfantillages Pittoresques #438,"{""name"":""msoriaro"",""id"":""tz1eCX4smQ3LbxwDR3pqNoLQvNNKiHJtpwYz""}",ooiW7yRZwqU3HUSUdNXpEkAhKSQKhdZVEJvxhfNcQ9sCR7cJLyo,[],[],0.004228
2,Enfantines II. Enfantillages Pittoresques #437,"{""name"":""Trinity"",""id"":""tz1Ruop15fjNSfKQx8APjKJgU3ZiEM6887me""}",oo8xMa6sLfGCz3DSChTDztpGirCq2zmuNortcuHNjsto8RwvfhK,[],[],0.004221
3,Enfantines II. Enfantillages Pittoresques #436,"{""name"":""anaglyphic"",""id"":""tz1hkKqGk3fPPYroNagWpWsxxV3x8P8jqwp9""}",opZ5jjZ727qzQ7VTWkWZtkGBvvUnFHABdQxC2x1vbQvpTn9XA7X,[],[],0.004179
4,Enfantines II. Enfantillages Pittoresques #435,"{""name"":null,""id"":""tz1fvMwh39WcSfxmodsSzRPpbXkxzQGMJyN2""}",opNTr1K4Bi31TtdX8vhvaqy8Ypam32LSPNrW4AnoZGg5MFXd4Ux,[],[],0.004179
5,Enfantines II. Enfantillages Pittoresques #434,"{""name"":""Kaloh"",""id"":""tz1UUSrrxHq647suLgAngWE481UTbzUonf9G""}",ooPvhyzN1LgHniMQWypzKkeoENxDVp2KC2yr7ckVmtKNBbPv5Ne,[],[],0.004179
6,Enfantines II. Enfantillages Pittoresques #433,"{""name"":""WillPOP Vault"",""id"":""tz1SCBy5gFnbejrvdV6NwUcLjevZy5fzoQ8D""}",opU6Hoh6rdEAjCos3M3ggChJkrBzXiNAFKC81JiDGikpMh4vZfA,"[{""price"":300000000,""acceptedAt"":""2022-12-31T08:23:29.000Z""},{""price"":2000000000,""acceptedAt"":null},{""price"":1800000000,""acceptedAt"":null},{""price"":3000000000,""acceptedAt"":null}]",[],0.004179
7,Enfantines II. Enfantillages Pittoresques #432,"{""name"":""art4skullsgenart"",""id"":""tz1SWwpTDpvf8PAYnenfsXF9bbUwJRzksJND""}",ooU1HgBTazkLSaWtSLUwLAeNWj4hp4oEWiHAVZmFrwwiSwZSNxS,[],[],0.004364
8,Enfantines II. Enfantillages Pittoresques #431,"{""name"":null,""id"":""tz1d5khLKyZyu3ioK2StViUHCR6ozyAkeR2z""}",opXxYyVx7Jj3KjJvBSn3J1HEuD612oBLoTdcn7iu62FdEytd8FZ,[],[],0.004366
9,Enfantines II. Enfantillages Pittoresques #430,"{""name"":""dmarcrypto"",""id"":""tz1aHAsDofQd9KQb9ZsFZUzAsu39tJ2JrmKD""}",onnjSSezCttXpjuWMEu2jWY6CCoDFeWB74AKxRrN94jGPV9bBNw,[],[],0.004366
10,Enfantines II. Enfantillages Pittoresques #429,"{""name"":""dmarcrypto"",""id"":""tz1aHAsDofQd9KQb9ZsFZUzAsu39tJ2JrmKD""}",opFPATHfVfxvrF4dpJVZYG6bAzoLj9gAxDRvhtUvcN8xJygMeFn,[],[],0.004366
11,Enfantines II. Enfantillages Pittoresques #428,"{""name"":""dmarcrypto"",""id"":""tz1aHAsDofQd9KQb9ZsFZUzAsu39tJ2JrmKD""}",oniqyMY6qg2Cxa1hUWXK3YYL7ZxwsF4mpjBX2LPnnLRe3mhLxDo,[],[],0.004366
12,Enfantines II. Enfantillages Pittoresques #427,"{""name"":""dmarcrypto"",""id"":""tz1aHAsDofQd9KQb9ZsFZUzAsu39tJ2JrmKD""}",oovec6d48utfSYLsz15kbUfTNCwSKwe264t4iHDmK2EppGExMzf,[],[],0.004366
13,Enfantines II. Enfantillages Pittoresques #426,"{""name"":""lemonde2d-vault"",""id"":""tz1c7zSkZF4rJg6xtjhVJ49WQYFpRpGxWkJV""}",opathob66JDPduy5d3Y74tQDknufcm97ZdApFoVkeQyKT9azx4d,[],[],0.004566
14,Enfantines II. Enfantillages Pittoresques #425,"{""name"":null,""id"":""tz1htHnw3vCR126tUnUT4aKV7uVa2uoTCief""}",ooxduuwcb9ah5db5pnpLtvU3yG8rmJEJRWVGSAjufCpTq7HwSEb,[],[],0.004412
15,Enfantines II. Enfantillages Pittoresques #424,"{""name"":null,""id"":""tz1htHnw3vCR126tUnUT4aKV7uVa2uoTCief""}",ooGTn8fbhnjZRG6JBHsexzFUjdDuA6H6b9BUTLon2Yrkg3WUiPv,[],[],0.004412
16,Enfantines II. Enfantillages Pittoresques #423,"{""name"":null,""id"":""tz1htHnw3vCR126tUnUT4aKV7uVa2uoTCief""}",opPy5f9WgQxSxfGubDMQJGNuCKZAL2GBdXGCViK84FsD2rDSzRT,[],[],0.004412
