,name,minter,generationHash,listings,offers,gas_fee
0,FAT Christmas #1000,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",opDjbD9tHuzCcXjF23GS9AqRuLsjTza4tBFZNuCBgW5qEGWASgb,[],[],0.004283
1,FAT Christmas #999,"{""name"":""1121.tez"",""id"":""tz1hHG7r833Nv9rTCqkoQLvBNERpZteZwsyC""}",oorLhiRqUDfPR1iXxR15kGmajbrbcsnG2qBC4aM7DrAzucD4m6g,[],[],0.003527
2,FAT Christmas #998,"{""name"":""MossEW"",""id"":""tz1hvRBxaqSeJ9Q8eKEWCUqnDLn3wV4W77ma""}",oojv51vh8HKLB5RR9gP84cAsref7f3L6iuG3BXX2CnoFkX3qSAe,[],[],0.003527
3,FAT Christmas #997,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",onj5WULot8nJFc2w1WX9WuhZESQUPWmeNAvGo6sy59JwJWHka5F,[],[],0.003465
4,FAT Christmas #996,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",oo5ekQPyZwuA3nBEzz25mYeVQytoRecPxkb2myDxdTAS4MQpu1D,[],[],0.003465
5,FAT Christmas #995,"{""name"":""NenE"",""id"":""tz1eF4LVhV1LPnS2Nke4EpTvdkyuZf18navu""}",ooJHVT1wwWYeJpEtrmBQW59XSD4zKCS867V5qH31bD4fB2emVgC,[],[],0.003527
6,FAT Christmas #994,"{""name"":""NenE"",""id"":""tz1eF4LVhV1LPnS2Nke4EpTvdkyuZf18navu""}",onoGmrgdMohchGFacxQ9ctK4i6uhYNdzxh3k1Hs5aNC4JMGzB7E,[],[],0.003527
7,FAT Christmas #993,"{""name"":null,""id"":""tz1d33q7dFTJArfsSERuDEeRnK28eyUUh46g""}",ooQUr6yPQznz8pDnk4nmo2Zi7VSb6QaFeWLD5MjJ1swWCKcZp9p,[],[],0.003527
8,FAT Christmas #992,"{""name"":null,""id"":""tz1d33q7dFTJArfsSERuDEeRnK28eyUUh46g""}",opP6ouF3aHzRCxo3a6xC9QmyV3BvS2TCddcXYFwBJNdvV94oQqM,[],[],0.003527
9,FAT Christmas #991,"{""name"":""ccyfood"",""id"":""tz1S6eG6wwhxpA9uhXR2mkoS8CN7jyurVnsS""}",opVMdfhhXuk99u8T3g9zWNqpyracvDFgMkBBXe5kWFsdTLuzkWD,[],[],0.003555
10,FAT Christmas #990,"{""name"":""ccyfood"",""id"":""tz1S6eG6wwhxpA9uhXR2mkoS8CN7jyurVnsS""}",opJNDuYDWFcoCCKz9jTSX7wiNuHJ2spk519MosyXBoywAu4GYL4,[],[],0.003555
11,FAT Christmas #989,"{""name"":""aquaponics.kana"",""id"":""tz1XwEFXDv1CuaAn234khhYjkk7jH1hoSkkA""}",onyDVNRYpa8wpPHRY1d5bHcGWdEx4grCc5PvxeuRQsXXxJ94TkQ,[],[],0.003555
12,FAT Christmas #988,"{""name"":""aquaponics.kana"",""id"":""tz1XwEFXDv1CuaAn234khhYjkk7jH1hoSkkA""}",ongu7iXf3MHnZGMhjnrhR3Di8Z5yBhXMFpqmSUugszv4eLVsxKv,[],[],0.003555
13,FAT Christmas #987,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",oobe5TPvYSgwL6vYBsbtfGcZYWh3hzejnd6rYaUEZ5y6if1dZ2x,[],[],0.003465
14,FAT Christmas #986,"{""name"":""swiftevo"",""id"":""tz1ZSneE1cMWJHb5fjeoahhrNMLJkhXAh1Gu""}",ooRawmJgUSFmpKDktLjpjecRcP59J1yTFAfjUXSxXW3xuzbhqse,[],[],0.003645
15,FAT Christmas #985,"{""name"":""swiftevo"",""id"":""tz1ZSneE1cMWJHb5fjeoahhrNMLJkhXAh1Gu""}",ooxoRJWh43tKLST6rjyo51SJjbEvPqMGFdk2UbT5GuKK7HSeBDJ,[],[],0.003726
16,FAT Christmas #984,"{""name"":""xtzFusion"",""id"":""tz1MYf5Gx87Reo8ym7k3mVQC5fC8xk1s7VJi""}",ooXJ2G4KmfnFd7B9FNbrUigC6cmQ37drdP1nBmnsQBKKa1D5SWn,[],[],0.003526
17,FAT Christmas #983,"{""name"":""xtzFusion"",""id"":""tz1MYf5Gx87Reo8ym7k3mVQC5fC8xk1s7VJi""}",onnkihDCFy3c2DmJctyRwfuNyFi1aY6nxK9vdForGu7etxZZpE6,[],[],0.003526
18,FAT Christmas #982,"{""name"":""UNLIMITEZ"",""id"":""tz1ZcPNgtMcqhCxAQWBjZdJR5CMHL4QZwrTF""}",ooqUxyN7MYxAbQ3oTJ5tcZTU7awvtUusWYv9f6XakWn2Gp6QTy9,[],[],0.003526
19,FAT Christmas #981,"{""name"":""UNLIMITEZ"",""id"":""tz1ZcPNgtMcqhCxAQWBjZdJR5CMHL4QZwrTF""}",ooGSP3Eqwr8dukoSn3xi4HXZRQPHQGyNwRmMU9ni2SUCN7E9xcZ,[],[],0.003526
20,FAT Christmas #980,"{""name"":""UNLIMITEZ"",""id"":""tz1ZcPNgtMcqhCxAQWBjZdJR5CMHL4QZwrTF""}",op6qDR7m3T45nXAd3iyUkuXNhnwBNmvUamuoy2Z6jcouyfjpQMr,[],[],0.003526
21,FAT Christmas #979,"{""name"":null,""id"":""tz1MaXnd1C9KMdgs3GoDuNx5o1J1HPzhKyDm""}",onkmvE5cxkEm6YSCNbfXXZH31kvPTvgFTomPjFxtu3EAhUgPHZN,[],[],0.003526
22,FAT Christmas #978,"{""name"":""Anfernee"",""id"":""tz1PQRJ8wVtFgkZWGfJ6JajjjtJDYUNuKqKc""}",opNJwSkf9QBR4CkZk4sEBkJd6w1ENLro1yuhT8gQYmRevHeqDwh,[],[],0.003526
23,FAT Christmas #977,"{""name"":""vincelsl"",""id"":""tz1TYvjDUu3qqqLwAUdpkjhBi8J6cpuTcFed""}",onwZvd9d81gRLjeVctXGxZAUr7VZhMDynB9cZX54EudNxsUgVeo,[],[],0.003526
24,FAT Christmas #976,"{""name"":""imysc"",""id"":""tz1YyT2LRzDyVgy3GZTTvfUkLct42F4zTMJ5""}",onixfg2MvN2Mo1rZcu9nLRrWEQ67uQdM1WD47PzFjGfVDDr3z1r,[],[],0.003555
25,FAT Christmas #975,"{""name"":""imysc"",""id"":""tz1YyT2LRzDyVgy3GZTTvfUkLct42F4zTMJ5""}",oosEFk9sRgZZPYZTw17oDaD5PrWamrqhDDFJ7xQ34pr58w9wUrn,[],[],0.003555
26,FAT Christmas #974,"{""name"":""caddy2317"",""id"":""tz1SqV14QuU6uNNvVBp4WTUDybP7xHecFa15""}",oohpku9xQqUtgHcsUDh5STz7GfVgaTVLXwGz4kBF7EyyHcrzViG,[],[],0.003526
27,FAT Christmas #973,"{""name"":""caddy2317"",""id"":""tz1SqV14QuU6uNNvVBp4WTUDybP7xHecFa15""}",ooSTsKNWGmyEczXF3UzAu2FTVmXC78dCaAkuAUZapfAUkYH81Np,[],[],0.003526
28,FAT Christmas #972,"{""name"":""Caddy.tez"",""id"":""tz1eR4BMkP69bCsDahrYvdZEePzSN9SM87r9""}",oo2Grvbas45zisCS17rH8ra9N1wNZsXRqfS5Pq1kFHVRTvsytPV,[],[],0.003581
29,FAT Christmas #971,"{""name"":""Sausage Ho"",""id"":""tz2Bm6RPRHRj3ekDZZa6ksanEySzWaUwm9eJ""}",ooA2iC4g9qBfqeE4LWfEutmX2WKYDa7d7rY2XoFCgywNLncaCSP,[],[],0.003556
30,FAT Christmas #970,"{""name"":""imysc"",""id"":""tz1YyT2LRzDyVgy3GZTTvfUkLct42F4zTMJ5""}",ooiAmPQwG4dxRfvvkrgRBCzZkQyWUGQ3Gwoy5PERfs9owbTcTt4,[],"[{""price"":7000000,""acceptedAt"":""2022-12-30T02:38:29.000Z""}]",0.003555
31,FAT Christmas #969,"{""name"":""BUSW Terry"",""id"":""tz1VLhDerCbdo8cBcj9D7cjTGrYWxEy39BA5""}",op6BFshxPXeD6eWH7TsNcK7dk7PhCr7ahXnjRgdy2Ph4nbTAQfV,[],[],0.003526
32,FAT Christmas #968,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",oozr2zetNttbGB8RoqcY2nSdGjgNAf8eC6hovgZ3vW16ZXXR21p,[],[],0.003465
33,FAT Christmas #967,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",ooENfpbcE2XLVnJouJL2UySJWuLzK6jvm7wucNw5LnSuBJQHs8w,[],[],0.003447
34,FAT Christmas #966,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",ooYx2b4ZU1ZEiBsBAoCcGpNvAuXbPoB18sQY5mAZpToNFamXjUv,[],[],0.003447
35,FAT Christmas #965,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",onggRGjxBoryskeR4J76BZKiAwQ3ipz2EMbeTg2vNrQ9copSuBj,[],[],0.003447
36,FAT Christmas #964,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",opBy3zCc6HYfFxgKH69im3hoC4YdmdERYbJyKbtcbwyf44unshc,[],[],0.003447
37,FAT Christmas #963,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",onuqnWo4LQATdeZo7eLaECGoGEJ67H1cURtoGV7MMTuN6jX4bsk,[],[],0.003447
38,FAT Christmas #962,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",ooMHQtydk8VFVLGBN6jJZsZpWaosAFi1k2PhL8rczC7Dq2ne3LM,[],[],0.003447
39,FAT Christmas #961,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",ons1kFrKTLyr8DM1supKcUTzWfthWGS67RZyCHi1FWVY52j3Z5S,[],[],0.003447
40,FAT Christmas #960,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",oo4to7qK57hmNuKBL4xjn71zG6dDVZ3iTWGQc274PfSKC3tcw1t,[],[],0.003447
41,FAT Christmas #959,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",ooDXtuoR5YtQKj3QpGteuVj4y2WiVijfQQyGf3XExpCWLd8M35Z,[],[],0.003447
42,FAT Christmas #958,"{""name"":""Chi.L"",""id"":""tz1ZAFgvPt1ktqvtZag6bvZUFPGh6NLiP462""}",onkZPK5ZmcAtFAJ3qMbiiFmVX1ZaBRwdc2ZmhewRhhrJRgCS1oz,[],[],0.003447
