,name,minter,generationHash,listings,offers,gas_fee
0, Florescence #349,"{""name"":""indiedo"",""id"":""tz2UYLKTisJDAqAXTCn2u3EzMDHYMBr9JVb5""}",oobHbjaQxh5LbTA3d18ga5K3VM9PGTkfAvDyUuxVbedtup4spz4,[],[],0.01
1, Florescence #348,"{""name"":""Artie Handz"",""id"":""tz1XKgmxm6ZjADecBmaoL7TyRPvXiwoBzok8""}",opTttbjRPyZFVfwDxrhJJw6Vawec5BxBeX8JCniMLiBD7eEHTun,[],"[{""price"":30000000,""acceptedAt"":null}]",0.004019
2, Florescence #347,"{""name"":""calicojack.tez"",""id"":""tz1Y9HHJpZBQdm6xvf9C1nzQYKAU5kifqZLs""}",oohJrK2o3B8s5uZvo7uvZu1ZgsJb4QBgjBeWeKH77De8VQfP1gM,[],[],0.003981
3, Florescence #346,"{""name"":""NFT Collective"",""id"":""tz1gEVqnejRkwfpfqoxhTfi9tDm1xT2mqiGV""}",opLZ7MXLqjAqraTx9cap1VoDUN22FLArJcLGYrFiDgBccKYFyZa,[],[],0.003981
4, Florescence #345,"{""name"":""Murat Atimtay"",""id"":""tz1XvP1MfRgh6DbHhVXK5TTqKznV5MYCGoMv""}",ooeQ5cb55uuS3RS394iskDN83km6Ty6rVCTXjNGqMFuGfDLDDnX,[],[],0.004071
5, Florescence #344,"{""name"":""Murat Atimtay"",""id"":""tz1XvP1MfRgh6DbHhVXK5TTqKznV5MYCGoMv""}",onfnd6hTpoWfvzmMF5kpMGsPmGPnbKumiUtwye6ZRdnJTxw7ZBr,[],[],0.004071
6, Florescence #343,"{""name"":""MARQ528(143SAI5)"",""id"":""tz1c9U9x3y2RMJYfCoT5kcgCnYnr7o9ifh9T""}",onmacw36TqYwpovN3dhHrrN5dsdwVGa2AGLEMbrpvhfrgHk13VT,[],[],0.003981
7, Florescence #342,"{""name"":""Niwin.tez"",""id"":""tz1iKFhTL3qvMZyGKReP5N7E3YFqjkQnm6YC""}",oovtoDUfdZ7Go9BtcziBYXDGvhh53t9c9yuyFxXkhgN8Ne7HwJP,[],[],0.386
8, Florescence #341,"{""name"":null,""id"":""tz1M2hCvF5AhhbQAkn3LcZ8DTNBggyAKTCvo""}",oouPsgvUG8o1ZbSg3ZWJWq57JEbD3rUviMjnN3ynWJz79NxWsLc,[],[],0.00386
9, Florescence #340,"{""name"":""rayyleww"",""id"":""tz1TMb3sJJcgiVBqwPTWChwVVa98BdVsuuUp""}",opWpNZpund2cDb1VSghSo7aCr8sdA5qBrTwf4xH2YDzC3sS4WSV,"[{""price"":30000000,""acceptedAt"":""2022-12-21T18:30:14.000Z""},{""price"":69000000,""acceptedAt"":null},{""price"":39500000,""acceptedAt"":null}]",[],0.003896
10, Florescence #339,"{""name"":null,""id"":""tz1YjWKq4YBLQJNdu6y9DqnucXxbwELryMhQ""}",opKyBVBrxdpnDBNGGkfmJAE8xPGgNGgcaDWKSdJRtXcVKHVsQPj,[],[],0.00386
11, Florescence #338,"{""name"":null,""id"":""tz1UTaXwbG4RM4YvFauPYv72UqePbMgLpd8P""}",opGHYowzc73pohnvmxjX6EVFYNfwqmw5Uts6LoBjvxTHjgtiBsn,[],[],0.00386
12, Florescence #337,"{""name"":null,""id"":""tz1M2hCvF5AhhbQAkn3LcZ8DTNBggyAKTCvo""}",ooyqjk6s9ZswQfg4isWASpGz6PL9HL4QTaGTeP4FG2et6mfUk24,[],[],0.00386
13, Florescence #336,"{""name"":""bacca.tez"",""id"":""tz1cCuPTnciRy3WzMq2SVwYrV9bY9YU3DrRS""}",onfePn4kUr5PNFMm7Svhd3aMh7AzWte8kBMwcLjUGVAc8B6ngNs,"[{""price"":95000000,""acceptedAt"":null},{""price"":50000000,""acceptedAt"":null}]",[],0.00386
14, Florescence #335,"{""name"":""peraspera"",""id"":""tz1PPpiwYVM2LieQVTxBLc4FeqQWVmQmYfMR""}",ooXa4WLcdcXZ7YBP5ptKnBwvzy4VCZtDDb516xdeW9JE1vczPYo,[],[],0.00386
15, Florescence #334,"{""name"":null,""id"":""tz1M2hCvF5AhhbQAkn3LcZ8DTNBggyAKTCvo""}",oo48Z8Na5LNGjTvtcBB64gBFtX3gaWSjVA9tussugvYYo4x9jir,[],[],0.00386
16, Florescence #333,"{""name"":""Bola"",""id"":""tz1YcEC27PQVjE5jec9X6gmKmDds3ubBfwcP""}",oohhbtXx325nYEkS2eJjbNYyayeyamM6gokjVNnkMJWLvE4gCCS,"[{""price"":35000000,""acceptedAt"":null}]",[],0.00386
17, Florescence #332,"{""name"":null,""id"":""tz1M2hCvF5AhhbQAkn3LcZ8DTNBggyAKTCvo""}",ooyiLVvQGgbhjcTnfFqN2JK5PiyRRLURGnvmSPLCnE5nwT6V8nM,[],[],0.00386
18, Florescence #331,"{""name"":""@Chef999"",""id"":""tz2MW9LV3fRqdsdKTqCcVLpotQ3j6Rei4ebD""}",ono4jAUZp7khkj7YGWYkEau623gMeLfatMHnzLNcV7C76WCJLhf,"[{""price"":86000000,""acceptedAt"":null},{""price"":38000000,""acceptedAt"":""2022-12-22T01:59:59.000Z""}]","[{""price"":30000000,""acceptedAt"":null}]",0.5
19, Florescence #330,"{""name"":""@Chef999"",""id"":""tz2MW9LV3fRqdsdKTqCcVLpotQ3j6Rei4ebD""}",ooJHuXCxYmifUMft2hZcBw1Ai5nZw1N1Bw76etUNdkqFLkH9MzG,"[{""price"":26000000,""acceptedAt"":""2022-12-21T23:44:44.000Z""}]",[],0.003896
20, Florescence #329,"{""name"":null,""id"":""tz1YjWKq4YBLQJNdu6y9DqnucXxbwELryMhQ""}",onyaQL2Sa8uoqdatqf7jcpeWa99EtAUvw1W9WXvwQeDcLnCw4LV,[],[],0.00386
21, Florescence #328,"{""name"":null,""id"":""tz1Wj75d9E6F7TjAzsSFJqSWdkuE7qtVHhmn""}",ooL5oCDZ3j6j6Rgpehos6rz2RdeEAM8eJsajTbkj47g4LUoagBY,"[{""price"":26500000,""acceptedAt"":null},{""price"":54000000,""acceptedAt"":null},{""price"":37000000,""acceptedAt"":null},{""price"":27000000,""acceptedAt"":null},{""price"":23700000,""acceptedAt"":""2022-12-23T19:01:44.000Z""}]",[],0.00386
22, Florescence #327,"{""name"":""peraspera"",""id"":""tz1PPpiwYVM2LieQVTxBLc4FeqQWVmQmYfMR""}",oo24o1PGHVFsPt7TFWRfHw35mAtAcdrukpnjD7Xhjg8RjbLZUB5,[],[],0.00386
23, Florescence #326,"{""name"":null,""id"":""tz1L9XjPpcPexJEx39JVb5TH8kXfjPW6FWLN""}",ongYeNfHKqr9jLQqoD7AutCnV1svN4u8gRaAcCp5VG1Nrcz91kH,"[{""price"":30000000,""acceptedAt"":""2022-12-21T21:10:59.000Z""}]",[],0.00386
24, Florescence #325,"{""name"":null,""id"":""tz1RsFrbkJync4shc9ZxfjG4DMLXBDRbLXt9""}",op1Ucov9ZgwVUq2bhk82tgSsQ9L8YLa4u71StJPxNcni11kpWz1,"[{""price"":45000000,""acceptedAt"":null},{""price"":28000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":null},{""price"":50000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":null},{""price"":100000000,""acceptedAt"":null},{""price"":45000000,""acceptedAt"":null},{""price"":40000000,""acceptedAt"":null},{""price"":25000000,""acceptedAt"":null}]",[],0.00404
25, Florescence #324,"{""name"":""Marie"",""id"":""tz1fxaubJ2DtYx3CnYanb3cgoqRcGsgcpzo3""}",oospancrfVyrrDWxy9FFMQxcyLdoNPvHgrCVPCi96sSTs16rEer,[],[],0.2
26, Florescence #323,"{""name"":""Bola"",""id"":""tz1YcEC27PQVjE5jec9X6gmKmDds3ubBfwcP""}",oosspFZ3T51mrKkhGhhpRJB74Diqg5cRejtn71D6AW4gXgRvVsA,[],[],1.0
27, Florescence #322,"{""name"":""icons"",""id"":""tz1cGdvL2YBEGi2ekBzeLa1vbeRUKgYiCmEu""}",opDmwfLfiXZ52BQ71PCb79WHavPWNBkJj6s3nG6uuprG2bVtY85,[],[],0.003896
28, Florescence #321,"{""name"":""Sutu"",""id"":""tz1R5aLedcRQb9kYyNBS1UXzHR6aQQ3Z5qoq""}",oo5aPfnvKmBxvf9Vz6yMYG6fDtkRCBTGJPiH3H8ByCnJXAW3Amd,[],[],0.004032
29, Florescence #320,"{""name"":null,""id"":""tz1M2hCvF5AhhbQAkn3LcZ8DTNBggyAKTCvo""}",ootKipvybYwf5NN7wvCGiUf9zmJyZ5A6kmZspeNGuaqHqJL7DbK,[],[],0.00386
30, Florescence #319,"{""name"":null,""id"":""tz1NJzLqW5SDjLxNf279Mjqwv72PcJjeUSrK""}",ooCvRx889QfLUetUqWPEPjPRHB7v7SyJQ91rcy2vPNKUmPkyoJW,"[{""price"":25000000,""acceptedAt"":""2022-12-21T18:52:14.000Z""}]",[],0.00386
31, Florescence #318,"{""name"":null,""id"":""tz1M2hCvF5AhhbQAkn3LcZ8DTNBggyAKTCvo""}",ons2N6nBbAeRMNAzdndUCeTEaoyFMrjxLCBHHmTixsqEsAEaUrg,[],[],0.003745
32, Florescence #317,"{""name"":null,""id"":""tz1XAjzSqxeaDXJjPUBnE7nstyEGt3fnNJ9B""}",oofAWtFxhvaT5YEYpiPENVU6VeNozMkz3JC2hZEnsyE29hgpDHQ,[],[],0.40386
33, Florescence #316,"{""name"":""Bola"",""id"":""tz1YcEC27PQVjE5jec9X6gmKmDds3ubBfwcP""}",ooAXUh97X3gTLJn6aDZJdE2a8kUUg59S4QG4au1Vx8yLZ3EKJxX,"[{""price"":35000000,""acceptedAt"":null}]",[],1.0
34, Florescence #315,"{""name"":""P1x3lboy"",""id"":""tz1SvJbECAva9gxczfBmX3CAFUszgQXNgsNm""}",onuWP2V53Uohg6QoWfukdmuNTWsWzSe2ZmGVZwD966J6LUNo6DQ,[],[],0.003861
35, Florescence #314,"{""name"":""Bola"",""id"":""tz1YcEC27PQVjE5jec9X6gmKmDds3ubBfwcP""}",oo7a4FptC9MP9tfKkTVhanqtdfDmtkhrsaAqmYS6XDCbaLyUDvq,[],[],1.0
36, Florescence #313,"{""name"":null,""id"":""tz1XAjzSqxeaDXJjPUBnE7nstyEGt3fnNJ9B""}",onspLuXNJCNo9oYu3R11kY3hJ6mNXqLWZ17D7VHjpVhLDLsEJWL,"[{""price"":99000000,""acceptedAt"":null},{""price"":79000000,""acceptedAt"":null},{""price"":66000000,""acceptedAt"":null}]",[],2.00386
37, Florescence #312,"{""name"":""Sutu"",""id"":""tz1R5aLedcRQb9kYyNBS1UXzHR6aQQ3Z5qoq""}",ooFVMQuSXoYrbxAEuPQkSPidBUxyqAkmqMmv5n4xw2TqCEjYfvA,[],[],0.004032
38, Florescence #311,"{""name"":""Casson.tez"",""id"":""tz1iEvkELJMSgfn2WJRR9HPg5U2vppAF1eLS""}",oogSEWWFdaH7xjcyxpJbuqeQUseijGLf3GW3ziSficSMV8apkj3,[],[],0.00386
39, Florescence #310,"{""name"":null,""id"":""tz1geLcyhaHfFqE7tUuMCMkgdGHJkTZxNkm8""}",ooXu1xCxWzELCedvPUB7rLFXPEN8FRzcXgs3tVAaaRDQVs686NL,[],[],0.00386
