,name,minter,generationHash,listings,offers,gas_fee
0,Fractal Amoeba #566,"{""name"":null,""id"":""tz1YC5ce4Z1vBYy2rtdKm7AqaVqEhC7wXN64""}",onynL8P6T7WaRoTq38q4KzLAQEymjqFEpyoYia2Kt62hkASjMZL,[],[],0.004126
1,Fractal Amoeba #565,"{""name"":""pinkguy.tez"",""id"":""tz1XjVqEFgAxAAGbrojm4jLSXUSGyTvw25wT""}",oo5F2qWnMEv7NQZNQLcqp78TXaaNi4MmqLkSZxYGLtMeDDko1Am,[],[],0.004227
2,Fractal Amoeba #564,"{""name"":""pinkguy.tez"",""id"":""tz1XjVqEFgAxAAGbrojm4jLSXUSGyTvw25wT""}",ooiew5kHS5KfBxSiV41hxHN7iaT9kyDUANWuNoDvJi4HE5GAkDL,[],[],0.004227
3,Fractal Amoeba #563,"{""name"":null,""id"":""tz1YC5ce4Z1vBYy2rtdKm7AqaVqEhC7wXN64""}",opWkyAszDoQ7B4b1czDd89KtYx5QKvsQv9MazmKvdiwqbdAE66U,[],[],0.004126
4,Fractal Amoeba #562,"{""name"":null,""id"":""tz1YC5ce4Z1vBYy2rtdKm7AqaVqEhC7wXN64""}",ooA7tkUP4ZSdVHCefYGkNGcXSH5SCAZkxLAhkzr8bYFKBwjDTL9,[],[],0.004126
5,Fractal Amoeba #561,"{""name"":null,""id"":""tz1YC5ce4Z1vBYy2rtdKm7AqaVqEhC7wXN64""}",onm1jzbr2L6JVG33S8NJmLMRMgmuaTa1Q43TNFZqxLbtJmVEBGR,[],[],0.004126
6,Fractal Amoeba #560,"{""name"":null,""id"":""tz1YC5ce4Z1vBYy2rtdKm7AqaVqEhC7wXN64""}",opZkSgAeGco41k4EmLpgEqaS5HJPTef2Taket2MQJCiJM66AAGX,[],[],0.004126
7,Fractal Amoeba #559,"{""name"":""pvpb"",""id"":""tz1LdsF1ApNoQYF2KmsuHsGj4vzz6mwZvNtV""}",opHAxASYshp1yKWoTyPCumKxsFKvEpCRdsNbctHH4BiDiVwhabf,[],[],0.004166
8,Fractal Amoeba #558,"{""name"":""cczer0"",""id"":""tz1gHotBGd6rC1EivmVgoL5Kopnz8Y9jiyjP""}",ooL44QEgZ4u13Ymbp1gsFP35hTHHFb3v1fG921bk1bre4w9rsDt,[],[],0.00447
9,Fractal Amoeba #557,"{""name"":null,""id"":""tz1SiyERS7zq1qMBc6em6pEEWajG7Lww26Jk""}",onzNKY2rQpkFDkY8QhWeEcuJ1C7CfqFvSJJURGbBFCG7RGU6rsT,[],[],0.00413
10,Fractal Amoeba #556,"{""name"":""42ordinarymice"",""id"":""tz1Mx2mPSTY5ddFDyCQMtRzCNaHcpMBJoxMr""}",opKGz1B1thiQTcFYzToiFNycTboLzC83f2xxJ9NLKFxLUvbx7ph,[],[],0.00417
11,Fractal Amoeba #555,"{""name"":""Howdy Doo NFT "",""id"":""tz1P719ymGCtNwavZKh2LmhMs53dGsEMzjnm""}",ooUXKTHMFSGfoy7Vqb2Xq7rbEnMEQUV4rQvq45kHGhzcPGm89cR,[],[],0.004423
12,Fractal Amoeba #554,"{""name"":""Howdy Doo NFT "",""id"":""tz1P719ymGCtNwavZKh2LmhMs53dGsEMzjnm""}",onupkhCWnt7fWbGxVEWphh7kqUJLvHteD1tuoJyJwj8fk26Z3Ec,[],[],0.004423
13,Fractal Amoeba #553,"{""name"":""Howdy Doo NFT "",""id"":""tz1P719ymGCtNwavZKh2LmhMs53dGsEMzjnm""}",ooUFcQeEsKxQjk8Gk3PiPTXJB3VFYk9H8QzLBp2cPz1DSwqowUC,[],[],0.004423
14,Fractal Amoeba #552,"{""name"":""Howdy Doo NFT "",""id"":""tz1P719ymGCtNwavZKh2LmhMs53dGsEMzjnm""}",ooaZC3RnztWnSYPgWwqXfr6XRtY6yFPNdd3PtsWxTNRttBRSz3M,[],[],0.004423
15,Fractal Amoeba #551,"{""name"":""ABOSCH"",""id"":""tz1Sqhrj49cW9aTuwQrDa4mycnA7n5dDd7rF""}",onmdNfnUKLHwUFVyvp7HQSm86j1yFN2QxW89aPZipshbnKaxrRL,[],[],0.004471
16,Fractal Amoeba #550,"{""name"":""asbjornenge"",""id"":""tz1UZZnrre9H7KzAufFVm7ubuJh5cCfjGwam""}",ooNHtFx1WLjmmyCVuq2Pg1NTYMrxFj1Ry8h4uvado8qFBiWXxcf,[],[],0.00413
17,Fractal Amoeba #549,"{""name"":""asbjornenge"",""id"":""tz1UZZnrre9H7KzAufFVm7ubuJh5cCfjGwam""}",opBzxK98NCA3bRrwAkiYQb9m9TqabFHvsD7EXUB8vrvkbB86s6u,[],[],0.00413
18,Fractal Amoeba #548,"{""name"":""ragnar_meta"",""id"":""tz1a4Kj5Xe3qrgFRp7XQngSy9GgSQBkEmGgw""}",op4KCAL3bT9ZreQcyWi4TVUhC4JSTqRnzAD3sKnafGdD5YYSmiz,[],[],0.004426
19,Fractal Amoeba #547,"{""name"":""ragnar_meta"",""id"":""tz1a4Kj5Xe3qrgFRp7XQngSy9GgSQBkEmGgw""}",ooBV8XfdJj2hkGVpjDLeeQMPgczuRuDXEYWpLrhH71jfLpC3WYB,[],[],0.004426
20,Fractal Amoeba #546,"{""name"":""ragnar_meta"",""id"":""tz1a4Kj5Xe3qrgFRp7XQngSy9GgSQBkEmGgw""}",oneP4KuNJxawwr66E85TxvMTMw3tw55ndGDSni4m2VEtFXHni58,[],[],0.004126
21,Fractal Amoeba #545,"{""name"":""spacegoodies.tez vault"",""id"":""tz1YEd84t1fNqNsywZBmABgBDQD3cabmiN6N""}",ooP2Cv6f52U8vHQrFyYe4xXCwUZSSDAysTtStFrw3cSmMWxE7Dw,[],[],0.004473
22,Fractal Amoeba #544,"{""name"":""minky888"",""id"":""tz1WWZ44meVhcDKaLLX3q24iSdkXosqBgniC""}",opRByrCjZVD6tYeyrZWmLfUFkJ6GzcqmpMa1qv3AY25xcuYt8b5,[],[],0.004172
