,name,minter,generationHash,listings,offers,gas_fee
0,New Year's Chandelier #100,"{""name"":""Rex Tsui"",""id"":""tz1RFNfnoysEWSyYfeHcNmT8D4s4aJp5t6Kg""}",op6rd6SraTRzUQ8fbY68ho4AuCLTVrmaqHVhpkoa1dzxtJ1Dsnq,[],[],0.003697
1,New Year's Chandelier #99,"{""name"":""NFT World"",""id"":""tz1hyZs4vs92L2cE6bnhyVCwU72hreHG4WHn""}",ooYNB7UJJB2yf8CMKfHoYDNrwRdohAoxcC2gsxSkjNpP44nJwbZ,[],[],0.00373
2,New Year's Chandelier #98,"{""name"":""HicPunks"",""id"":""tz1hqkEd29UZ4npTKWjoKHfSRar75zSZVqbr""}",oogxCpFH8Lsf1bmrerCNY6qH4KuE41WAPWS3vBSaPaMJpUjBSh1,[],[],0.003697
3,New Year's Chandelier #97,"{""name"":""newageofac"",""id"":""tz1hpgUAo1d2QTSjquejVd6hwpD5yoo4VVym""}",oozfyntekHBWkmwUuYMKwwWSbEDTnr9XRMHY8YddrVUfbwMHoQb,[],[],0.003697
4,New Year's Chandelier #96,"{""name"":""itsnathan"",""id"":""tz1NtkUQaLuWCMeLcP2p3kstdpwQJicznRy1""}",opVkyJwXfrG3D97vtvzGvcZMC7HxRpqwPQatyePEAuMv9rQcbG9,[],[],0.003697
5,New Year's Chandelier #95,"{""name"":""UpOnlyFan"",""id"":""tz1dW9QXydD28arnVXC4YZFLMEdQsJbrRnxM""}",ooWyGuaVJ1HsWNSozRrwWV3zm6a3yoPty3xjaVWcZ8VcH19Rffp,[],[],0.003697
6,New Year's Chandelier #94,"{""name"":""HicPunks"",""id"":""tz1hqkEd29UZ4npTKWjoKHfSRar75zSZVqbr""}",ooG4sEEzWcwvw8GQX6Wqz5TcNbVgunmZT1ZaAm8Z98nfoX2sBkM,[],[],0.003697
7,New Year's Chandelier #93,"{""name"":""nezuko.tez"",""id"":""tz1SCio4wWrq125KReBuFffmiwerkdnxfmrF""}",oonCqBSNxy3xtBdodcp6eKF7XguEYFRyysrj8bkiQtzzywGe3HA,"[{""price"":45000000,""acceptedAt"":null}]",[],0.003697
8,New Year's Chandelier #92,"{""name"":""UpOnlyFan"",""id"":""tz1dW9QXydD28arnVXC4YZFLMEdQsJbrRnxM""}",ooSPk9MxAeNhNvDKsvRrpqafXEjYZm2AK2bWnrVrbqG9kwAEjZq,[],[],0.003697
9,New Year's Chandelier #91,"{""name"":""Rex Tsui"",""id"":""tz1RFNfnoysEWSyYfeHcNmT8D4s4aJp5t6Kg""}",onjk49KZsn8f1HwG5ezHbWEK1dqY5cPieKzuRegqSfiHwYeuoze,"[{""price"":48000000,""acceptedAt"":null}]",[],0.003697
10,New Year's Chandelier #90,"{""name"":""rstanberry.tez"",""id"":""tz2E1NgAzYxaxZT3WbwN7nPSKwtRzpWHoo7G""}",opGvoaxk7PGWc9fiNq2MWtAnm5d98YQBejaQ6aUTcA2WUmYg64N,[],[],0.00373
11,New Year's Chandelier #89,"{""name"":""okkun"",""id"":""tz1RyzWJzWPQ7L8ncJXgmAwAzuh3ZSXhXosX""}",ooFjrUqjx12rJ8Fza32434Qw8RZxfADPRjtSfKSzKCiafomFu5U,[],[],0.00373
12,New Year's Chandelier #88,"{""name"":""eritaqua.tez"",""id"":""tz1WrWHA4sT1NvPdCQefWSndi87WgB5iwdwH""}",ooMSrjhDHUj6CxDCKSmNMvwZ7NufPQhQT3WPGaEeURcPE2E65jP,[],[],0.003697
13,New Year's Chandelier #87,"{""name"":""rodrigoplant"",""id"":""tz2FsA93XsovbPwPJY88mJ3Zg6PsYoeERaM1""}",opHpcsmt5batfCLhMR9aVqqyTGxKXgSFyySwKamQbaivLorxxou,"[{""price"":19840000,""acceptedAt"":null}]",[],0.00373
14,New Year's Chandelier #86,"{""name"":""Mantra Code"",""id"":""tz1cJzxmHFKdGNYXeCkWyrY2AYnWuajMVNfx""}",ooFHvShyhmtgpZ8G3cUDzJifxvUWbLD3u8QB4rUDoxtFXj7VS8m,[],[],0.003697
15,New Year's Chandelier #85,"{""name"":""HicPunks"",""id"":""tz1hqkEd29UZ4npTKWjoKHfSRar75zSZVqbr""}",opTrAhpBsGpU3N1YfxrkEjhYKEU6FWpSAcmgBHcpoJ3rMdzMHhn,[],[],0.003697
16,New Year's Chandelier #84,"{""name"":""chronosensitivity"",""id"":""tz1VZrkBPdGjdS1mBHnr6Msu61GszRMGXFYf""}",onm52K1D8rsUuanzowsWBE1pFAYv4WxKLSTATbCtRvqUCcgj5aq,[],[],0.003697
17,New Year's Chandelier #83,"{""name"":""Emil"",""id"":""tz1hyi8TWU6Jqr3yHk1UZCGavg95dSBdLnLt""}",onkJUJvSYAEF4udNRsXGRn8SooiSD3JFQeHcRdDBy6iUM7GpcVh,[],[],0.00373
18,New Year's Chandelier #82,"{""name"":""prutuxfx"",""id"":""tz1cYMCptJt4TkumvcesgbfUD8rrfAND9aDB""}",opWAGkHVXKKejTjHJLKhxugLRAuWcVcZhQSsxMD1Py5XSivuePp,[],[],0.00373
19,New Year's Chandelier #81,"{""name"":""aebrer"",""id"":""tz1ZBMhTa7gxSpaeXoqyc6bTCrxEHfZYSpPt""}",ooVYFCp9iK4zDi1LpevVrrX7aWY1aXSXLtD3vAmLsHBnjqghbP9,[],[],0.003697
20,New Year's Chandelier #80,"{""name"":""stevezee "",""id"":""tz1R3JsYrggHUmcMUu4kQUpcK9rh1MUSRLFQ""}",onjmJfG31fgusZLv3T9T81XPaxp9nQmxQkaxqdrodE51sqB4sm2,[],[],0.003697
21,New Year's Chandelier #79,"{""name"":""Pashekun"",""id"":""tz1XRWZZR5AtohQ9fi28p6j5W4nAhwyKGdn4""}",op3JMjPPNuAbv589aEDvP4GTKNkt1Yp4YvCWCT1nMop4JpS1DRB,[],[],0.00373
22,New Year's Chandelier #78,"{""name"":""fauxjebus"",""id"":""tz1WusSKVn2eN1S7MeFGe48P4fKjMbhFa5TU""}",opSY9GWESkV7fqe853BXZwEbCVr9Db7aAhiXM8s2ZLU6y46G237,[],[],0.00373
23,New Year's Chandelier #77,"{""name"":""Titito.tez"",""id"":""tz1W3ocxM4cz27USBQGsthccT8rENDkzvmv1""}",oouPmJJRGb3nGbmCZGGW4QJcPAw9nTH1yiXCBiXXJ5ZYVYVSteQ,[],[],0.00373
