,name,minter,generationHash,listings,offers,gas_fee
0,RE/Posizioni #200,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",onpZQPkqjiQFW2DGZb7hpXGyPxPdLKJ7xNJamTS2WKSTF5Ldh2q,[],[],0.003186
1,RE/Posizioni #199,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",oo52C1564oWaN7nFUB2rLmXAYx2NmHZqDMmN4vng8yb73Fi25dx,[],[],0.003186
2,RE/Posizioni #198,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",oozbM2wG5UL8PqXPh8ywypJLbqcDADyXRCYrpDTsypnpPAWCFgT,[],[],0.003186
3,RE/Posizioni #197,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",onwAh2rFeavm3Vny6YtqenDRxJ9KgaBUHEDNFXT6tbzn3QVcCt6,[],[],0.003186
4,RE/Posizioni #196,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",ooEmi73FuuKNFTNQVQKiveVnoo1EVhGk6aJnsN76sSaZ5aUzFzT,[],[],0.003186
5,RE/Posizioni #195,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",opJfdw8d71e4GWREmMi1den65ZJbyoAXuSoydoq5EZ7GLjSKjnK,[],[],0.003186
6,RE/Posizioni #194,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",op6dDkZFawYAyQa7SeQKTZkCvaL4BZZA3nkUuEih2gVspM1xHw1,[],[],0.003186
7,RE/Posizioni #193,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",onkAGjg1h3KbeHLM8BzCGPXZKaJ5j69Wi7Q3YeB8jAqHoRHB4hf,[],[],0.003186
8,RE/Posizioni #192,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",ooiqcQQr2EGj5xnUsshCK6YhgARoD5dzpDCAYDzFbAVPtRGPpRL,[],[],0.003186
9,RE/Posizioni #191,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",opDnAMBvBia8UZnTqJjxKcYzg4dwg9Bxg6WimZiKPcZMJqk2H5o,[],[],0.003186
10,RE/Posizioni #190,"{""name"":""JohnAstor"",""id"":""tz1fGiwg6RdPFw4MCo5MJxn3VMBjJd3xXhmS""}",ooUd67fcGJ1d4qjjLbiSnLrLNsAqy8TbQZk4EVCjPVW68pU69uy,[],[],0.003711
11,RE/Posizioni #189,"{""name"":""Moonthalit"",""id"":""tz1fwrcgNy6FGoAkrQQWsAH4ZqTdxCQ7mQuB""}",onqJF1jzdbdiafYkN5oP9xztToijYKftCt269ezpv4K3R9YEEJr,[],[],0.004145
12,RE/Posizioni #188,"{""name"":""Gangger"",""id"":""tz1RSBNeyVd11L2e7cmAgae844t8ZDTabe1v""}",opN1YETYwKyGTFrLYQhLXGWQSJGQjpptdQjgMAHcMPrh8ooM6mV,[],[],0.004137
13,RE/Posizioni #187,"{""name"":""Newhuman"",""id"":""tz1MRnKKi25ynVZVXrFNY3VAzRQ3k5reA6Mz""}",oo1Vey2VsRo7tctCwoSXfUjNQ5nwpCCRHwXpRMWNAGuPYwqV7mn,[],[],0.004135
14,RE/Posizioni #186,"{""name"":""JoePao.tez"",""id"":""tz1cz9cr3yiDowFzC4EDHoDQi5EpEqD8nP62""}",ooVwetNemiWde9iFw1L9wQDppfKsJH14tXZUVedWtZJyzHGZEnZ,[],[],0.004221
