,name,minter,generationHash,listings,offers,gas_fee
0,Resorting #120,"{""name"":""spirouzi"",""id"":""tz1dxJQUkh3uaFy1bPgeCV3jJMwPnBwmZSHn""}",opSZSBPykNQfLYJJpLzkXL4fg6pw4rhKW7CBSTbBvBUxAXJi2SM,[],[],0.003897
1,Resorting #119,"{""name"":""Smarahakim"",""id"":""tz1SmnB3u4PvJYRGxmePASt7e9uK6qWYYjEt""}",opDPGchh4RvH9cL8qKknRiK2hL6JyjenSPSTpFzDqt9cxcB65Af,[],[],0.003933
2,Resorting #118,"{""name"":""CAT ART"",""id"":""tz1hmh4p8Zn7XMYG8EjXCajBuAf4YmxGkWLS""}",op4n3rYek5C6yi6miMfYFMXk54TYWBNMQXnYLxXU395zf2Z32hR,"[{""price"":140000000,""acceptedAt"":null},{""price"":47000000,""acceptedAt"":null},{""price"":47000000,""acceptedAt"":null},{""price"":88000000,""acceptedAt"":null},{""price"":160000000,""acceptedAt"":null}]",[],0.003897
3,Resorting #117,"{""name"":""Metama"",""id"":""tz1QLGZW7ejFcXvL7K1gmjcbDVE5Pmi1wMBV""}",onyKk3uXcqCNqazejF7bdeifshFB3M8Fxjrqkctx5WPifTZmF7V,"[{""price"":55000000,""acceptedAt"":null}]",[],0.003897
4,Resorting #116,"{""name"":""hungry"",""id"":""tz2C571mwS7wtxyQiqTKt9xWsxPc2TwK5ENa""}",ooiqJDmmk4iy2sHAvXAxYXKHUbpi9f6UtN6g2zX9MMdYRapNh5D,"[{""price"":33330000,""acceptedAt"":null},{""price"":29500000,""acceptedAt"":null}]",[],0.003934
5,Resorting #115,"{""name"":""tito"",""id"":""tz1fCs4TPBE3GwYm1dsfXaxjVBqhTF2HwqLv""}",onuhS1qqKbhbEppLhguqQhfeYCs4vkoo67qcGcGoHmEXKG9b78z,[],[],0.003897
6,Resorting #114,"{""name"":""MEK.txt"",""id"":""tz2W3nHza52fLGAizWGksUzgDNPNxmN4XVVz""}",ood2rcDS2Y2ScH1T7MLhw57sxKmKW523LhH9ApDHy8V4x72v7LE,[],[],0.003934
7,Resorting #113,"{""name"":""tulalit"",""id"":""tz2UL9PXHxRGZpShwQ47dNW3L13Lfzuc7wDT""}",op591tbY5Sf938hP1XVGkncjCcyLL6VFTySxQt4biH9TD3kkd65,"[{""price"":66660000,""acceptedAt"":null},{""price"":23450000,""acceptedAt"":""2023-01-02T00:56:59.000Z""}]",[],0.003934
8,Resorting #112,"{""name"":""moncil"",""id"":""tz1Qe89qNyUUEjpPwjW64AWvneHxVrd5wYqw""}",oo9gxo1UgubLWkF8tPJgM4Yq4dmdUZ81frSzfdZpQqsy7BWmdHa,"[{""price"":66660000,""acceptedAt"":null}]",[],0.003897
9,Resorting #111,"{""name"":""bardassi.tez"",""id"":""tz1Pp9HCvd3HRKruaLUsYPJhTz5uBmsBaz3o""}",oot1r5ac1PDcgX5pVervC9dh8im5PojmgVQLui3tqBcaiqtTpEw,[],[],0.003933
10,Resorting #110,"{""name"":""Dirbots"",""id"":""tz1S48xQgmciATrngqM7UWX6PX3s9Jp7qw3K""}",oocwYxac6KqJnJrPycUxWPKfkMn7j1SbsBw1MEvkYM4jt5htSjm,[],[],0.003897
11,Resorting #109,"{""name"":""thehood"",""id"":""tz1Xu4PxeJccmvrXEtx8ybTC2HxndNxT4858""}",opRLvKERZyaFXVMUcrzLK8UyLY7skQiY8iFfGZJhxjjoyVZSYuB,"[{""price"":44110000,""acceptedAt"":null},{""price"":54110000,""acceptedAt"":null},{""price"":95110000,""acceptedAt"":null}]",[],0.003897
12,Resorting #108,"{""name"":""Safila.Tez"",""id"":""tz1gbfBEYFnMc1iBnw4xNZA9sgHJ1xZJ4Mq9""}",opLCkrhfE8bTDFMKt8NAGyoaj4TV1EnBeX7kPfqqZsP1jLFRKid,"[{""price"":145000000,""acceptedAt"":null},{""price"":91000000,""acceptedAt"":null},{""price"":30000000,""acceptedAt"":null}]",[],0.003934
