,name,minter,generationHash,listings,offers,gas_fee
0,Splinter #300,"{""name"":""middayheat"",""id"":""tz1c3DmyRnGiZkJwMu87gaeViykFWnnHBUMW""}",onfv7VC9a8NTohj1dq9RWcnMuR8igPybZTgpZAianV3NLmogH9s,[],[],0.003755
1,Splinter #299,"{""name"":""THOTH"",""id"":""tz1LrkNsgavA7cR5qWbKEYRDGpw3BK84gMpx""}",op1ynu9sxJYr9JNKunH9xnLs4eHUH3HmpEHcuyY3RJdY4kFmpor,[],[],0.003701
2,Splinter #298,"{""name"":""THOTH"",""id"":""tz1LrkNsgavA7cR5qWbKEYRDGpw3BK84gMpx""}",onxCuZPbqLQviQMwa6hQemFgHMhXokWcZ9scAfimjCZbeeHCe4P,[],[],0.003701
3,Splinter #297,"{""name"":""sunfish"",""id"":""tz1imejUcBVcHqoChpGFifds73MHzj3N73mh""}",onzXRjtagYLa6XmETPPRPiqndkWWNzAYkZAndjpZxjmNWiREgDa,[],[],0.003701
4,Splinter #296,"{""name"":null,""id"":""tz1ZzNvK2SyxyuPKDBZVJd1XVAfmuNisgJyH""}",oo46x79qCzbLo64ckRLsxMSnys936dHPezw2Prrfo9JjV95eSsx,[],[],0.003734
5,Splinter #295,"{""name"":null,""id"":""tz1ZzNvK2SyxyuPKDBZVJd1XVAfmuNisgJyH""}",oo46JNibjmMVkYtKcdTS4AcrWjesDgUaSk6ysEtJDeqx4JDrfZV,[],[],0.003734
6,Splinter #294,"{""name"":null,""id"":""tz1RZ5hgc8wqGgLZkJZhKMJN7J14uuRBkGxR""}",opTZh6V8z7BmDASWyCH5WFk9SBfkE89rC3FekLBA6ZurKH9qJBK,[],[],0.003701
7,Splinter #293,"{""name"":null,""id"":""tz1ZzNvK2SyxyuPKDBZVJd1XVAfmuNisgJyH""}",oovEepXABt9ogdEafhToEh1ZqqykwhPt8rxt7ssMzxH2uunT7iM,[],[],0.003734
8,Splinter #292,"{""name"":null,""id"":""tz1ZzNvK2SyxyuPKDBZVJd1XVAfmuNisgJyH""}",onjX8neNFjURkQuapq2AUi1ShmVWuwtAYTH7nj1w3Cp4GEcVjvC,[],[],0.003734
9,Splinter #291,"{""name"":""Hotrad"",""id"":""tz1Vx6XoCSkBjmyaxh3N61v1hJwiG1taKUm7""}",ooxVT8BTeijLkawpagWMu2FA2Pz9KopVWpLTueg9knrUq1AHfcE,"[{""price"":12600000,""acceptedAt"":null}]",[],0.003843
10,Splinter #290,"{""name"":""anbello"",""id"":""tz1Yb9mrEBSsv35doLWovF4Dmwy2q4won9oa""}",onfhjk4QjsGf2CACJLVvS1sdYGZJ4QLTfaMBACSpvaWT5r2cHoX,[],[],0.003701
11,Splinter #289,"{""name"":""-Jester-"",""id"":""tz1gQUF22SiiXtz1rYXjY6HuRuSvyqBtzbw2""}",opLRSQoEtXJHPJmYQtdW7rMW2L5o5uKfB52ANPrRWj9LiryC2YJ,[],[],0.003701
12,Splinter #288,"{""name"":""Awheck"",""id"":""tz1QRXxx7R8fAnCESAkDWzShRYkmPJnUztYU""}",oo9FGHY3BZrnLqq5GrCJNLjms4UF6mW5fxfsbZYyvCJGE9AURhc,[],[],0.003701
13,Splinter #287,"{""name"":""WTHisFXH"",""id"":""tz1UGBLJXJHAGcRv2WEnoQVdMsyNKpWNERHm""}",opWTEC8zeWcSF4TnogmP3MmSWs7z9J3auxDn68f7buzb9rVQANN,[],[],0.003701
14,Splinter #286,"{""name"":""todogodot.tez"",""id"":""tz1c1JbZn2xy7r6iUtnQGj3YWvrQ8u2o2paN""}",ooff216ZDY3ntyEgVostF9p2S7gSTHBkg8DDCy9aAfMUfY4bkwD,[],[],0.003734
15,Splinter #285,"{""name"":""emptyocean.tez"",""id"":""tz1bhbx2P33zfCL7DLMEDHxT4rtjQZtqsrXN""}",onqeDZQtFPg6xMmvf6jipq8TpGzVddY3EKdGEDLcbgSaTQerDfQ,"[{""price"":20000000,""acceptedAt"":null},{""price"":15000000,""acceptedAt"":""2022-12-13T17:49:14.000Z""}]",[],0.003734
16,Splinter #284,"{""name"":""sammyandres.tez"",""id"":""tz2KvjfwPNKPDQr69ur1cSmU22Rx1rALHEXL""}",opHKePdygPtiANXKb2XtDqqFaUGJqeMW8Hjx7J7HAM5ni8MECgj,"[{""price"":20000000,""acceptedAt"":null}]",[],0.003734
17,Splinter #283,"{""name"":""chankfonts"",""id"":""tz2WDNLcFJpWUtvdMhRQy3d8zv9TcjjDjnUV""}",onu88seNmodbjv7TXh7PsU7bChJhwCLVP39VZUFRTXJvtfG1YLq,"[{""price"":11000000,""acceptedAt"":null}]",[],0.003734
18,Splinter #282,"{""name"":""chankfonts"",""id"":""tz2WDNLcFJpWUtvdMhRQy3d8zv9TcjjDjnUV""}",oo9fmFL57Yrianprr22DbSAPiqi7ZEMovnWbU98svqNCpJwoAJV,"[{""price"":33000000,""acceptedAt"":null}]",[],0.003734
19,Splinter #281,"{""name"":null,""id"":""tz1N4bEu96wnKFDmFkf5Bn4gT1WM4bn5SS1i""}",opU1Sq7vxbZ9T3XcbhvKhyPMbGKcT4RjsXt6AK2CZNQJbE8qehe,[],[],0.003701
20,Splinter #280,"{""name"":null,""id"":""tz1N4bEu96wnKFDmFkf5Bn4gT1WM4bn5SS1i""}",ooCHDVCyuJXHM4NTC8aYP5FifpAksUmVzGvaQm4M8PxycNnJyuW,[],[],0.004024
21,Splinter #279,"{""name"":""chankfonts"",""id"":""tz2WDNLcFJpWUtvdMhRQy3d8zv9TcjjDjnUV""}",ons4WRjC8qTCqT1wMXQavBHJ4RqGHtV6127Ud3oCycKuUYGQyvC,"[{""price"":19000000,""acceptedAt"":null}]",[],0.003734
22,Splinter #278,"{""name"":""Erik-West"",""id"":""tz1P4iM5y89uzQomRZPZ7XFuHV6Uw3b7YTQ9""}",ooCWRTpNLY7Cgckm2vgPXLRT32jQxN9r5342eQKEzdyEjEJuKXy,[],[],0.003701
23,Splinter #277,"{""name"":""vortac"",""id"":""tz1UwwR1WKWuTVjNtUc2ewPNUbSW4rVV2fBH""}",ooavQfS99CJHFKzcRoGd67t6LumxezcbrY9sepX9prCgNgdshCN,[],[],0.003701
