,name,minter,generationHash,listings,offers,gas_fee
0,Swedish Forest #300,"{""name"":""Dernadler - Richard Nadler"",""id"":""tz1Pu8zRmNghAHzWxsT9Cy2qXHxkCrHcB3vc""}",opFQ2eGNoBJmmwqTbUgqnNe6BvW4gjfv7s8FbGcK7S7kqwA47PD,[],[],0.003933
1,Swedish Forest #299,"{""name"":""Varvara & Mar"",""id"":""tz1ZJJPSdvqFnjCoLiSDHoo17B3YLfdeANA3""}",oo8kVWd5Q76mTcGKAK4ZJVoTSw13XzAsqMULMXgSPgeYf1As62w,[],[],0.003876
2,Swedish Forest #298,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",ooSb3xy51kpUBatFhgZWP2unreYffn8GWU7BpgpCspMSTeiApWK,[],[],0.003917
3,Swedish Forest #297,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",ooyzpJ2hc7NoTJYZQzWi7MRtiY84hRW1kUYRBaPy8eURyKY2Ndu,"[{""price"":350000000,""acceptedAt"":null}]",[],0.003917
4,Swedish Forest #296,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",oowZQNUdnmd5sd9zPgrPx9PxSHKNKnXFzZAndJwkkgzVvpbyWQa,[],[],0.003917
5,Swedish Forest #295,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",onfpJJstceUDyB3vg6Tp8otRABVdyoJPCFTc8JKG2Z9FGEhiaeM,[],[],0.003917
6,Swedish Forest #294,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",ooEkquCGZPeAdZnJWNqpCkT7mdeqE3urmLoCDQH6fUcDsfk75Fe,[],[],0.003917
7,Swedish Forest #293,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",ooT9V7bdGetvZkumrG9dLrAzUh8N4cvdzfv8sBtpMRiwr5YCuAK,[],[],0.003917
8,Swedish Forest #292,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",onwbhXVWj6SuGFX3vbUR6UDSvTqEfZBqS7Nxbf7fSj7iQG1cjyK,"[{""price"":500000000,""acceptedAt"":null}]",[],0.003917
9,Swedish Forest #291,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",opNG2EGxYgbsK5kHw6uxFenMv2f3sAiVPGWv1DzjhcXSyanUFR3,[],[],0.003917
10,Swedish Forest #290,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",op8foiWyEgmXRGyYZVkp6HFiUukqdeVS9KqM4F9EhFhpnGkJMVq,[],[],0.003917
11,Swedish Forest #289,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",ooKoHu7xFbgDFcbCatNsJ4XSWcx5CRiCtvGqba61bPnDqXu23uJ,[],[],0.003917
12,Swedish Forest #288,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",op3KDhwN8KKzzUxfdUNfgE9QuZEZFvNCY8g6pieg5ZvB2We45u6,[],[],0.003927
13,Swedish Forest #287,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",op9qLhFsEq5GM8sNqWPU3ZHLJD5jtPm8gsxN1RpGBdz56hX7ytt,[],[],0.003927
14,Swedish Forest #286,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",ooZ1qrgPB9SfyqJ6tu2tT9gNkF4KXsqmWVtXsnWshSkaVYGYoha,[],[],0.003927
15,Swedish Forest #285,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",opajkLUoP6u94PFfMnd8ubnKfkrvZLrwR94nTE4aswGMqmgMou7,[],[],0.003927
16,Swedish Forest #284,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",ooh8proBXnAPzk1jVDemR6kyAPDiiZX7pgpJro4yJHrLbbEKVwc,"[{""price"":250000000,""acceptedAt"":null}]",[],0.003927
17,Swedish Forest #283,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",ooRT4zu1iCYPYg3rvbYCFh1BJsBHhZRCDxNHuy1mTqga7e6E54K,[],[],0.003927
18,Swedish Forest #282,"{""name"":null,""id"":""tz1Mn66CLYJUmsrYSy23EFtdWBkHgqCooCzi""}",oowFfggVfQrajd551TTeHpA62PeRNuMvkpVnjJ9fy1MUukEDBUt,"[{""price"":40000000,""acceptedAt"":null}]",[],0.003944
19,Swedish Forest #281,"{""name"":""AnnaCarreras"",""id"":""tz1bjGah9KhGHuVGxuabQM2okXyafnPMxvhH""}",opLCz9ybEEz24RMY3kq7oxSJkJvkNvDemGhFzfDVkd5k1XyG4Yf,[],[],0.004001
20,Swedish Forest #280,"{""name"":""wigs6.tez"",""id"":""tz1NraGVJrTiuD6yWnLq6cj5UmkBmvK1qKUw""}",ooh3PCPdxutXTieGDMR71eWMim4AbuJywHsUyrmxRno96T5iciC,"[{""price"":999000000,""acceptedAt"":null},{""price"":250000000,""acceptedAt"":null}]",[],0.003981
21,Swedish Forest #279,"{""name"":""AnnaCarreras"",""id"":""tz1bjGah9KhGHuVGxuabQM2okXyafnPMxvhH""}",onzM8RbzkfrRHyd4RWngRQbgCrvd9RZWjjPoyGBFWjVJh6xspRS,[],[],0.004001
22,Swedish Forest #278,"{""name"":""bspcccc"",""id"":""tz1ibJBGF5HZYzqofZ16ikjkBth92k7VG3qu""}",ooqoFwDczAnVfmtTcu4HHqpbzoair7wiDqqR7uy5iujWzYBvCXm,[],[],0.003944
23,Swedish Forest #277,"{""name"":""cur(s)ed"",""id"":""tz1itTc61iUgUsviodmEsXg826Unxy1G6WW8""}",oouhfWwxAqGamM5DDnF7ukewybAeQ2DdTQTHxpc5cjXBEYvkAuM,"[{""price"":115000000,""acceptedAt"":null},{""price"":100000000,""acceptedAt"":""2022-11-20T00:44:59.000Z""}]",[],0.004053
24,Swedish Forest #276,"{""name"":""Ben Kanizay"",""id"":""tz1XvQtukV6fhQQLmd45TgAQEtukJjMw9siR""}",ooswzCr2QuM3q9Rnph8KYtsZ36mnnm5Jess4TJX2ndjbebznNV1,[],[],0.004001
25,Swedish Forest #275,"{""name"":""XCOLLABZ"",""id"":""tz1UTzm5CVcmk2eLBev8RhTMgUo6E1qFN9gb""}",oovQWyzBh5c4F5eQKwpGh7ykmScdR7Zsf6demhK4fjmBxwZWq2e,[],[],0.003944
26,Swedish Forest #274,"{""name"":""vault.undefinedG"",""id"":""tz1ZxJ5LhGBQzyRzYnXWS5n2K5td8e6fd8Er""}",oowUiaEfYQDiJdPuEAzDAQoYTHLx383XCWeYDd8FXcjzDq1X1xv,"[{""price"":92000000,""acceptedAt"":""2022-11-18T20:21:29.000Z""}]",[],0.004053
27,Swedish Forest #273,"{""name"":""TkthghXTZ"",""id"":""tz1bMA8prc6AdMd8pTtH8zFaDDr2a7H4dR4y""}",oo7vifivXRD5trxnB9WoWQffzmetGDXqh6cTCg2TSa91WVjkTJx,[],[],0.003886
