,name,minter,generationHash,listings,offers,gas_fee
0,Textura #171,"{""name"":""ndru_art"",""id"":""tz1YhAXQFfX2umDgD7gUES1wFjvLHzbRr7P5""}",opJBTXBPWFN9tBwhAZzVucpBcyjRcM62TfVARAZEXr4PBwF2WcL,"[{""price"":171000000,""acceptedAt"":null},{""price"":7770000,""acceptedAt"":""2023-01-02T20:39:14.000Z""}]",[],0.0037
1,Textura #170,"{""name"":""pixelllove"",""id"":""tz1Y8mLs76CegLHKHGDzqPtNXTg8e6jof5EF""}",ontRr3nskmQrhmXVtifpeUWPtzi5nHzboH8fkbpG2mtovzDR1GB,[],[],0.0037
2,Textura #169,"{""name"":""celadoor_fxhashA"",""id"":""tz1SR5dqLZLUTWVtRMEhE2hovoos2Gb7bmPh""}",onsDqiZLHw12uPNLEjw8RzHgw6nKyut5Sdvk1N3EWHZ9khScjFH,[],[],0.0037
3,Textura #168,"{""name"":""rothdog"",""id"":""tz1aC5guqeYZgXsmY3BZVKWff2GMBZGoiPEV""}",onhkTspGgUKj23umKbNVpiV7o9a7QdJijJXRA4cyaNDetws1gxQ,[],[],0.0037
4,Textura #167,"{""name"":""famtez_v1"",""id"":""tz1corXrfedU71AZFPudxxYZasSSCGHefw2Y""}",opDSX5rEHSsqScwKqaeagUxtY6yCbbG1BUAVGHUagxCiXxdEwh4,[],[],0.0037
5,Textura #166,"{""name"":""RadrTek"",""id"":""tz1XeYZKBwb4m764EXDJCW87GgwjRMP2WHVL""}",onmcoLzWUwmYPBtuGGu8Wk4751Gt8EXebYkRLD9uR2nGt61K8aL,[],[],0.0037
6,Textura #165,"{""name"":""RadrTek"",""id"":""tz1XeYZKBwb4m764EXDJCW87GgwjRMP2WHVL""}",opCGi25hqtubM5F7RFgKjMYjbK77c9KcrezCQbkee3Kq4geKiTV,[],[],0.0037
7,Textura #164,"{""name"":""quadrado"",""id"":""tz1N64TWNCZR3yJZmmzBE4DRidN1tCaZCw8Q""}",op4GsW6sSiD6MqWWZEQE59MKjJDxxXP1dBywd15FwCcwrUyruMr,[],[],0.003701
8,Textura #163,"{""name"":""quadrado"",""id"":""tz1N64TWNCZR3yJZmmzBE4DRidN1tCaZCw8Q""}",onh5gNifpLzy5zCcifq2iDWeTqrCMPhfaHr3b5N8craN287fey9,[],[],0.003701
9,Textura #162,"{""name"":""quadrado"",""id"":""tz1N64TWNCZR3yJZmmzBE4DRidN1tCaZCw8Q""}",oo7Q7Mptdz7thB7cHcKHeDvdMQcpfngy2rZnZVX3sMBPFNtkwtc,[],[],0.003701
10,Textura #161,"{""name"":""quadrado"",""id"":""tz1N64TWNCZR3yJZmmzBE4DRidN1tCaZCw8Q""}",ooTiaCznbDgCe2ig4MN42jrr3uEYagyQWumgJQp7YBDYPUtE4ti,[],[],0.003701
11,Textura #160,"{""name"":""quadrado"",""id"":""tz1N64TWNCZR3yJZmmzBE4DRidN1tCaZCw8Q""}",ooH2YFVgxRbQcBK2Z3jeUN6n8REVku7Y7PYL2qZp8jZXwukbFPs,[],[],0.003701
