,name,minter,generationHash,listings,offers,gas_fee
0,Udnē #600,"{""name"":""Post-American"",""id"":""tz1ajbUoguHiipVftY865tu8r1aRYEVWMKZz""}",oo4R4jDd59X52ooN99vDsrR1xS7UWKgi2hZQsxb71isigJCrFuJ,"[{""price"":600000000,""acceptedAt"":null}]",[],0.003583
1,Udnē #599,"{""name"":""Crypto Corral"",""id"":""tz1b1S52oRKq8fKsxUd9usW6HwrzGzwHtUQt""}",onkSE4V8t3P1aiRkaux6BZoMrgFYCRx3e6GXUchC5PmnMTXv2Z6,[],[],0.003613
2,Udnē #598,"{""name"":""DistCollective"",""id"":""tz1aNZttacWt7Q2kmvDnLjXkxC27MnigTZtV""}",onhq731a1jqvfC9Qd8xqXtqR4qd9xWZivJbCLugUANQfFNP6rwb,[],[],0.003613
3,Udnē #597,"{""name"":""Erik-West"",""id"":""tz1P4iM5y89uzQomRZPZ7XFuHV6Uw3b7YTQ9""}",op1MYnD9xsFnaPpLfbCDKqSCa4yKLZAzi2VCvX6NT8mQfcQHBpU,[],[],0.003583
4,Udnē #596,"{""name"":""THOTH"",""id"":""tz1LrkNsgavA7cR5qWbKEYRDGpw3BK84gMpx""}",ooF8W4uuFTT5FDt9cZuuTsqQKZT8xFXJfDUy39WKVLvNc6EHeG6,[],[],0.003583
5,Udnē #595,"{""name"":""THOTH"",""id"":""tz1LrkNsgavA7cR5qWbKEYRDGpw3BK84gMpx""}",ooD87HMhRvot1SwQg2tLmDSMj4LxdMGiKGzqtu5pajQby1CS1L3,[],[],0.003583
6,Udnē #594,"{""name"":""peraspera"",""id"":""tz1PPpiwYVM2LieQVTxBLc4FeqQWVmQmYfMR""}",ooejE4SZP9kyN8qNsXsUBGsn54VWuiUEq3tnNrqMbTCaLPW7VXf,[],[],2.0
7,Udnē #593,"{""name"":""rudya"",""id"":""tz1Yu24ewNX9S5tUMBzBbjMpdwV8zB25dPcq""}",ooZknjMx6c697VSDypnVJpx6bBG285sZPVykeChWF98SkAkmSH9,[],[],0.00387
8,Udnē #592,"{""name"":""Virg.eth"",""id"":""tz1Te8Vb34CB5enR1DBGQDhoTaDpe6PoDaoz""}",ooVdUFD6nhwL9fNjDa16qP3yZKm21s1fyFqUPEt1cExLhSPE9K1,[],[],0.00387
9,Udnē #591,"{""name"":""Myrddin"",""id"":""tz1SioLF6ViffZjf9REHXCdJe4SjyuS4D9s6""}",oo3TnfA3bMsnnoHEPDqrR2At2sxYuh9H4NLrdTk88N7Fdw4NGqE,[],[],0.00387
10,Udnē #590,"{""name"":""Collector's Item"",""id"":""tz1T2RMb35hE6Mc1sXBXUcXkFjsj8aWbs7Xd""}",ooU7JWvja7cjj6NgxYtP11WZTxEHELp4eW9XbmCq7fje8qMAyad,"[{""price"":92000000,""acceptedAt"":""2022-12-08T15:32:44.000Z""}]",[],0.004026
11,Udnē #589,"{""name"":""wen?"",""id"":""tz1gLeXAGc1Rho2UTE246xD26SapeyztMF8E""}",op6cPg8iAbV8hpGdC4pHUmTmqUrMS7c8Z6btWaDyjm8vkGdUz2f,"[{""price"":115000000,""acceptedAt"":null},{""price"":94000000,""acceptedAt"":""2022-12-09T12:45:29.000Z""}]",[],0.004028
12,Udnē #588,"{""name"":""David Jansen"",""id"":""tz1aJs53TA6fb9CkdiJKrmw1gZhPU3Tig1Hv""}",opS4tzWfRPPbmeUAJLe3qYmScdHEhwYsx1aBUX42V3ZzK9vVd7b,"[{""price"":180000000,""acceptedAt"":null}]",[],0.00387
