,name,minter,generationHash,listings,offers,gas_fee
0,Univercell #120,"{""name"":""Agoria"",""id"":""tz1b3X8sEk26q5hUanpY8LaaweRhvU32MBio""}",ongoTayVo8uwbXUsb6BdrLAjJfHmoeUB1hjKntBMJkDwc5NyE7o,[],[],0.003846
1,Univercell #119,"{""name"":null,""id"":""tz1fkvovUHfx6rZ7ZfAJB19FLp4EMS1JewZv""}",ooLUppKrF886puuiUFPGP3G7RYdqwi8Hsy4pVMRVS3h4mUHYV86,"[{""price"":50000000,""acceptedAt"":null}]",[],0.15
2,Univercell #118,"{""name"":null,""id"":""tz1LKW3gUc96LTLDHt3hBAZbGx9shrcyEMGZ""}",opEiUzgz4ow6GasqZZoacKAGr8ALLhysfcoG4h95KxhHgKDShUZ,"[{""price"":50000000,""acceptedAt"":null}]",[],0.15
3,Univercell #117,"{""name"":""TacyTurn"",""id"":""tz2EaL8HTqjZhVAWrQ3Ddp4wNCxPeE8CtM5f""}",opWGi51XsaDpXiFDqZiaBcYm1XhAqPDXGWPAKEMHKi8bssb9kjV,[],[],0.003843
4,Univercell #116,"{""name"":""Niwin.tez"",""id"":""tz1iKFhTL3qvMZyGKReP5N7E3YFqjkQnm6YC""}",ooSxc7yLkDTGH58BgbcFEXscnST4gfoiVBaqtR5nwKtXa5oXZbG,[],[],0.003808
5,Univercell #115,"{""name"":""Niwin.tez"",""id"":""tz1iKFhTL3qvMZyGKReP5N7E3YFqjkQnm6YC""}",oodNhrGD6gFpn2BUKpnwQmnJRkmHEDqwMQ2TwTLihfw1tWaGhoD,[],[],0.003808
6,Univercell #114,"{""name"":""Niwin.tez"",""id"":""tz1iKFhTL3qvMZyGKReP5N7E3YFqjkQnm6YC""}",oogHnmdTpLjrgc6oq4BEgfEJVsWnKAjLbVgkYtSyDXb3cscPa8Z,[],[],0.003808
7,Univercell #113,"{""name"":""anbello"",""id"":""tz1Yb9mrEBSsv35doLWovF4Dmwy2q4won9oa""}",opGqVidDKuk5LXsChk2r5ExAnB64SRSZ7mNgoAgpmasKbDkr28w,[],[],0.003808
8,Univercell #112,"{""name"":""f3nt0n"",""id"":""tz1inPpZMzFUv5mkmqDMEC8sYxmEq53vxRhw""}",oo1P2s4XSmZeSZDTcgsyQ7HWygGFHRnXR7GscQhE9qNMUC7Ny6b,[],[],0.003843
9,Univercell #111,"{""name"":""Rami Awad"",""id"":""tz1he2B6L9MqwUrXPysHro7E5GN1QosVLMad""}",ooVKY4fa47ifNSsYGKhzK7VKmhoDQjAH4R9q7871rkJ6rjCLjzE,[],[],0.003689
10,Univercell #110,"{""name"":""vendee"",""id"":""tz1badiCQyDYvFg8xqvJRaJxaxqyNtkjGFrM""}",ooqoeNaJp17HZkEEwmKHkPYindNSZgWFaxV8nP9M5Soe4DPxtDT,"[{""price"":44000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":null},{""price"":31000000,""acceptedAt"":null},{""price"":29000000,""acceptedAt"":""2022-12-22T18:43:14.000Z""}]",[],0.1
11,Univercell #109,"{""name"":null,""id"":""tz1evFkwjsjmuWnHSHi671P4zpyTQscjtTPc""}",opE6gFfd7zaQcX1jgFRM4NCPZp74WML2K89sxxtNQt8xy6xCWM9,"[{""price"":18700000,""acceptedAt"":""2022-12-22T21:24:59.000Z""}]",[],0.15
12,Univercell #108,"{""name"":""nicolus3"",""id"":""tz1c9BiA1vN6davAYJbwn89714Bf4LEQHnLz""}",oocC5Fgarc4VCZSMhcEj2cGDNDhPioxSxybhnMkVN8QmW13uaeb,"[{""price"":32900000,""acceptedAt"":""2022-12-24T00:37:59.000Z""}]",[],0.3399
13,Univercell #107,"{""name"":""spirouzi"",""id"":""tz1dxJQUkh3uaFy1bPgeCV3jJMwPnBwmZSHn""}",opTWQy87cV8kiRcYLWbS2wuCzbmHAQirPLP2abfg9SJZb8WMLkJ,"[{""price"":99000000,""acceptedAt"":null}]",[],0.3687
14,Univercell #106,"{""name"":""tezzarts"",""id"":""tz1TSdoeS5udkYmVr1cEpErTqxGVrC3Kcd2J""}",onoHrvWhEPUBdRbGGwvdiVV98cc6FWsrkixkBqKXanjGKi5XDP6,[],[],1.0
15,Univercell #105,"{""name"":""Gold Turtle Head"",""id"":""tz1RNocnVGrrPRhdZTyE86d91eE8nhT9oTid""}",ongiXfNtpK6t9u5dkEiVWiYCuRL4Nt8eJN7oC89Qn8v4yKfVbW4,"[{""price"":111000000,""acceptedAt"":null}]",[],1.0
16,Univercell #104,"{""name"":""Tuyul"",""id"":""tz1YjLyxgbRkRbkyqVAxFDLMzeP1it92cVTo""}",oo5BCXkho953XMnLGDRjm91sp9xzxG21zdyhFa1addcC4cg6wZi,[],[],1.003687
17,Univercell #103,"{""name"":""OrangeEye"",""id"":""tz1b9ov9hnb6ExU5CSgB2tQTY96T8rvrmq7u""}",ooasv4FpUPVSCwb1RG9XTeq2m34yEUPE5L7zxk8V5jEd5nNR79j,[],[],1.1
18,Univercell #102,"{""name"":""mintdingo.tez"",""id"":""tz2WbfazkesHc5pTLDbFPzBMRNPmjfFhLtkC""}",ooKakN3ryDQiQk7egrMxWRTXDzHpq9biCYf5nNMCmNE7aEYXCrx,"[{""price"":49000000,""acceptedAt"":null}]",[],2.0
19,Univercell #101,"{""name"":""powlozzi"",""id"":""tz1PSt5Sc8xXGKZxC7UGbp64UevSWnVMrojC""}",onfmSdYv1mhXdXRnv5M8XAP5YVSTZZiXffHLwM9fsinUx6DwTYe,[],[],2.116938
20,Univercell #100,"{""name"":""Chushan Zi Nan Temple"",""id"":""tz1eyQjRwKsTkK7kBMHNcz1XvZniDoB9vgqZ""}",ooBchHGAKqqjXAsuoayqnLhnVcS2W2rDrkEMXefjE8B6iaayWe2,[],[],3.0
