,name,minter,generationHash,listings,offers,gas_fee
0,Voyage #239,"{""name"":""egs5000"",""id"":""tz1duKQQ1k3PJp5K5QD3cwSHF6i8ReTQEvDL""}",ooJBn4DXncE9AyN5oDdXgkAsHLLm8NE6GpPCdM2rQkRLumXncHt,[],[],0.003699
1,Voyage #238,"{""name"":null,""id"":""tz1hbBtomEMv3VMfSd3T3yyhaVSToXyPknex""}",ooMDcnrrKvW5SR2JbD3HyTW8wtdjsqLpAuykpyq6NLuvVqXftDv,[],[],0.003583
2,Voyage #237,"{""name"":""dylan"",""id"":""tz1QnS2vFzuD84yyNb3xaCLp7w8Mro4XcRbJ""}",onm5CdH9YhNDmbEZqtzD9PzuyfwJesBhXdjgvtzZkEXcUzjzWZK,[],[],0.003699
3,Voyage #236,"{""name"":""Marnix Keller"",""id"":""tz1bx17C4bjpCP2LesF4tYSEEaX7jHcrJAc9""}",ooCWmkMG68FTiLTvyDS93qF6fJcmTfAJaST6ftHsmodgKBH9JZc,[],[],0.003753
4,Voyage #235,"{""name"":""Marcelo "",""id"":""tz1TG9d5ACUTVsyASTP2yi412VbW8hf2HUV6""}",onfktSxABNrjZfWro65CqnRMPyedtytrnhLA2GnMzh1D19FofTf,[],[],0.003699
5,Voyage #234,"{""name"":""fridgebuzz "",""id"":""tz2Pr4TedPb5UxE4af5SXXy4Jauj58pEFGG1""}",onv5garMhPQAxkM5BFbYVLgdg3cfJAykKiUUi8nf3N4a2TKcGb4,[],[],0.003731
6,Voyage #233,"{""name"":""relyt29"",""id"":""tz1XAibrgxoadp3HmxkHvXFrfXoodpM1knFL""}",oofopwv3AddyMgE1cyshRku3THVBQ5VCv1jATn8knRdMnhJ8wnj,[],[],0.003646
7,Voyage #232,"{""name"":""G4SP4RD-Vault"",""id"":""tz1UdNuVHEeiuTbRGoTopXb3Zi1eMDDDXP2W""}",opEu3ckCeHg1bhCyj64ZdnLPvkvstq6M9kwWczNjuLAJozNh19U,[],[],0.003761
8,Voyage #231,"{""name"":""Théo"",""id"":""tz1T3St54TYhfvjYhaHRwtraMXsvQfysYCWi""}",opKWnfzuGnEz4R2eMcFBTJVkvbVZ3HsMf6NdjQj9v7ahqvAvCMf,[],[],0.003925
9,Voyage #230,"{""name"":""pixelllove"",""id"":""tz1Y8mLs76CegLHKHGDzqPtNXTg8e6jof5EF""}",oobuU1vj8jZhsNQZAyHbTND9LvskDBUrNc2dm6NJb4SFxiEUCTw,[],[],0.003925
10,Voyage #229,"{""name"":""manyjeans"",""id"":""tz1gjftp2aoEkC4xvRfNNkPjcfF2fStESgwo""}",ooBMEzzxBBSyJXfbL9tBDcQ8DJX5GsZwSKLpkwgkE5c4pmU9Bu2,[],[],0.003926
11,Voyage #228,"{""name"":""Qotonana"",""id"":""tz1MasNk7isvDHDxVuN9eCecgXGm6trZceGb""}",ooDSJ5imuDmvwuhD1pfT4KTMtPE98ECASvetLJunMoN6LkcHohS,[],[],0.003761
12,Voyage #227,"{""name"":""Qotonana"",""id"":""tz1MasNk7isvDHDxVuN9eCecgXGm6trZceGb""}",opDEWF8djFoGnYyJxdYKrTzUDQv3JsLwSZYHMzUPeh4RwNYdpsD,[],[],0.003761
13,Voyage #226,"{""name"":""G4SP4RD-Vault"",""id"":""tz1UdNuVHEeiuTbRGoTopXb3Zi1eMDDDXP2W""}",ooMPRh8BNP9CfjubqG1AWpcUvb6da9LrDwLjecWhTs6PbyJ6Ret,[],[],0.003761
