,name,minter,generationHash,listings,offers,gas_fee
0,a fortiori #500,"{""name"":""Casson.tez"",""id"":""tz1iEvkELJMSgfn2WJRR9HPg5U2vppAF1eLS""}",oo3wJpd1Gef7VBEB7iKzEvSyizYed1T6mgGekaHxpQjLraoSD3t,[],[],0.005208
1,a fortiori #499,"{""name"":""powlozzi"",""id"":""tz1PSt5Sc8xXGKZxC7UGbp64UevSWnVMrojC""}",opLHuNEvdVUN5sWBiSgt9sKcYeohF4cj3fPhqVm7S7D4hhJa7LQ,[],[],0.0052
2,a fortiori #498,"{""name"":""dustmrtn"",""id"":""tz1PLu9vNB5Kc63nRGuXJFAsHRfAR948GJ9F""}",oomg5Yf7f1s43BLE7LwgzaYAARCnjK48XfcB989JVoWxcN5Vxg1,[],[],0.005199
3,a fortiori #497,"{""name"":""Patchitchat"",""id"":""tz1Y7HdTpFBMfsbkU8CAb2MVGYeb1RgshSgw""}",opZzjxvsRiiY2EzuYMtXKvecK1Stbe17u428MymMjKtNZrprh3u,[],[],0.005345
4,a fortiori #496,"{""name"":""pyoong-vault.tez"",""id"":""tz1Z96U2pnre4LeE9XB9DSjSRLUry5ehCvZf""}",oowVArxo5Zc9UHAq4kYoGaadX9YSQAhkuoFNtzPovjrBk7arJCH,[],[],0.005346
5,a fortiori #495,"{""name"":""Patchitchat"",""id"":""tz1Y7HdTpFBMfsbkU8CAb2MVGYeb1RgshSgw""}",opYhexaVNU8J9PYaJRzpEt9UcrtJXSv4aJ4ENDMqVz44WiU6wr9,[],[],0.005345
6,a fortiori #494,"{""name"":""Pezzi.tez"",""id"":""tz1ggAjDEBrBMdSR2oHhZfK1wWmXE7tAXEXM""}",ooAubmaLZK5UWUTCNrLuuQD5E3V1QvcX4gP8CEpgm5q8kr436CS,"[{""price"":111000000,""acceptedAt"":null}]",[],0.005414
7,a fortiori #493,"{""name"":""milezero"",""id"":""tz1LtmMaNDfxE41s6sSvh1rEih9YYdpvw7hh""}",oo5dGDMJHQZHzX6YnKi1jLG57jWBr33gUDTwLVYYiom3pGfE8d7,[],[],0.00534
8,a fortiori #492,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",op5T2J2xvNRAFvda2BpLCR9qtRYEgGdctHUXxeWyF5YXRefrety,[],[],0.005089
9,a fortiori #491,"{""name"":""Drag"",""id"":""tz1cFYB9R5ZJYMtStYJFNvJibS3juGdSMZsR""}",ootGsLbJCEoSF52Zmisd2Qm73tvG65NzJQBtTMpRTdTkYPMHbEK,"[{""price"":88000000,""acceptedAt"":null}]",[],0.005268
10,a fortiori #490,"{""name"":""Zenbu"",""id"":""tz1bNpCsGoX9eYjL1rKBLeQYmtWXB8RqGPdm""}",onmwYYJobLeHV3dUioP647MNgtGSwK7sktVDQQakjSndCuWzwrN,"[{""price"":44000000,""acceptedAt"":""2022-12-07T19:40:59.000Z""}]",[],0.005268
11,a fortiori #489,"{""name"":""jlojlo"",""id"":""tz1N5h2RQMcSCDaB5AK545qMHvbJ5VFY2KGC""}",oozQvmUehL9Jj1NBbW5SUVLtEvth4zg1rupg5wX6WE1Y1w7rFGQ,"[{""price"":80000000,""acceptedAt"":""2022-12-08T02:48:14.000Z""}]",[],0.005405
12,a fortiori #488,"{""name"":""ajberni"",""id"":""tz1dZhZ9Y3FeXDpVuVMms76voGMUvu72YWMf""}",onpCNxVypTGntQKxyickbGsRy7j5dLDWzWa1uwDv3WriY8QhCSw,[],[],0.005348
13,a fortiori #487,"{""name"":""Fun Yun"",""id"":""tz1QUjLvN2P6nHusBAJww5VNsc2zB14HUEDG""}",opVUrgXHuP79QstrJdB6GNKA1bDgz1DXY28x47fTe3ptRAoijTm,"[{""price"":100000000,""acceptedAt"":null},{""price"":40000000,""acceptedAt"":null}]",[],0.005262
14,a fortiori #486,"{""name"":null,""id"":""tz1gwSZsQ42bdpJ8RFRM36CEuDc1xAns1Pj9""}",onpUXQwWjL8bakteYQj6MD2fJNd5KRoR9bovxeCF9mNv4VY6DCm,"[{""price"":288000000,""acceptedAt"":null},{""price"":255000000,""acceptedAt"":null}]",[],0.005207
15,a fortiori #485,"{""name"":null,""id"":""tz1XvshAZC9f7GZSR38JXgqgn8VLwdd45vRw""}",onh8gdqiNmt185FusUANcagw6ymoodTuW3oPWT1hAX5558psrsQ,"[{""price"":55000000,""acceptedAt"":null}]",[],0.004885
16,a fortiori #484,"{""name"":null,""id"":""tz2PaBy9TPch87En1Nt6bferF7DhLRv1BeHa""}",oniHjsGNQwpPmQS8zm4L8CSo4fWFM52yUag7sm5kFzBMMh3V82F,"[{""price"":40000000,""acceptedAt"":""2022-12-07T16:47:29.000Z""}]",[],0.005415
17,a fortiori #483,"{""name"":""ndru_art"",""id"":""tz1YhAXQFfX2umDgD7gUES1wFjvLHzbRr7P5""}",oo8z8ZQPGzUqZyMeJWKWhFud2tETHnxourSkujnUGFDrJDJB6Pw,"[{""price"":28000000,""acceptedAt"":""2022-12-07T17:39:59.000Z""}]",[],0.004942
18,a fortiori #482,"{""name"":""tompersona"",""id"":""tz1dLpAVHynAWPsMF3WDbT4jrUrMh4VcmBra""}",opCvWrmLdGJxEu9JBcefU2iF3jstrawSfoR17PkyiFLHFfs3Jea,[],[],0.004887
19,a fortiori #481,"{""name"":""CrayzElbeArtFund"",""id"":""tz1RD8QmCXYDxcPHR61PLBr2eFoCpPYuGhfC""}",oo9QsSqvucA3rU75czyRhFLs4MmWnazWGVAzyZmozhzZ9oGCcMJ,[],[],0.004883
20,a fortiori #480,"{""name"":""milez"",""id"":""tz1Vi3ASZZuuGqA6rNUMCb1SKA4ccWYj3Uza""}",oouT7AvRXDtkDHQJYvn5jWYeK7B1YKNjcUWNdBqLtrwUMMTTy4g,[],[],0.004885
21,a fortiori #479,"{""name"":""CrayzElbeArtFund"",""id"":""tz1RD8QmCXYDxcPHR61PLBr2eFoCpPYuGhfC""}",onsEM6XN7TdnSdgh3Hqx2vWvy5hV5iRQhWcuspSkvQG6eeqt274,[],[],0.004883
22,a fortiori #478,"{""name"":""Jake Shepherd"",""id"":""tz1esQsdSLE6D2Box1p55V9ajcSsKDCFtypV""}",oor7hrZqEqo5D4iSCdSQ7YKHfx9jFBxSsttAnWqkkuR6f2Zdjaf,[],[],0.008348
23,a fortiori #477,"{""name"":""houseoftyee"",""id"":""tz1ZUdMyhFFmbg6CPFKGms4drxD9Z7p1piGX""}",ooYFhHyK1iW1J39DqigLk58ui5Sg7H7CYFSCkfqoEyd5oFpo6dN,"[{""price"":90000000,""acceptedAt"":null},{""price"":400000000,""acceptedAt"":null},{""price"":50000000,""acceptedAt"":""2022-12-08T08:01:44.000Z""},{""price"":777000000,""acceptedAt"":null},{""price"":180000000,""acceptedAt"":""2022-12-11T13:17:59.000Z""}]","[{""price"":48000000,""acceptedAt"":null}]",0.004886
24,a fortiori #476,"{""name"":""TacyTurn"",""id"":""tz2EaL8HTqjZhVAWrQ3Ddp4wNCxPeE8CtM5f""}",oogGtyCQQCoy9UV8qsJqVPsJ36wYeNbpQwEcsTnYnf22JRZVbhh,"[{""price"":31000000,""acceptedAt"":""2022-12-07T17:02:59.000Z""}]",[],0.004945
25,a fortiori #475,"{""name"":""kassatsu.tez"",""id"":""tz1RKxv6MR6dvGcBNvchoxEwJtRSgBSti34K""}",ooeusyDzpTBrBs92AfRAEJyetKLt2es4DjrQoQHaSnHGx1SfUpo,"[{""price"":45000000,""acceptedAt"":""2022-12-07T17:48:29.000Z""}]",[],0.005263
