,name,minter,generationHash,listings,offers,gas_fee
0,d/e/m/boss invaders #256,"{""name"":""Diego Pintos"",""id"":""tz1gLrwunGDkA25gBojS7gLeHF3EonHSqN6r""}",opAZHEUock41gBgkKteSqtXsJMHteFS6CwdfS3XWA3bcgtgZUQr,[],[],0.003852
1,d/e/m/boss invaders #255,"{""name"":""Diego Pintos"",""id"":""tz1gLrwunGDkA25gBojS7gLeHF3EonHSqN6r""}",oo9L9GcqpG6tRaG1SXRGiv6dDNKMF7iyKkU8TVKm7XS2R41cHtz,[],[],0.003852
2,d/e/m/boss invaders #254,"{""name"":""Diego Pintos"",""id"":""tz1gLrwunGDkA25gBojS7gLeHF3EonHSqN6r""}",opZpGMBuHyoRYB6nYUPhRa4yDtkQ5Xr4JwsfWnve784hJcTxrcW,[],[],0.003852
3,d/e/m/boss invaders #253,"{""name"":""Joséphine"",""id"":""tz1PoVo3NHDmmxmdMncyVDpkqc89NgCwVqQX""}",opHcf1UHveYf1NBBzp7e6GNX6rePxA5GAHRF8XsAs9Xc73feezt,"[{""price"":19000000,""acceptedAt"":null},{""price"":16000000,""acceptedAt"":null},{""price"":11000000,""acceptedAt"":null},{""price"":7000000,""acceptedAt"":null},{""price"":9000000,""acceptedAt"":null}]",[],0.403842
4,d/e/m/boss invaders #252,"{""name"":""mercurial"",""id"":""tz1h8YLotB1zP3fWSAEUwFdTPQb8frZiwBeu""}",onz1i3m1JGtwGo7mu7WtXBM6Z3mCZb9FFSHPMLmZTSmgWTqDNQR,[],[],0.5
5,d/e/m/boss invaders #251,"{""name"":null,""id"":""tz1SZEFHAoPQa4NqynYR3chHCbAePz6QzCGn""}",ooUwUxFVm48Lgo5azEgmz3w5j1nFvymq2iY55JtDRiSvCTPapjA,[],[],0.5
6,d/e/m/boss invaders #250,"{""name"":""elliot.tez"",""id"":""tz1Ky6x3mkfGoiKyQKvvhyQpBbSfjWSknYWu""}",ooqwPFns17FykGnkHXCMEQrbaek2ksVMxSgPXNjnmro4L6CjVbk,"[{""price"":20000000,""acceptedAt"":null},{""price"":16000000,""acceptedAt"":null},{""price"":5000000,""acceptedAt"":""2022-12-30T10:25:14.000Z""}]",[],0.503842
7,d/e/m/boss invaders #249,"{""name"":""Titito.tez"",""id"":""tz1W3ocxM4cz27USBQGsthccT8rENDkzvmv1""}",ooM928ouxHaZXKg3bYF7N32jjbCUf8jUDvjTiqUc4SA7gfvvJNw,[],[],0.5
8,d/e/m/boss invaders #248,"{""name"":null,""id"":""tz1TEL6xFJx1hJKukx21NCufAfGEEr9yYoKX""}",op1iA7ErubDxtWppJpkYYQ1KncNkSpRRptaPjssGxy27Z9dSNCa,[],[],0.5
9,d/e/m/boss invaders #247,"{""name"":""Doraemon"",""id"":""tz1RNq9tecQ4i4h1iyD7HmeZjiw7hfq4JMkb""}",onf7ZgVHdMTqejBmKBB1U1aQKiYx9nyZAhx2VgNXWmsr9KduVNU,"[{""price"":248000000,""acceptedAt"":null},{""price"":20000000,""acceptedAt"":null},{""price"":18000000,""acceptedAt"":null},{""price"":12000000,""acceptedAt"":null},{""price"":15000000,""acceptedAt"":null}]",[],0.52
10,d/e/m/boss invaders #246,"{""name"":""anonimo.tez"",""id"":""tz1Szb81xB8cVZ5piWhe9jpsoGqD1RDoasNr""}",opJbTLVC6jfX1DpweFtjfXLcjPC1eBewLdCsafypxEtWjtwxWw4,"[{""price"":88000000,""acceptedAt"":null}]",[],0.55
11,d/e/m/boss invaders #245,"{""name"":""nicolus3"",""id"":""tz1c9BiA1vN6davAYJbwn89714Bf4LEQHnLz""}",opTbFNgjEKG6HBWwtDF6WQoEgF1kwp1mq4EgwMaXADujH5cx1pv,"[{""price"":18900000,""acceptedAt"":""2022-12-02T18:33:14.000Z""}]",[],0.6699
12,d/e/m/boss invaders #244,"{""name"":""snibbler"",""id"":""tz1aJ5yy8R7cPtbaZAHzYZvgm3fUGaTEPux4""}",ooDBqRuWUdMNDcTbN4JHzVyDCz2qCTMBgQYbjm8JBhCnRfJsvRH,"[{""price"":10690000,""acceptedAt"":""2022-12-03T19:02:59.000Z""}]",[],0.6699
13,d/e/m/boss invaders #243,"{""name"":null,""id"":""tz1WKMCqYUVJyt94FCjjTWUFi8UQZJVSq5Q6""}",opErc8GJp8TPbu9yi4bihsZG74t1i7c6BkD5tiTD7Lgob4sB35P,"[{""price"":35000000,""acceptedAt"":null},{""price"":14400000,""acceptedAt"":null},{""price"":11700000,""acceptedAt"":""2022-12-02T19:45:59.000Z""}]",[],0.70037
14,d/e/m/boss invaders #242,"{""name"":""TezMarket"",""id"":""tz1au96ZfQuoo62sJyhmvJ6yysvpPyRVhqBf""}",oodJnBGL3q6XrugnsB3DSwJvM2aDkNTxVjYT2mQCWyYrjbtFmeC,"[{""price"":24000000,""acceptedAt"":null},{""price"":17900000,""acceptedAt"":null},{""price"":15900000,""acceptedAt"":null},{""price"":13900000,""acceptedAt"":""2022-12-02T18:44:44.000Z""}]",[],0.8
15,d/e/m/boss invaders #241,"{""name"":""Zen_ok1"",""id"":""tz1aeDkHxvzQQsNetSdYqzjwPX15aKZWfEpF""}",op8HXspsZ9aVXmCNDAAZdWDbbLv37KrPFKoxCH7t6rNpdV35sbM,"[{""price"":19000000,""acceptedAt"":null},{""price"":16900000,""acceptedAt"":""2022-12-02T18:32:44.000Z""}]",[],0.8
16,d/e/m/boss invaders #240,"{""name"":""tezorrus"",""id"":""tz1NJ5NqG289sA7Sfo8sbdqjczoVE52JoqTX""}",oo5yysgq9cUahXc4hLFmVBF6m8gGQNEn5M1AreLETtBh9pMnUeN,"[{""price"":17000000,""acceptedAt"":null},{""price"":11000000,""acceptedAt"":null},{""price"":9000000,""acceptedAt"":""2022-12-02T23:24:29.000Z""},{""price"":626000000,""acceptedAt"":null}]",[],1.0
