,name,minter,generationHash,listings,offers,gas_fee
0,stellar nurseries #200,"{""name"":""srice"",""id"":""tz1ZQNJ2jb7WcoYjFaSsboAC6YUs1T577A95""}",ooYV8J8TSxVG4XnN9VPAjgAkYBePKNrkbGbbeZpuh7Bg1NQgWGp,"[{""price"":8000000,""acceptedAt"":""2022-12-26T14:52:44.000Z""},{""price"":25000000,""acceptedAt"":null},{""price"":14500000,""acceptedAt"":null},{""price"":12000000,""acceptedAt"":null},{""price"":13500000,""acceptedAt"":null},{""price"":10000000,""acceptedAt"":null}]",[],0.003582
1,stellar nurseries #199,"{""name"":""ISEE JULEZ"",""id"":""tz1WRWPC14GHihJUo5abP2pzMm4qCRhpTytA""}",ooiEiKrfb3KQfvsR2kRCzat3u4iQazARppnMoppFzz3M9rMN8xJ,[],[],0.2
2,stellar nurseries #198,"{""name"":""srice"",""id"":""tz1ZQNJ2jb7WcoYjFaSsboAC6YUs1T577A95""}",ooXiguZxmXrxhPiYPKaHGNqcTyFFU8q7KeJGrgcBR1b17xwwRwX,"[{""price"":100000000,""acceptedAt"":null},{""price"":200000000,""acceptedAt"":null},{""price"":120000000,""acceptedAt"":null}]",[],0.003582
3,stellar nurseries #197,"{""name"":""srice"",""id"":""tz1ZQNJ2jb7WcoYjFaSsboAC6YUs1T577A95""}",oojPd9MnzqKHk5EJk5jcVg3eXEmceSCxRAnDHnJi2gh9M4i2wvv,"[{""price"":30000000,""acceptedAt"":""2022-12-26T14:52:44.000Z""}]",[],0.003582
4,stellar nurseries #196,"{""name"":""srice"",""id"":""tz1ZQNJ2jb7WcoYjFaSsboAC6YUs1T577A95""}",opDhsjK3hWwr1qS7k48cUS6seB53q1YFfhovjxtmrpL8CCCNkSz,"[{""price"":100000000,""acceptedAt"":null},{""price"":90000000,""acceptedAt"":null},{""price"":85000000,""acceptedAt"":null},{""price"":250000000,""acceptedAt"":null},{""price"":120000000,""acceptedAt"":null},{""price"":75000000,""acceptedAt"":null},{""price"":69000000,""acceptedAt"":null},{""price"":65000000,""acceptedAt"":null},{""price"":58000000,""acceptedAt"":null}]",[],0.003582
5,stellar nurseries #195,"{""name"":""srice"",""id"":""tz1ZQNJ2jb7WcoYjFaSsboAC6YUs1T577A95""}",ooTLkzoUbPAeso4vxm43Wd8a8K5NR8v8RV8qoiepGvAxCULsDA8,"[{""price"":27000000,""acceptedAt"":null},{""price"":33000000,""acceptedAt"":null},{""price"":33000000,""acceptedAt"":null},{""price"":23000000,""acceptedAt"":null}]","[{""price"":20000000,""acceptedAt"":""2022-12-28T19:17:29.000Z""}]",0.003582
6,stellar nurseries #194,"{""name"":""srice"",""id"":""tz1ZQNJ2jb7WcoYjFaSsboAC6YUs1T577A95""}",onyL8VsDgC9CHJCeogHFpoDKTGMhwDZd4MTLakk3uSUx4aEvPpG,"[{""price"":32000000,""acceptedAt"":null},{""price"":27000000,""acceptedAt"":null},{""price"":24000000,""acceptedAt"":null},{""price"":28000000,""acceptedAt"":null},{""price"":20000000,""acceptedAt"":null},{""price"":32000000,""acceptedAt"":null},{""price"":25000000,""acceptedAt"":null},{""price"":24000000,""acceptedAt"":null},{""price"":23000000,""acceptedAt"":null}]",[],0.003582
7,stellar nurseries #193,"{""name"":""jaccsum"",""id"":""tz2AtcLpAs6RPY6R4aGPgqUXiCiWBfdBChpY""}",onhxeENs5XnQzJV9tSsMRg39DybV9RnZNR81r1hme7QhxxEMcU6,[],[],0.003612
8,stellar nurseries #192,"{""name"":""HAL09999"",""id"":""tz1PgMiRHHCjLaJZPS739cJKnNHGaRXYnsCn""}",ooE2V2kdzM61HbTZB1Vi6n9hDZsMmpBaR9WjrrDg2REWKpPrHqX,[],[],0.003582
9,stellar nurseries #191,"{""name"":""jeres"",""id"":""tz1hnnCaYDiRPH8apoJQB9wvytwpYQSJEzCK""}",ooj5w5KBwnMkdhDnMAFNSZYhtxTeTE6Zq9Mc6Sq56xsQ63EMeHL,[],[],0.003612
