,name,minter,generationHash,listings,offers,gas_fee
0,0xZae #100,"{""name"":""pifragile"",""id"":""tz1gJde57Meuqb2xMYbapTPzgTZkiCmPAMZA""}",oni49aNjq4LtmEpfBYNaaFd9Upshm29NxYszM5JTFMuhdo3qTLU,[],[],0.003694
1,0xZae #99,"{""name"":""pifragile"",""id"":""tz1gJde57Meuqb2xMYbapTPzgTZkiCmPAMZA""}",oo9UEys5tshbf2rJKVhkSd9f9K9K1VCHhDtNAMhLxq7vEmHyJzC,[],[],0.003694
2,0xZae #98,"{""name"":null,""id"":""tz1SeT9hdD8LVJmnamFkEHcjzNr1ser9sFbj""}",oo6FsuTCNKWGMSiWFBfxJESMDQaBLdocAyApQrtR6sQnDca9gft,[],[],0.003693
3,0xZae #97,"{""name"":""Artec_NFT"",""id"":""tz1dtjYZCvDp9kUdxRudmZuaq6bSW293CtLe""}",op1G62GS7geAfbM6g629Stx4Dzq8Br2WX4bd9h8sQtAoq2dxt91,[],[],0.003694
4,0xZae #96,"{""name"":""Artec_NFT"",""id"":""tz1dtjYZCvDp9kUdxRudmZuaq6bSW293CtLe""}",oo6o1bmyjb27GNzHwn5Se3SYQNvwk17eSAgGRWJwP3mWN6aGAnw,[],[],0.003694
5,0xZae #95,"{""name"":""domizai"",""id"":""tz1UU2b79d4VtqW8NZwibLLduSjK5bqKDjrv""}",opWXfznNGyG2peRqBKkJ43PJZUjWNzWBUdt9acwzz52gtcnBZNU,[],[],0.003726
6,0xZae #94,"{""name"":""Paper Buddha"",""id"":""tz1bGbwHUDw5JF16scd8xavRuhVocxDeVN8V""}",op8hngwi9mrhvsrXNmkuY5Whq1EcU496QzbQnLVdr9iNWAMBDAm,[],[],0.003609
7,0xZae #93,"{""name"":""Paper Buddha"",""id"":""tz1bGbwHUDw5JF16scd8xavRuhVocxDeVN8V""}",op3mXCt8gQDcnP4Bu1bVz2QqXkLzuLVYUPDVBSw2pDhftzy51ix,[],[],0.003609
8,0xZae #92,"{""name"":""Paper Buddha"",""id"":""tz1bGbwHUDw5JF16scd8xavRuhVocxDeVN8V""}",ooQzaVFhon2zGUaKHqdpVCj9J64EVMmTbVBJ9czYTrFDY2bCaH4,[],[],0.003609
9,0xZae #91,"{""name"":""Canton Becker"",""id"":""tz1XMzHASx3s9suVuiUcEjzxpPP6LkRCefrm""}",oofqU1nU46AC6EaknyKFK5Afiti86MN76HabtstyXCsDh1fKn1M,[],[],0.013579
