,name,minter,generationHash,listings,offers,gas_fee
0,10PRINT - Example #64,"{""name"":""revdancatt"",""id"":""tz1WBfByKVzmEEJJCqgK4Dcz6W4DCCkgtNfV""}",oohk3sJZH2zirsBBQGnvAMZiSMSkeEwzFgouaaLwzmYHXt77mcn,[],[],0.003285
1,10PRINT - Example #63,"{""name"":""Condoriano"",""id"":""tz1RRfSJ7m1MVRuPmL4qmXax1tbTkn5hrv6r""}",ontGJ97ww4YTkXfggCMZ4wEGx4RRAoG5NxRNWUrU3qa5ZjmssMT,"[{""price"":3000000,""acceptedAt"":""2022-10-27T05:54:59.000Z""}]",[],0.00321
2,10PRINT - Example #62,"{""name"":""Je suis Bossu"",""id"":""tz1RCj8WBxcQ8PL62h5JsqX4roKL4oFegNJA""}",onirjKaVNq1LTTACrvtSz6A4VL65rVEKqiHoZN7kfdH93dfCVb9,"[{""price"":3000000,""acceptedAt"":""2022-12-27T19:13:59.000Z""}]",[],0.00321
3,10PRINT - Example #61,"{""name"":""Gastino"",""id"":""tz1KyHiUJD7WRsFHTHEy9sXXn7rXxNCSVTFY""}",oonERD9Pq7yHUgXXjiMCbFfQ1y93gyxpsEsDXK1dsCVKfBusPAm,"[{""price"":5000000,""acceptedAt"":null}]",[],0.00321
4,10PRINT - Example #60,"{""name"":""P1x3lboy"",""id"":""tz1SvJbECAva9gxczfBmX3CAFUszgQXNgsNm""}",opFR5casG9UFN3PXMBg2tauFGxg9K6ZnBp6KF76bkPB86ifoCZZ,[],[],0.01
5,10PRINT - Example #59,"{""name"":""Terminator"",""id"":""tz1iF8wtB8pmg67wYdPJ7FBQ3FxUAqBxuWTN""}",oo8KH7zhanxEvbLF9GrRNzyYYmZYmchQTr8c7NETvB3Fs9SftUJ,[],[],0.01
6,10PRINT - Example #58,"{""name"":null,""id"":""tz1fNDseRskdfc6bRiK15TeTukumr86v6Vp3""}",ooirTBvxbAUAkHJQ3QmLaWku5VC3NBprWygdKdJfXXZLViZT89V,[],[],0.01
7,10PRINT - Example #57,"{""name"":""SmallWhale"",""id"":""tz1Zknzx49yqLwvf8sfyn3hrjACBXiUF8h8g""}",oorVfJZqjfrsVWGWPYoXmQ7nZixg8jyfuL2B1HN5sDSFUKt8ohu,[],[],0.01
8,10PRINT - Example #56,"{""name"":""NFTzombie"",""id"":""tz1NtLM6sadeDnJpBKfMLKMnvVvCeCRGEXhL""}",opWmzGByRaJat8wvQXssqnQvYrfmTfrcZUPQTCNF2UrbN4VG1Sz,"[{""price"":250000000,""acceptedAt"":null}]",[],0.01
9,10PRINT - Example #55,"{""name"":null,""id"":""tz1fopuTuZWWJUHQEbW3fabC5G6kjAPx8AFR""}",oof6S4F9imiyo5myPKWecsehMQp7mnv2AQ55hyRRjVq3utFAXAz,"[{""price"":5000000,""acceptedAt"":null},{""price"":4000000,""acceptedAt"":null},{""price"":9990000,""acceptedAt"":null},{""price"":2500000,""acceptedAt"":null}]","[{""price"":1000000,""acceptedAt"":""2022-11-13T22:42:44.000Z""}]",0.1
