,name,minter,generationHash,listings,offers,gas_fee
0,Antilepton Factory #42,"{""name"":""Oxymel"",""id"":""tz1WTcvyiHoMCeXQbdsQpfsXSzF3b3M9H56n""}",oo6erM4moykMLNK9jpA2t8YHcpniiuq9Xv6BdciSmwisPa6MoDT,[],[],0.0038
1,Antilepton Factory #41,"{""name"":""Niwin.tez"",""id"":""tz1iKFhTL3qvMZyGKReP5N7E3YFqjkQnm6YC""}",oo7QsykjYoWfgNQJRz4moiEKUG9cJT4TbTvqkuGTkDYkdxeQvjh,[],[],0.3683
2,Antilepton Factory #40,"{""name"":""Greene"",""id"":""tz2UgqLJG8ZHyn9hfKjGPHQVdZZS9gquKh1q""}",oo1bQfc4KawJ6XBaeMdSsWJbgUci3Bb3eozoAW6jk8gZ9k1wTXS,"[{""price"":250000000,""acceptedAt"":null},{""price"":350000000,""acceptedAt"":null},{""price"":333000000,""acceptedAt"":null}]",[],0.003715
3,Antilepton Factory #39,"{""name"":""WillPOP Vault"",""id"":""tz1SCBy5gFnbejrvdV6NwUcLjevZy5fzoQ8D""}",ooYE2H5arBMJknas8nAsFVPxrjce3G5n2SHCpbLFsn6hGg5EQEX,[],[],0.003683
4,Antilepton Factory #38,"{""name"":""chaiseghost"",""id"":""tz1a13TNm4dTTJxJhoK9VscovjAgjwhPpK6S""}",oo3G9G5hyC9Qpj1Q7DLcfjg8xCWJpbmED6qubwQJzrV1WwyzkC6,[],[],0.003683
5,Antilepton Factory #37,"{""name"":""jpsiroman"",""id"":""tz1PnZU8rXSeKc9KNTqMU9pLaHNJrB1sfng4""}",opDjFoKeRsbBkZ5urEjSUdoXrhi5bWmqQZRimnhzHX87LSJ1xep,"[{""price"":150000000,""acceptedAt"":null}]",[],0.003954
6,Antilepton Factory #36,"{""name"":""jill.s"",""id"":""tz1WoXzwhVJoaKiJ31wy2yFQEtu79xmaNqMA""}",oo29YBrjagvSvmQpkDvfBtKVDJ7Y1tz2mMnduR84vf13pJorHzk,"[{""price"":150000000,""acceptedAt"":null},{""price"":75000000,""acceptedAt"":""2022-11-16T09:27:59.000Z""}]",[],0.003683
7,Antilepton Factory #35,"{""name"":""Liam Egan"",""id"":""tz1LrQZuDuGrtozMZxhwQAZjdqJjXHPxVja8""}",oo8p3W4m6goKhsBjUbonXhTorEYxwmHWjyjeMwkqqEEBMZyPu7c,[],[],0.003715
8,Antilepton Factory #34,"{""name"":""Patchitchat"",""id"":""tz1Y7HdTpFBMfsbkU8CAb2MVGYeb1RgshSgw""}",ooK4yWpuQRF1kmk6BeZxqBPKoxkMDeRX2ntfnAKQLZ2mHjf8osJ,"[{""price"":250000000,""acceptedAt"":null}]",[],0.003683
9,Antilepton Factory #33,"{""name"":""jpsiroman"",""id"":""tz1PnZU8rXSeKc9KNTqMU9pLaHNJrB1sfng4""}",ooMSYKCmE8bgcfVBP8AjKyhdJqN7SqcJXkvRnVy9YUEJM2wpLp7,[],[],0.003954
