,name,minter,generationHash,listings,offers,gas_fee
0,Circular Growth #94,"{""name"":""NerdCryptoArt"",""id"":""tz1SHTmBgGWqgBjZXj4sAqwCuotmTC8ddgeZ""}",oo5RmQCzWYS2RNDqcwvrwyYABkZtgNnmvAkhbJtW88objxwMq6y,"[{""price"":2000000,""acceptedAt"":null}]",[],0.00358
1,Circular Growth #93,"{""name"":""NerdCryptoArt"",""id"":""tz1SHTmBgGWqgBjZXj4sAqwCuotmTC8ddgeZ""}",oo6hHTA8Y8mhexPCF5g52Xdhc9gM6sDjDhHYphi1Phdckq1snR9,"[{""price"":2000000,""acceptedAt"":null}]",[],0.00358
2,Circular Growth #92,"{""name"":""NerdCryptoArt"",""id"":""tz1SHTmBgGWqgBjZXj4sAqwCuotmTC8ddgeZ""}",oo4NnQqLNinL8YAmR87U1xqCfCFVT32nArJ3iqp5o1cR84tgDvh,"[{""price"":2000000,""acceptedAt"":null}]",[],0.00358
3,Circular Growth #91,"{""name"":""NerdCryptoArt"",""id"":""tz1SHTmBgGWqgBjZXj4sAqwCuotmTC8ddgeZ""}",ooMW5naX2hfV6AKDJzirMevYiYQJ8zBj9DvGfWoHwXNuJRT8gkB,"[{""price"":2000000,""acceptedAt"":null}]",[],0.00358
4,Circular Growth #90,"{""name"":""NerdCryptoArt"",""id"":""tz1SHTmBgGWqgBjZXj4sAqwCuotmTC8ddgeZ""}",opZmKpbM5LQ8qVuJ9GyjA5epTeRbZraWbqcR27SmpxHn9oieJSG,[],[],0.00358
5,Circular Growth #89,"{""name"":""doktorkrabba"",""id"":""tz2NuePibaK66XFiVLPpcHDiG11dNd8PybFn""}",opSGFuJcjGYnGaqDK6Go5Fpspm2pfNG1VkAiY822oCFTJjKrmWy,[],[],0.003612
6,Circular Growth #88,"{""name"":""hahah"",""id"":""tz1gsMihDSnnQdCHX1rCnW5R25aXx72HM6EJ""}",ooFemuBHjXvrv9JwRRkH6fR533QvM8xZyhkTGqkefYepP7KuTMZ,[],[],0.003582
7,Circular Growth #87,"{""name"":null,""id"":""tz1SZEFHAoPQa4NqynYR3chHCbAePz6QzCGn""}",op3AWS2A6WjcEKWFtk64nGpNGT8iTKBvyNMuvpWj298txo97wxj,[],[],0.003582
8,Circular Growth #86,"{""name"":""dirtnap"",""id"":""tz1KgaUSx8Y6N4SBonYdnHKm1sawcoU6uDkP""}",oo1aW8vxsbKPG7qDPdBBYiaq8pnmXmJzhtJhzSbaSzmJGZJcrc9,[],[],0.003582
9,Circular Growth #85,"{""name"":null,""id"":""tz1h5VDxQWcztJzu3eJ4hVsqmuzXAU65EuaG""}",oodbR3g4rn45i8oa1Xjdr6H9HaWJKGyJc85RbrnyDSxpysyiTFZ,[],[],0.003582
10,Circular Growth #84,"{""name"":""spacegoodies.tez vault"",""id"":""tz1YEd84t1fNqNsywZBmABgBDQD3cabmiN6N""}",oniLrTXTXAcabT48pjnM9hPQS5LKpvnSAG2MpDVQt6UK8rGdYgF,[],[],0.003612
11,Circular Growth #83,"{""name"":""kevinbrowning.tez"",""id"":""tz1Qqewxex1nbDS1w6NASSXpz84P2TBo9gNq""}",onqGT29dP4j3daLdFpaLBHRMMieuEZ39V9aHRq5XvBZrxm6r65Q,[],[],0.003582
12,Circular Growth #82,"{""name"":""kevinbrowning.tez"",""id"":""tz1Qqewxex1nbDS1w6NASSXpz84P2TBo9gNq""}",opCatpzhLJFhqzuApsA5y5mjso9jSSeN8ybHjFFhPLhHrPNKs3B,[],[],0.003582
13,Circular Growth #81,"{""name"":""CryptoOwl"",""id"":""tz1ScePe2eXYo1RBdEe12hNY8KrvHyjFhHw6""}",ooTWKhbS8NB71Xxvg8Bi6oef69dMSdhR4VN6aJPwhwVNihEEDgT,[],[],0.003582
14,Circular Growth #80,"{""name"":null,""id"":""tz1aRCKtF2E6gEJqUN9eFXgpWxcoHBeeYBSJ""}",opTg9g2DdiqcX7bo8CDubVtJoBNCXvQ1xWcnHxxRbLATkexg4Gn,[],[],0.003582
15,Circular Growth #79,"{""name"":null,""id"":""tz1aRCKtF2E6gEJqUN9eFXgpWxcoHBeeYBSJ""}",oooSzy2WwuoJbXx9sQMEnYvWr8tQJQE6YLXHPW4cXjQraV8z7yr,[],[],0.003582
16,Circular Growth #78,"{""name"":""Fiat MoneyEater"",""id"":""tz1bH6y4JhRy2cs9bi7RNUYkmzunnTn8SNTC""}",opTCUr7ipPfrmRBK7yTnxM2ZNZCrJM87GqM3rGZmPgdEbqz8YMg,"[{""price"":3000000,""acceptedAt"":null}]",[],0.003582
17,Circular Growth #77,"{""name"":""NFT Collective"",""id"":""tz1gEVqnejRkwfpfqoxhTfi9tDm1xT2mqiGV""}",ooqgrZCnctL5kmw2cirArXCG2iVY9gecAeEwjWyPgYFzymsjdHX,[],[],0.003582
18,Circular Growth #76,"{""name"":""NFT Collective"",""id"":""tz1gEVqnejRkwfpfqoxhTfi9tDm1xT2mqiGV""}",ono74q9BDw4iGeLpSmvsDbg3GmRnu7jxq5wLfcBd3QYJzTC5CEk,[],[],0.003582
19,Circular Growth #75,"{""name"":""BITREVERSE"",""id"":""tz1cMkqboEyuNiJcJsTRx8La7XhuWvDdk3pL""}",oop3Dek1GjztbFbiU4YwRVShcjX3mwXpfvcXqhApcx2RdJtz25y,[],[],0.003582
20,Circular Growth #74,"{""name"":""BITREVERSE"",""id"":""tz1cMkqboEyuNiJcJsTRx8La7XhuWvDdk3pL""}",opKkBnFv4ANTgaDaHU8xHHdfb9nBruC6a4JoiAK1r1y5adPyX9s,[],[],0.003582
21,Circular Growth #73,"{""name"":""a dirty boy"",""id"":""tz1Yio7ieU81r7Wv9EDbLgChvYJv7BrgXTd8""}",onwrzSFQXLomvQeRg4utsVf97CLKkm8PjK7f23GjxCgjFyUVp7E,[],[],0.003612
22,Circular Growth #72,"{""name"":null,""id"":""tz1T6CGGkujtc5AdkVUnAztoDf9DTR4ykJn9""}",opR9AG3BNHeB8J7YR1zaFZo31E6dZjKAF53TpC8WhwbtcDuzvY3,[],[],0.003667
23,Circular Growth #71,"{""name"":""a dirty boy"",""id"":""tz1Yio7ieU81r7Wv9EDbLgChvYJv7BrgXTd8""}",oo4VhBdfoRAAd5KZX51evipNZfM9WBrteEDtv8Gh6NcF49K4raY,[],[],0.003612
24,Circular Growth #70,"{""name"":""a dirty boy"",""id"":""tz1Yio7ieU81r7Wv9EDbLgChvYJv7BrgXTd8""}",ooxw5PbC4k6L5Ux5NfZ1jLtLUdL3WYR4ww1BKHdwnFoXBNS82fE,[],[],0.003612
25,Circular Growth #69,"{""name"":""a dirty boy"",""id"":""tz1Yio7ieU81r7Wv9EDbLgChvYJv7BrgXTd8""}",oo38DSWG77zFGHLc9Q8aFdENcebrnctSzK3oRw1p5sD8nehdQj1,[],[],0.003612
26,Circular Growth #68,"{""name"":""mikegee"",""id"":""tz1QFFvtYHPdvPC72AtsxvoeLXDUE8YutqXa""}",opPhgUoTnwLDNeHXNiDwCRVmi1nX11AcGyJCUBpBfnfKZRucsfr,"[{""price"":1500000,""acceptedAt"":null}]",[],0.003582
27,Circular Growth #67,"{""name"":""co_dart"",""id"":""tz1XXK39b3gYZ1G16apcjTKa4f37F23a2f5o""}",opJECvSE8u7uAnQrKbZtmNo9sDMkHwhnuTEzS8hK3oZtuJeynE8,[],[],0.003582
28,Circular Growth #66,"{""name"":null,""id"":""tz1KoC8LqauyB1GRNTkDnbZsToUSTdyuGwQJ""}",oo7icAssvhwD5xzVxt1Ka6m5mznVyXLfVC5uZRgBZM3DDZNxucw,[],[],0.003582
29,Circular Growth #65,"{""name"":null,""id"":""tz1KoC8LqauyB1GRNTkDnbZsToUSTdyuGwQJ""}",onoqxpXtaNGiQmhfW2CBFVe2PcBRJkWLenEiKbT39VJcrybPFTt,[],[],0.003582
30,Circular Growth #64,"{""name"":null,""id"":""tz1KoC8LqauyB1GRNTkDnbZsToUSTdyuGwQJ""}",opTawZf7XgsR1WUfP2MnamtrJfpZqbCuWVbTnheASP64MbjBTzA,[],[],0.003582
31,Circular Growth #63,"{""name"":null,""id"":""tz1KoC8LqauyB1GRNTkDnbZsToUSTdyuGwQJ""}",ooEnLzCKBHLsP1dQjbkRiBqhHwPN9YG5XhqgvebXe129HDnhLRB,[],[],0.003466
32,Circular Growth #62,"{""name"":""Elout de Kok"",""id"":""tz1gmu6JWBtVempivULkthcWT3hgXjtHz2xT""}",oovwisMumBL7Nh1naz87tvGAfCSYydX6HXZKYuAc2UrBvEGj51u,[],[],0.003582
