,name,minter,generationHash,listings,offers,gas_fee
0,Crisis Worlds #200,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",onhrAZN7DE95a7Cyt3ccTXK9GBLELjbnpZ5QcbWCJvBHkbG4XU2,[],[],0.003734
1,Crisis Worlds #199,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",onedk18JDQ5Lf1RNT8owo1zpvUD6L8DE3VKcaknR8M3xSdDuDM9,[],[],0.003734
2,Crisis Worlds #198,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",opFJDqbke93dSQbpwEP1c73dRC5QAfdzc5NdnMv3RRwhuSqNu78,[],[],0.003307
3,Crisis Worlds #197,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",ooyQuDZmK4WcrPNqbhC8HjKCT95K8sSt937nDy2NYGRRyxTNhCh,[],[],0.003307
4,Crisis Worlds #196,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",opCjeekBRX5vwgcxvwpx8z56su1aXjXACcAY21waqXiKtGxKwkZ,[],[],0.003307
5,Crisis Worlds #195,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",onqzVS6cEKAq3Kbhvp7RUJwYxRk1pmKbTQQcwfKcWpMW9gwbEPk,[],[],0.003307
6,Crisis Worlds #194,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",onfFYb8euUwMqwj1J2aCoYEzMVkSioZGUmhZhiCiMy3MP7vAvqK,[],[],0.003307
7,Crisis Worlds #193,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",oobkR3m6f78uNct13vSB2NSusd9AA96XEcAPNA8kfjnef175RHE,[],[],0.003307
8,Crisis Worlds #192,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",onyHKsnA6YLuPVekPdUiYtoQhkkPw1yust54x25BU5HMX3sUXTC,[],[],0.003307
9,Crisis Worlds #191,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",ooaTZN5ukFDyqpMMkHzLfG4gv6xg7dFKtkDEVbogZc3nnck4h7B,[],[],0.003307
10,Crisis Worlds #190,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",oo7xtsiSuztEdkaj1qfVwB7qZZSCNgL1PbpuXR7Drx2bUSRBuG7,[],[],0.003307
11,Crisis Worlds #189,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",opSucwggcuRKcWzYDwNvQptRzcc3rzu3uPiuuvSgudierkAwUwt,[],[],0.003307
12,Crisis Worlds #188,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",opHRXovV853brdDkvza9rFsmeLpLdtj9JKUymGfBmr4iagLqiHP,[],[],0.003307
13,Crisis Worlds #187,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",opFf7kK8Fmy7wxdDVG87fiwJpfp31gjSA2X554K8sd6iTbLEQGY,[],[],0.003307
14,Crisis Worlds #186,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",ooGy8ACTzjGRN3EQG2zdvVrttxecgAVGExf4V2obK9rtKTjppzR,[],[],0.003307
15,Crisis Worlds #185,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",onfFbDfv3F48SAaq2YQenziqtkG6HA8v3HjBTZ7nQf7vxmnWWZZ,[],[],0.003307
16,Crisis Worlds #184,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",oo1y1N7kD4b1mfV9H6tPkgGrZDEeLZiHjYojDpcaBc36Srkboji,[],[],0.003307
