,name,minter,generationHash,listings,offers,gas_fee
0,Dither Sigil #34,"{""name"":""OFFICE IMPART"",""id"":""tz1fnTm8kaGmYRVz1pke5fstMko5BMBfmoZF""}",onzRTuMpbEG3BTCBAbpMZNTS8UTEtgAiPEeQkXfbSRf5KRo82SD,[],[],0.00399
1,Dither Sigil #33,"{""name"":""ileivoivm"",""id"":""tz1cbhmVZuFTKHcACSFpg5ER1bGVGkanhrbW""}",ooVsFMFfJQpywGFtUBn1dVWPfgBpoH9tDog1uAMTFQQ4pe43M3v,[],[],0.00399
2,Dither Sigil #32,"{""name"":""ileivoivm"",""id"":""tz1cbhmVZuFTKHcACSFpg5ER1bGVGkanhrbW""}",oopdbmGHHRyzRhcfAhvj11wdnSb2KwhMRtqMp9xFBtAejdQnb5h,[],[],0.00399
3,Dither Sigil #31,"{""name"":""itsnathan"",""id"":""tz1NtkUQaLuWCMeLcP2p3kstdpwQJicznRy1""}",oo42F37afBj9N6KMxSUzTvFMhtEVSMQ5sWkWTKm63eUAx5hz9qm,[],[],0.00399
4,Dither Sigil #30,"{""name"":""carson"",""id"":""tz1XqJ9e6NdouxdGvm2V3aknwFnGL6Kinu6A""}",op4Rha2ankLrbGMYYX2sV24WTCfo1s6pCQdKyYFfSghQzEMB2Rj,[],[],0.004109
5,Dither Sigil #29,"{""name"":""Alexthescott"",""id"":""tz1St3n29AbYXZXV8W1BG41qYzz86J2CFAW7""}",op69KDjTTTcyM8siunsHxUKBq2tzmdz6G5qq62AjSbdESeJV78s,[],[],0.00399
6,Dither Sigil #28,"{""name"":null,""id"":""tz1NkDtLboBk6gYG2jUyLmKcQHxzDDiSU3Kn""}",oo2mmNYBYEmSVBrQsBQPgZfjv1bozGGh2pJwUBV6MxcdeGyybKv,[],[],0.004029
7,Dither Sigil #27,"{""name"":""boredbluewhale"",""id"":""tz1fsnEQVNk3ncUo21dMi9Qw4ws4xPMKto1k""}",onviHEkzUecbWoqQxTPg8gYqRm7g3TCDeK1qhya8CeLMrsTtSBk,[],[],0.00399
8,Dither Sigil #26,"{""name"":""Alexthescott"",""id"":""tz1St3n29AbYXZXV8W1BG41qYzz86J2CFAW7""}",opNwVivkDB3JeJwRzuno9kvZHfgH68xzmruzkGkWLjKLPbHzFp5,[],[],0.004109
9,Dither Sigil #25,"{""name"":""meuleman.tez"",""id"":""tz2V3xq48Wcyz3Ki26tVBy4jUTUMjEHT2ykj""}",oopgZt9iz82RWkUn28uG2zagvTMYMRzFoDKGLiYRbnQ9swczafr,[],[],0.004029
10,Dither Sigil #24,"{""name"":""meuleman.tez"",""id"":""tz2V3xq48Wcyz3Ki26tVBy4jUTUMjEHT2ykj""}",opPMWskqioWFeDWqnPoJgD1apspSeKuHJxpHwKUFfiq3tQsGXie,[],[],0.004029
11,Dither Sigil #23,"{""name"":null,""id"":""tz1cqWGkNb7bpmm3pNJcZK1knKbCU3DpjZK6""}",oochGFiS9XMzQPZyyHJb2EZs7H6iSgn8yoaV2m32BRD3uejjsE5,[],[],0.00399
12,Dither Sigil #22,"{""name"":""omgblog"",""id"":""tz1YabHSwvCPZxV8WnKCqjsTRLi82Ac25Qev""}",oonxPPsWDMkuvhhXoj46EwSeZDg8uwGU36voA3PksFb1M2NeAix,[],[],0.00399
13,Dither Sigil #21,"{""name"":""slimdhika"",""id"":""tz1MQ4gnVPqFUbUz3emtzW1H58gevX7yAUrw""}",opNzzqJDquTU1fWFPKevDckEo9S6SssuJEhwZ5zRtcQYM3vMYXR,[],[],0.00399
14,Dither Sigil #20,"{""name"":""ParkerDuo"",""id"":""tz297qbLn7c7KNiJtVtQGDi4QA4rxztbBK1E""}",ooqgAimHSbCerezuWWn7W8KYEoFnGoR7n5NtR4xzHJekNTkVXbV,[],[],0.004029
15,Dither Sigil #19,"{""name"":""- Gert-Jan Akerboom -"",""id"":""tz1VYfBmoBJP8dpxUHcrbEYJ597xdfmZFk1r""}",onremvfYp57LEUscdoPvnE87Vg1EeRZM4ddGHNQTaG5DYfzjkz2,[],[],0.00399
16,Dither Sigil #18,"{""name"":""ChistAi"",""id"":""tz1dwbtWaHdFFiomDBG65XYw1VAfiHtrviXz""}",ootfryfwZ29R9EaP5EMLaJxQhm33RKgobCNS3AEhGBjJBawHpt9,"[{""price"":10000000,""acceptedAt"":null}]",[],0.00399
17,Dither Sigil #17,"{""name"":""Rose"",""id"":""tz1V6YfNEZdyDstDyJRkw52F5CUidMrX1iwZ""}",op9CfYT6Uhq2H1FZy4k71Jrp7Yqhnc76dms9A6AvWSh3eY9zLrr,[],[],0.004029
18,Dither Sigil #16,"{""name"":""chronosensitivity"",""id"":""tz1VZrkBPdGjdS1mBHnr6Msu61GszRMGXFYf""}",opMrHHBQ2sCrzTzwhr76jnztwCbzB7L3znAvkE59qACEH8HUG9e,[],[],0.00399
19,Dither Sigil #15,"{""name"":""omarlobato"",""id"":""tz1iiYA4i6UqucpczxF6sMKoyjcrFLbrXNY6""}",op7V8KqAUCyTYBR5eN6HShqEi637yxBv1MFZg42EAwFTSzYjFjV,[],[],0.00399
20,Dither Sigil #14,"{""name"":""lilcode"",""id"":""tz1Y3RWz9748XHT6kYU6ZdT2zVgGLgAro7cL""}",oo8zu5CBZETeexdFFVTwLE4UwChYLZhdK4oe6UEpvuKmYEbXj4o,[],[],0.00399
21,Dither Sigil #13,"{""name"":""HappyAccidents"",""id"":""tz1MKKVFZyH1euozVqtCB2dcuaFCcYJn67qZ""}",opM5bXKNTyKp5L4n4PMEumoN4QYnVRjQezr6UhewTHVLNF4RbPU,[],[],0.004029
