,name,minter,generationHash,listings,offers,gas_fee
0,Enfantines I. Small Talk #171,"{""name"":""shardifty"",""id"":""tz1YbYcUg8KUtpQG6K7nyC8sjokpx5W2vu2j""}",opQ6X7nZW2xPz5X856pNRcmnQo5eSeDyu7kN5gcAbGSUMxh5U42,[],[],0.004055
1,Enfantines I. Small Talk #170,"{""name"":""EnterpriseSaaS"",""id"":""tz1S5PjnZdwrwJFbUZF3Q6wV19g87GMAZAT6""}",ontQdjoLqURBRNsyCffumTpAa5ZdGTmphTjZmWAM4LHBDEHDbou,[],[],0.004123
2,Enfantines I. Small Talk #169,"{""name"":""dannyomo"",""id"":""tz1YEZfmotRW2kwFMEe5XFjsUVNnDT1dRoDg""}",onjoJJty83182xFZcjAfkTnCEnqhjJRr8bTubsr2Tgmgw2rcTx9,"[{""price"":195000000,""acceptedAt"":null},{""price"":165000000,""acceptedAt"":null},{""price"":140000000,""acceptedAt"":""2022-11-17T14:18:14.000Z""},{""price"":1000000000,""acceptedAt"":null}]","[{""price"":100000000,""acceptedAt"":null},{""price"":100000000,""acceptedAt"":null},{""price"":100000000,""acceptedAt"":null}]",0.004164
3,Enfantines I. Small Talk #168,"{""name"":""Carmello"",""id"":""tz1fsz5x9dABLHt97kvXAa3LYomtu1BVrS7e""}",onirtbLj3tWwDWDr3UL2wf1tbcUWhFB5g7HmSQu8RCmQpJQUrJr,[],[],0.004123
4,Enfantines I. Small Talk #167,"{""name"":""kkostya"",""id"":""tz1V6CE4DCqVG2jBMDY4GXXU5ihDkP16pTy6""}",ongkEncaQ8iZ8fzvugc3MMyp12QgcqKAh8zyeqcjW995cN4h3L1,"[{""price"":77000000,""acceptedAt"":""2022-10-28T02:44:14.000Z""}]",[],0.004446
5,Enfantines I. Small Talk #166,"{""name"":null,""id"":""tz2LDdCMocTrhvSJo8xQY8aMrAbBqc28uWuY""}",opMzNb7dMG4oZ1CkjbPbbfQbGdTPSUHdUDNKM8TjKGiTAeQRBTP,[],[],0.004164
6,Enfantines I. Small Talk #165,"{""name"":null,""id"":""tz1MmirqKxByRsfLirq1grwenbcoE8yBeDUf""}",ooZU93kvJJTsBcRSiCCuu9XnnDk2PmKatdu4wDTK2izWZ8df6eH,[],[],0.004123
7,Enfantines I. Small Talk #164,"{""name"":""mathusalem"",""id"":""tz1d2rUGp2s6Bx8EwVyxxYVa7gJXRA83gAqB""}",oo9iZdak5SWrWcbT3pq7t1U2JLBFvirytZfNH3CjszHbhz9yPkT,[],[],0.004123
8,Enfantines I. Small Talk #163,"{""name"":""pravijn"",""id"":""tz1e7SP5KzZ5Q4vTGWVHi1D2kARqZtn9ziqR""}",oniXnDiCU92n4Ln6HEiMH97PTUEroYKC7RvWRjYuz49zbmYZVbX,[],[],0.004123
9,Enfantines I. Small Talk #162,"{""name"":""Erik-West"",""id"":""tz1P4iM5y89uzQomRZPZ7XFuHV6Uw3b7YTQ9""}",ootYsJzXHjvVBCaBDMp3KPQ1qwfSbW48uufwvUm6Mbkb7g93mpz,[],[],0.004243
