,name,minter,generationHash,listings,offers,gas_fee
0,High Spirits! #300,"{""name"":""Orr Kislev"",""id"":""tz1efwnKoty6omAwtUTN8ui2TJniNDcrHgSB""}",ooea2kMUxWfEM3mGZ8Jb6enDAGLnfvMB6ioXCJ4RwKqqwLwRuo4,[],[],0.003686
1,High Spirits! #299,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",op6fLN97nDWZUuZjn33tB2SpeJmWpkPFkDzTRBcnu4e6wTjzBHN,[],[],0.003828
2,High Spirits! #298,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",opEwYoM54vZiiwGzSsWpZaCXcTRWP2o6eyC68FdaFTyh6C6JWSk,[],[],0.003828
3,High Spirits! #297,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",opXvbmVdvcr9hWUXwB2GdBGJhiwTAAp2AFurWxoMCX5jTSrh33T,[],[],0.003828
4,High Spirits! #296,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",ooTCWWAZSMbCRKsoeNuDuJeSrzA7oJoS6GjcZXkH4ooGZUp3QB9,"[{""price"":25000000,""acceptedAt"":null},{""price"":15000000,""acceptedAt"":""2022-12-11T08:03:59.000Z""}]",[],0.003828
5,High Spirits! #295,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",opZyij61CqQAR7DsmFZ4PYav3dpmtGF2Rnwhj6em5r9pjexKnh2,"[{""price"":65000000,""acceptedAt"":null}]","[{""price"":34000000,""acceptedAt"":""2022-11-16T13:06:59.000Z""}]",0.003828
6,High Spirits! #294,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",oofPP5f1HGAE1AEduD5aFqcWqVi8MmFwRroBS1KTdW4FWToZjJN,[],[],0.003828
7,High Spirits! #293,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",opGuGvPXbDftDhBgBkyUvFDrDPXaGLLMcEbJp7585FcCmsiJfJZ,"[{""price"":50000000,""acceptedAt"":null},{""price"":30000000,""acceptedAt"":null}]",[],0.003828
8,High Spirits! #292,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",ooAzDT87k3KJRCxxv1TJGBzHosZhm1rG2Mg7xDEMsF1EZRHSDP8,"[{""price"":50000000,""acceptedAt"":null},{""price"":9000000,""acceptedAt"":""2022-11-06T12:22:14.000Z""}]",[],0.003828
9,High Spirits! #291,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",op93CZEMxYjLwLTQB3aEZPTRPQd1AoEZD5jhsFEt6vowEm5HexL,[],[],0.003828
10,High Spirits! #290,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",oo8dCq9JyaN1cEJJrUrBr8ASBBg7xYgL7ZSxCpNzgkRh9qta2e3,"[{""price"":44000000,""acceptedAt"":null}]",[],0.003828
11,High Spirits! #289,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",op292YH7zfALmSuzBRKUQuyhA7JrHGGw2ijKmCDrHBW34V8tYJi,[],[],0.003828
12,High Spirits! #288,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",ooTJfSVjA5urdJDe7DuvHxEV55asE1gBAoVUfvgVm1YDGTHMdsW,[],"[{""price"":5000000,""acceptedAt"":null}]",0.003828
13,High Spirits! #287,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",ooWHPrzioNsE6LC6LVS9P5WLu3r8QYQDkL8zKFSxjNmirMnqrr5,[],[],0.003828
14,High Spirits! #286,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",onq4SzqeWWdFrMwqdzEini8gcuJDWfGowV6TVFu5d2LkeCGucPC,[],[],0.003828
15,High Spirits! #285,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",ooHgHV6AhFaH72a3nXTxBK8RPw9KcB6oFGJkuC3NuVtUmzL5Qav,[],[],0.003828
16,High Spirits! #284,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",oo1JJqLSHw4xzpY17LCg5b8G1NPzR7SXMhaZgqP1SjWu1FY5nF3,"[{""price"":164000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":null}]",[],0.003828
17,High Spirits! #283,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",opCg7wkiN1Q8tm3kD1gHwQ4G88oChBWTBjj9piU1hw3i7jEy1vd,"[{""price"":23000000,""acceptedAt"":null}]",[],0.003828
18,High Spirits! #282,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",opXogM7NDGfsGdsExb2DHcM4JE8PNSnaKJVcbL4rvGywSVV18je,"[{""price"":10000000,""acceptedAt"":""2022-12-08T03:52:44.000Z""}]",[],0.003828
19,High Spirits! #281,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",oocoLR3Xy7pdcjmHUY8TMNeGuE8ab1PMX4F71oJnaK3yGjzaZzr,"[{""price"":15000000,""acceptedAt"":null}]",[],0.003828
20,High Spirits! #280,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",opHY3s14RkEMvD9QhCtz4MbwxN8VdGCBsST5Gyu3QSdeedrNZVR,"[{""price"":12000000,""acceptedAt"":""2022-10-08T00:25:59.000Z""}]","[{""price"":10000000,""acceptedAt"":null}]",0.003828
21,High Spirits! #279,"{""name"":""TENDER x Collab VIII"",""id"":""tz1dXLjmkSiSXFKfUVgukDSMXSuVG1eK37Lf""}",ooKhgmPn5Zb2EYmq9tFinuCZRSgGhuwT6vWHVFn1HXv3WkWrGXM,"[{""price"":15000000,""acceptedAt"":null},{""price"":12000000,""acceptedAt"":""2022-10-17T05:32:59.000Z""}]",[],0.003828
