,name,minter,generationHash,listings,offers,gas_fee
0,Improvisation I #192,"{""name"":""Labslo.tez"",""id"":""tz1PQLhMvzGWJrpqS9B7m2ioSXSJT1pMsiSP""}",oowmDFoP6JkXrcUog7FdGVagbFfWtFwQwQJPkRXqnSGqyYyiCtJ,[],[],0.003821
1,Improvisation I #191,"{""name"":""Jacob Shedevrs"",""id"":""tz1eMj5wx8fJndRzEoyjCxDeRGn7FHch2D8A""}",oon2Vh2cvv4TCyYLnzQFYy67PL3H7n2auFaoam7zNfmYuQZyxAL,[],[],0.003822
2,Improvisation I #190,"{""name"":null,""id"":""tz1hwYHgCvHbvbN4HR7RenzJouyWwzLDC5Yi""}",opHFgZcUQ4DjPR3HYyhecrjwCdockqw72KVPN8WrkTa6BJ8HbuN,"[{""price"":17500000,""acceptedAt"":""2022-11-15T23:00:44.000Z""}]",[],0.003736
3,Improvisation I #189,"{""name"":""glenofstalbans"",""id"":""tz1NhfEvAoFcXEBBHVZxPQmeegpSYawszjxx""}",op6dV72ivVJGRLATXMn85eViftTCnobDFCWFMNqWddSgro8DW4P,"[{""price"":27500000,""acceptedAt"":null}]",[],0.003736
4,Improvisation I #188,"{""name"":""agksys.tez"",""id"":""tz1ZhXjXNJ6eaEw42jvQBbvT1gW4dkBt5GxJ""}",opCUtvPpZFhB6yWC5K6d4MrzCJ7Mh5uGCf6r1KcS9XqxazhhLaY,"[{""price"":55550000,""acceptedAt"":null}]",[],0.003704
5,Improvisation I #187,"{""name"":""Sofie"",""id"":""tz1ShohUeWFkBBieUWRkKCB2QXk8Aiv1uR6M""}",onzbBi1E5zFWwVKjt1AC86SQ1p4ZGEkJyJFU6yHfoH9cm6PebBJ,"[{""price"":38880000,""acceptedAt"":null}]",[],0.003704
6,Improvisation I #186,"{""name"":""ReyArt88.tez"",""id"":""tz1iSjAt5KyBxWQh3T4Nc42ytUGUswG1EjBB""}",oomd3qBJaHYF2LYXyKTbPdC9qs3Bt7BLhYoCKvHGbvMaBnKJnvx,"[{""price"":18880000,""acceptedAt"":""2022-11-15T23:05:14.000Z""}]",[],0.003845
7,Improvisation I #185,"{""name"":""473xanderz.tez"",""id"":""tz1UDGwyTMU3ccfV4o6KzagWkD734FCSWN12""}",ooqoggxcQKhHudeZ4jdYrxQKdPF4UvzEZPYM2m1v9zp6Qxqy5hA,"[{""price"":22800000,""acceptedAt"":null},{""price"":13880000,""acceptedAt"":null}]","[{""price"":7000000,""acceptedAt"":null}]",0.003845
8,Improvisation I #184,"{""name"":""Birbman.tez"",""id"":""tz1c1T62BqhmNbpz13uE7gGsWc7qo8uEj4z1""}",ooeCiicctwtajFTCpkxjovVJmR4LU6gP1uYsL1Zq16nPZiFc47d,"[{""price"":14000000,""acceptedAt"":""2022-10-29T04:47:59.000Z""}]","[{""price"":10000000,""acceptedAt"":null}]",0.003799
9,Improvisation I #183,"{""name"":""agksys.tez"",""id"":""tz1ZhXjXNJ6eaEw42jvQBbvT1gW4dkBt5GxJ""}",oojqHqHJ7SjCoNGvZzQmnJbHxYRP71zciWsnrAF9wtaVdQbJjbj,"[{""price"":15000000,""acceptedAt"":""2022-10-28T11:32:44.000Z""}]","[{""price"":12000000,""acceptedAt"":null}]",0.003704
10,Improvisation I #182,"{""name"":""Sofie"",""id"":""tz1ShohUeWFkBBieUWRkKCB2QXk8Aiv1uR6M""}",opLKnbpXPpeAtSyPZnw8UcXDCDA1WQ8CKDLeEWLXF7Jv6fLjod4,"[{""price"":28880000,""acceptedAt"":null}]",[],0.003704
11,Improvisation I #181,"{""name"":""ReyArt88.tez"",""id"":""tz1iSjAt5KyBxWQh3T4Nc42ytUGUswG1EjBB""}",onnwoGZhKysk5Y9Ge7bCMB8gkxSLkatuHzLLseDNrYH3gga4Jtq,"[{""price"":28880000,""acceptedAt"":null}]",[],0.003845
12,Improvisation I #180,"{""name"":""473xanderz.tez"",""id"":""tz1UDGwyTMU3ccfV4o6KzagWkD734FCSWN12""}",opWDtBSPRtybZxVvNZ8TTHvLfvCvNgtvQ1UVjqqNeT4aF5xZKjx,"[{""price"":15000000,""acceptedAt"":null}]",[],0.003845
