,name,minter,generationHash,listings,offers,gas_fee
0,Kyoshin #100,"{""name"":""k0xrbi"",""id"":""tz1PfPAviF7iiSBptnyZbPLEjThenmxa6njG""}",ong2zsq9T8bwXFSdgxqzLY4qLpRGzPkGiocyPjx2eZaJieWw5wp,"[{""price"":35000000,""acceptedAt"":null}]",[],0.003613
1,Kyoshin #99,"{""name"":""k0xrbi"",""id"":""tz1PfPAviF7iiSBptnyZbPLEjThenmxa6njG""}",opYKjgpBooxwqERoxanhCDUGJg8ygEjX8srtY8fDgjPQ71TS1zh,"[{""price"":21000000,""acceptedAt"":null},{""price"":25000000,""acceptedAt"":""2022-10-23T01:54:14.000Z""}]",[],0.003613
2,Kyoshin #98,"{""name"":null,""id"":""tz2R7jXySdfcdzmy6eiN88HsNN7sVqA9Whes""}",op9geabr9UYiLb44bzVutAG1Rkki4UVm8FrmwsuaB5gMnbZgwYG,[],[],0.003495
3,Kyoshin #97,"{""name"":""P0chita"",""id"":""tz1V9EauaVkNMQMqzhmVdgZm2sKLaH9GsuRU""}",ooMzEiy9nK6YE1uKh72FSvmT2zBuUuamBahvk8pgTpjxbJhZnnN,"[{""price"":24000000,""acceptedAt"":null}]",[],0.003613
4,Kyoshin #96,"{""name"":null,""id"":""tz1XDAwes7oMHRTMkfDfuQAVozw7hu6HzU4B""}",oot8Mn7QbH74eDTQUfBBCvTH67i7ZYgH4eV5brqs1sQzX8HaeiR,"[{""price"":60000000,""acceptedAt"":null}]",[],0.003803
5,Kyoshin #95,"{""name"":""Nikoloz"",""id"":""tz1LKyjRMB7BcrR712GfTg2BgDRYQzacRvEU""}",opQXCSUAGkfn9NHHauqRwY8QVpUcNCUDWEc1VwbACqS5ZMuiC4E,"[{""price"":14800000,""acceptedAt"":null},{""price"":11800000,""acceptedAt"":""2022-11-03T20:35:44.000Z""}]",[],0.003613
6,Kyoshin #94,"{""name"":""Sr.Isla"",""id"":""tz1ReZR5WMcPJ6n8yVp8pQdrgNamLCmx5Wcy""}",oneKbbvwqkfbBwnsLMzKUCrgjmUwiB5KMAAFd1aAgj4q4YVz5WS,"[{""price"":24000000,""acceptedAt"":null}]",[],0.003613
7,Kyoshin #93,"{""name"":null,""id"":""tz2XC1diAACaDTfCgcvfLUdXwxRZQxDPAK2m""}",opFtPsfbvHaZjJNuqVxUYCMXu3tMxFCrq72NDyw5yzkJBrfKpxE,[],[],0.003613
8,Kyoshin #92,"{""name"":""District468"",""id"":""tz298CEKan5NopadqV9hFERR7i2EPrWyoen6""}",oorMjNPmimULSdFt5sgwPCEXbdo4iHnCBKztXedELJxaUBDJNqj,"[{""price"":38000000,""acceptedAt"":null},{""price"":28000000,""acceptedAt"":null},{""price"":48000000,""acceptedAt"":null}]",[],0.003613
9,Kyoshin #91,"{""name"":""Studio Yorktown"",""id"":""tz1XMYyXTn3FmnJKJGh55ivepRPqNpQqeE7x""}",ooTpYwsnUuMSHDNveUgZh5gJcmKtJ4DWtnXzJvuFKYJfNyFjLr7,[],[],0.003583
10,Kyoshin #90,"{""name"":""crlptrs.tez"",""id"":""tz28frCbEKE3pKtohcW4nKQVfp51KRQjAJ94""}",onnHxFvkegXKfPVzSt7P2YmbLyLWWJcF1G4wMJVszemzNBVuaYA,[],[],0.003613
11,Kyoshin #89,"{""name"":null,""id"":""tz2EKn573Jevwz8n4gi5NJLiSKFhieVjosFS""}",oo6syCnXpJTWiApVEMddKyPY7DDySHQ8CjuZ6yRm7yTQ3UegqMS,[],[],0.003613
12,Kyoshin #88,"{""name"":""MCHX"",""id"":""tz1fxnQzANFYRLWyzsmU8ua45sJa5G2JmPjP""}",oozgmMVnLksiTQN7y8iAzsUmpsD634fkEuQqD96xyurtHSgtboP,[],[],0.003613
13,Kyoshin #87,"{""name"":""mochio"",""id"":""tz2Abi9zmUnRRUAhMD7GgCiYhjH7eiHe4vVr""}",op3iSqqz7J7acWFRkUqJBqhrAMNMyeNPAgk1sTrCEHWdXWS6MTv,[],[],0.003613
14,Kyoshin #86,"{""name"":""fxbetaalpha"",""id"":""tz1ckc36i5qS4imnPfjybgk3aTzJhEMjPnDu""}",opBfw8B6p12sv9kaDCDZMngpeTDbMtTxzqoAxeMKMVjGQNF2wpZ,[],[],0.003583
15,Kyoshin #85,"{""name"":""cryptolibertarian.eth"",""id"":""tz1W1GYYv7Lmb4L6SNXv7D3nptnRygoA6AUr""}",opKcYHbcs65WUTqvrKHJbjLZhVTJ4i4FbrMusKHC9dUTNCKRrqD,[],[],0.003583
16,Kyoshin #84,"{""name"":""cryptolibertarian.eth"",""id"":""tz1W1GYYv7Lmb4L6SNXv7D3nptnRygoA6AUr""}",ooxm1acUPB8Dtr5pRj9dkZNWx61ququJbzi8KgBrseLEhVMu94r,[],[],0.003583
17,Kyoshin #83,"{""name"":null,""id"":""tz1YC5ce4Z1vBYy2rtdKm7AqaVqEhC7wXN64""}",opHCvCiK4nw8JWsEPYaQKRC6RQJh6zASPT6Ed38DaNwfsAECSwE,[],[],0.003583
18,Kyoshin #82,"{""name"":""CRYPTKING.TEZ"",""id"":""tz1hz7rcBNMGLL22sMahLr7qEC6fXSNttYMY""}",op4CTV2vHCMKkVqpkVX9AinRYrVDxeZghcC9EMXqLNsyKJjdCiU,[],[],0.003583
19,Kyoshin #81,"{""name"":null,""id"":""tz1Trg6npgauME1Nb8zkkv7xv7sBdboNUFPP""}",oonjgS7LVnxHt3k7HtzJNGjgMX9rJcacnrUrZABC4dKXVzHAbvu,[],[],0.003637
20,Kyoshin #80,"{""name"":""dtheletterd.tez"",""id"":""tz1gZ6HeNUhdMxuzhBff8NKrsPbpsq4qQ3pE""}",op9qFBXsb3sfkFRLZtEzXNj9MP18tJuMHVWNkA8M6dnwdLut4Hc,[],[],0.003583
