,name,minter,generationHash,listings,offers,gas_fee
0,Lost Wallets #94,"{""name"":""Koljaaa_ Archive"",""id"":""tz1WwvqSpynKmUpVz8GT3Ek7ufvnfsgW1eDR""}",onkRkqLj6G6yhqyVv1jj18XNgzkRLLf84hGQL2KdN74L4GCevk3,[],[],0.003268
1,Lost Wallets #93,"{""name"":""siaynoq"",""id"":""tz1NRhXR6Abru7tZ28MVEpfPiTGsZbZpBEeS""}",op1Pk7KdKvN7WkJaxCVijKFFq6c3LWR5fre5UigEou11jzuCiPc,[],[],0.003268
2,Lost Wallets #92,"{""name"":""Christian Bok"",""id"":""tz1KvV6bWCDeif6bEdh5e5txRufxG3iwRVt4""}",ooB9dDxefstapdpcG4dEmyyaca1mbZJrf33x59TTqvgsgbtK9AB,"[{""price"":14000000,""acceptedAt"":null}]",[],0.003268
3,Lost Wallets #91,"{""name"":""celadoor"",""id"":""tz1UZGPJtRLsNyYUuYyQU9DSepSF13XxYxFk""}",opSNJujP1mQzuMm514dEAgcDYNyWHsARe9cw3MDcc4yHLpPNfTq,[],[],0.003292
4,Lost Wallets #90,"{""name"":""..h.."",""id"":""tz1XBuBrXhvLqG4YXXWE6z7bZyU7Mx6F2fiu""}",ooefPkEAzFGALszKpieG78vRskVGNbeRNAiypL2EX2XWemr6Lx4,[],[],0.003268
5,Lost Wallets #89,"{""name"":""boringold.tez"",""id"":""tz1cnyX1CUqm9zRsZSaN49dSF51iBwnfoFah""}",ood3HwWXSy27XmVwXXNzDNAoY9F4SanUpuNaMCHarzpN4LGCG7w,[],[],0.003268
6,Lost Wallets #88,"{""name"":""count_0"",""id"":""tz1WJMNHQPbh8eqNsWQa6T557T4Y92x2ccFB""}",ooL2yy464GqWiy6HWAgoFhkLvNjrpVr72UiLCS3EEmCVFqHr4FE,[],[],0.003322
7,Lost Wallets #87,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",opG6DuVXauyMHByaLV4xLW6cZiTAPRZZh3dSLux2PHhDf88GUxX,[],[],0.003292
8,Lost Wallets #86,"{""name"":""æther"",""id"":""tz1XpFAeKEyiNf3GcyhwdPZHiJ8BuwK9APvX""}",ongj4bFJDXqv8xvTEuCvKRVXs3kgQ986AWgQDvjjAUswXxvkPiD,[],[],0.003268
9,Lost Wallets #85,"{""name"":""toiminto"",""id"":""tz1iy5scpSWLzsc5bXoFnqGHW7NXY8fB26NB""}",opBoy2oSekN7vjqFhMHRF9eWWs1GgqGD5ZctxzmRYAtZkmkCPKQ,[],[],0.00331
10,Lost Wallets #84,"{""name"":""WTFiZthiZ"",""id"":""tz2AShGBaSkfmQnYXyCjHnwbXirpUzaSh3rJ""}",opSsTLzWQ9oLLvwVW7H9fbsvaNtRaA6bezPNtYaESfY1a8gKW8y,[],[],0.003292
11,Lost Wallets #83,"{""name"":""zancan"",""id"":""tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm""}",ooKHzwLCqn5L7Kc5Z66K1XyoCXppamhLrYx5cFdaVF9jAZ23Tq5,[],[],0.003268
12,Lost Wallets #82,"{""name"":""ABOSCH"",""id"":""tz1Sqhrj49cW9aTuwQrDa4mycnA7n5dDd7rF""}",oopM6UJumVb7xPoMMVDiBJHLnCeTTPhUXC97ia17mH29ozwxFst,[],[],0.003292
