,name,minter,generationHash,listings,offers,gas_fee
0,Meaning #200,"{""name"":""007SHANK VAULT"",""id"":""tz1aAGACw1WRjFL7mynBQ8Wte9qbJX2dGBZm""}",onk7ktjrLZMBNB5z2Mzzr3iy8LGuUcqv19Z4va5go7oLN7RSnzJ,[],[],0.00389
1,Meaning #199,"{""name"":""asbjornenge"",""id"":""tz1UZZnrre9H7KzAufFVm7ubuJh5cCfjGwam""}",opE7ENd7izYU2sJbi7a9TCbmCd6uixzDU8A4jGLx8myP8RWCCK1,[],[],0.00389
2,Meaning #198,"{""name"":""Elout de Kok"",""id"":""tz1gmu6JWBtVempivULkthcWT3hgXjtHz2xT""}",opAxk9ckA1G8xEUkNdShUpTeaxkC3CsBk34URvFRPqWYk9syr94,[],[],0.003891
3,Meaning #197,"{""name"":""jbuzza"",""id"":""tz1a2xemWwHzXgViHpVrtWhdYARCgp3PrLgn""}",ooYwD9M1sVNj59YdNxfxG2HKdtzfbSd8c8R8MoWQUeto5qCXk1U,[],[],0.003927
4,Meaning #196,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",oowPqStPiK72vjHTSkLXre2AgmSPVXAZZ3ETqrzVdMABHJ7UrE4,"[{""price"":4000000,""acceptedAt"":""2022-12-29T19:33:29.000Z""}]",[],0.00389
5,Meaning #195,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",ooLYF4KmkGfopmnYHtoAwAC9YWWZMCkvYR7PctjfhH4zivb3mxD,[],[],0.00389
6,Meaning #194,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",opJXsrYgPNgXPqbKYB1a7McgoedRuu4p3FzdsV6MvbCNwuRFHuT,[],[],0.00389
7,Meaning #193,"{""name"":""yenren"",""id"":""tz1eKTnTMPKkQdZQFHU4dKsGgefF1hQvBnKw""}",onhgetDhWqoRKswLJQxx76fhTNaWrCt8CiVVq423evk7MvrVSbD,[],[],0.00389
8,Meaning #192,"{""name"":""r.rodkin"",""id"":""tz1aiYi2RXc2xCpNwnAixWtVSwHKXzGU8SEn""}",opWa4sX9otzQxd8Y1c4zyvST4uj33UwZgkhLEDjHwgGUqFSVgn8,[],[],0.003927
9,Meaning #191,"{""name"":""tz1RgHY...MTaJ9h8"",""id"":""tz1RgHYQuLMEn33HycSNXbxboqsoFMTaJ9h8""}",oowRYq91QCpENqia66gRHwV6eSHcJF8uH76BtQayDqVjhbFfUqv,"[{""price"":1900000,""acceptedAt"":""2022-11-09T17:14:59.000Z""}]",[],0.00389
