,name,minter,generationHash,listings,offers,gas_fee
0,Moonlit Sea #300,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",oo5WLuFvksD4i99Hqz94hE3A9RimB3MhGn4CLxmhzyiTvTc2N6X,[],[],0.003781
1,Moonlit Sea #299,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",ooYjskwKc1odJrWTwxLFTKS3vza4SFYz7rowdJfb3iUbKq8Hdcm,[],[],0.003781
2,Moonlit Sea #298,"{""name"":""mido"",""id"":""tz1XRoEAfmujcV6czXT9kS4oeM2P8eeeqYNR""}",ooFiBXjF1yExKADP9w5RWQE9Ac3kJpetMgQNSgMnCeiRX5fjbCY,[],[],0.003781
3,Moonlit Sea #297,"{""name"":null,""id"":""tz1YM5Zu4zgEyaHi5EzLbyLoPak8rqJHU5Sh""}",ooVUPz3DHHtbc8WdTzTMiK7txS75zmzDPqRXHVtmnfqhLNHSQbA,"[{""price"":11500000,""acceptedAt"":null},{""price"":7850000,""acceptedAt"":""2022-09-16T03:53:14.000Z""}]",[],0.003904
4,Moonlit Sea #296,"{""name"":""hungry"",""id"":""tz2C571mwS7wtxyQiqTKt9xWsxPc2TwK5ENa""}",oojHaS47FLTRXSj95FieciX1VB2shZceGTJgbgr98Yw7eJQTeAB,"[{""price"":14000000,""acceptedAt"":null},{""price"":14000000,""acceptedAt"":""2022-09-16T09:26:59.000Z""}]",[],0.003941
5,Moonlit Sea #295,"{""name"":""Chenwa"",""id"":""tz1dEXH1Qzm8cYHBuykJ7DLZw2zvK7wqtoxP""}",oneMZSTFER1Kpf5YfZG6PNYJYJ6LmMePtmpeJjSBnPUfAAeTXKK,"[{""price"":8000000,""acceptedAt"":""2022-07-11T00:58:59.000Z""}]",[],0.003904
6,Moonlit Sea #294,"{""name"":""LeonardoDeNFTs"",""id"":""tz1X3LxgF1A23QW5ojvDfoFYM591cFeyFVtr""}",ooF5yoCEqeoTy8SuxHbh1pLbKGBdWF98xZ1a7SWVcxyFj5Sbvub,[],[],0.00394
7,Moonlit Sea #293,"{""name"":""nullbaysea"",""id"":""tz1euSoD4TWTs4jt37Y1YvEhjJogfy66mfYJ""}",ooqHWnswoYqnsdbwojVVSuC1oqUzR79TTL9ZzpzVo4iZXKPYqyt,[],[],0.003904
8,Moonlit Sea #292,"{""name"":""art4skullsgenart"",""id"":""tz1SWwpTDpvf8PAYnenfsXF9bbUwJRzksJND""}",oow2CUNw1ZfxJUJSGQDmyjsY59rwypJE4xxsVxMNTfUAhMd1vvG,[],[],0.003904
9,Moonlit Sea #291,"{""name"":""ok i like it picasso"",""id"":""tz1QYo4CVBSgRSX6zPYPASxMjK819KVsb3mC""}",onrBTLiJNb54AXgLfWTnkoPDYN3mDBmv6gNfq7Qcf37kCA2HQAB,"[{""price"":5000000,""acceptedAt"":""2022-07-10T14:05:29.000Z""}]",[],0.00394
10,Moonlit Sea #290,"{""name"":""Farflood"",""id"":""tz1MP5jCENYiopwGEvAiTfym9J7u2ArZRBne""}",onfxrBW45VqAGoT29RcVGfAksuuxmGFxRfw6jYE9GPzUpd9zKyt,[],[],0.003904
11,Moonlit Sea #289,"{""name"":""roupin_art"",""id"":""tz1aYckSgRmBzzQfDYdHLXkxdog3o1PbXqg3""}",opWShz2fVB4Ax1a6b6dyPAfiNMYKCLhjjnQAmQQd3ghgnDmWZLt,[],[],0.003904
12,Moonlit Sea #288,"{""name"":""daydreamer"",""id"":""tz1fWauqLC9toF4NuLbdumVL3ZgMJSJZULFz""}",opZmSCuuc6Rr3ma2fXMq7kZ1j1FjpB9h35WeonX3ACfGDphNWAo,[],[],0.003904
13,Moonlit Sea #287,"{""name"":""todemashi"",""id"":""tz1RNVBYBcbAUyjcWkUH86G3v9dTKmuuQTVf""}",onwTE8PaF9FvhyNChxaAivhF4Wx7yUyArLrBqHFdro2JJjtpCSt,[],[],0.00394
