,name,minter,generationHash,listings,offers,gas_fee
0,Reclaiming #150,"{""name"":""spirouzi"",""id"":""tz1dxJQUkh3uaFy1bPgeCV3jJMwPnBwmZSHn""}",opVxVsq3gFUeGH86PYxqcWPiVdDw7hDe7NmnuUurojpgJoojCrp,[],[],0.003889
1,Reclaiming #149,"{""name"":""sundae_mango"",""id"":""tz1Xn6xgi84EyzwW2cH8vwDRwY8TZQtrD7Sc""}",opVkdjyLy6RCpY7yZrTBUK87TM9B5qoxTPxGqua3ViQHH5dv87y,"[{""price"":15000000,""acceptedAt"":null}]",[],0.003889
2,Reclaiming #148,"{""name"":""tito"",""id"":""tz1fCs4TPBE3GwYm1dsfXaxjVBqhTF2HwqLv""}",opZf4Tv6Z8f2kWuCiw9sbpUvDhQhdBqSvuQnMYEjkRYEUZP49Pd,[],[],0.003889
3,Reclaiming #147,"{""name"":""Smarahakim"",""id"":""tz1SmnB3u4PvJYRGxmePASt7e9uK6qWYYjEt""}",ooPAsbYSHaSQT4q6u5JyQNVggn4Juo1SFAMPefM7L58DVxeN545,[],[],0.003925
4,Reclaiming #146,"{""name"":""MEK.txt"",""id"":""tz2W3nHza52fLGAizWGksUzgDNPNxmN4XVVz""}",ooZNJnph5FDi3NTTBTKHagXf5JGWJLASGtsjRK61fjMjXbZARyP,"[{""price"":33330000,""acceptedAt"":null}]",[],0.003926
5,Reclaiming #145,"{""name"":""novra"",""id"":""tz1cNLHCCGinb4KZbvbx95BYoJpZBRWW5wDd""}",opRp2xzuddkv3tvRYQbDjDPbDWuLuDad4uwJLvYd8f1t8DhUVw8,"[{""price"":15000000,""acceptedAt"":null},{""price"":7270000,""acceptedAt"":null},{""price"":6900000,""acceptedAt"":null}]",[],0.004089
6,Reclaiming #144,"{""name"":""YUDHO.XYZ"",""id"":""tz1fafAoXcuRGzxTxNyiP5eT3nYEcngyrh9E""}",ooaH99NPqXvViLuYQGjRjh1gYW158E3kUZm4jmgtXL3ixc61JsX,"[{""price"":7000000,""acceptedAt"":null},{""price"":9000000,""acceptedAt"":null}]",[],0.003925
7,Reclaiming #143,"{""name"":""Dirbots"",""id"":""tz1S48xQgmciATrngqM7UWX6PX3s9Jp7qw3K""}",oogkbD19UbJn16WQuNTZDEbLoAXXnQMe4FhX9K5na8UYBTGAC3F,[],[],0.003889
8,Reclaiming #142,"{""name"":""Esconar"",""id"":""tz1bFXkoaGKEphKQv2uh1qTNQwcTn159mteL""}",onxcr8eQLyMXGPS9P3k7SN9NcM1yA2PeUpfFxUVXQE5siM12DeH,[],[],0.003889
9,Reclaiming #141,"{""name"":""moncil"",""id"":""tz1Qe89qNyUUEjpPwjW64AWvneHxVrd5wYqw""}",ooAzRnUsWdegX2C7vwKSxCnBA2R4MDfYvASSmNdd8YUGBoKgXyd,"[{""price"":16900000,""acceptedAt"":null},{""price"":8880000,""acceptedAt"":null},{""price"":6900000,""acceptedAt"":""2022-12-13T07:43:14.000Z""}]",[],0.003889
10,Reclaiming #140,"{""name"":""Metama"",""id"":""tz1QLGZW7ejFcXvL7K1gmjcbDVE5Pmi1wMBV""}",ooKtKhuyRcEs3eXQ4Nc34855d1jyQCYggdya7W6wzx7624PmTNU,"[{""price"":30000000,""acceptedAt"":""2022-11-07T16:13:14.000Z""}]",[],0.003889
11,Reclaiming #139,"{""name"":""slimdhika"",""id"":""tz1MQ4gnVPqFUbUz3emtzW1H58gevX7yAUrw""}",onjnzp9zWhUTcbFPZzUJfWaSPimmnMguKzqtX83d4PugTfkE6ja,[],[],0.003889
12,Reclaiming #138,"{""name"":""tulalit"",""id"":""tz2UL9PXHxRGZpShwQ47dNW3L13Lfzuc7wDT""}",opRMhn3FucWLJNeeAhwPkRChQdoKySrF5nT1cyEGX4RscogKKVy,"[{""price"":69000000,""acceptedAt"":null},{""price"":42690000,""acceptedAt"":null},{""price"":19000000,""acceptedAt"":null}]","[{""price"":10000000,""acceptedAt"":null}]",0.003925
13,Reclaiming #137,"{""name"":""ZORG"",""id"":""tz1VmRbM78C2YrF73wbDiSiWR3JY5oxZXaH9""}",onvbpYYde2U67Y74E7A8Xsj6hQXacUwKkoh2VAB3R53Z6E5TDVR,"[{""price"":9000000,""acceptedAt"":null}]",[],0.003943
14,Reclaiming #136,"{""name"":""Hibachi"",""id"":""tz1Y1qNfDq6SUb1bPYGgNAjaibnPgYXkF3x1""}",op5XEC745V6VgtnkeTTb6mgCVpFtcCcykUQmVrMnRzF8at8czrT,"[{""price"":14800000,""acceptedAt"":null},{""price"":12500000,""acceptedAt"":null},{""price"":12000000,""acceptedAt"":null},{""price"":10000000,""acceptedAt"":null},{""price"":9000000,""acceptedAt"":null},{""price"":8000000,""acceptedAt"":null},{""price"":8700000,""acceptedAt"":null},{""price"":8000000,""acceptedAt"":null},{""price"":5000000,""acceptedAt"":null},{""price"":3400000,""acceptedAt"":""2022-12-01T02:26:29.000Z""}]",[],0.1
15,Reclaiming #135,"{""name"":""Ramp"",""id"":""tz1VmheNS6QPHDPMWJiD1vGvvUrnhQ2dd4fC""}",ooP8THLcLJCHbCJo3cLiJo3dj5hSA3cfLwfQ1oqJeUsjdeNFwCT,"[{""price"":12000000,""acceptedAt"":null},{""price"":25000000,""acceptedAt"":""2022-11-07T16:16:44.000Z""}]",[],0.1
16,Reclaiming #134,"{""name"":null,""id"":""tz1isxRRrx8wfQi8m5bC7hwiKLAUNUjNUtp4""}",ooh7heEMARm68wRmKKUQfmt4Naa5kw33rFFqcLmffwgMcxEyLFg,"[{""price"":25000000,""acceptedAt"":null},{""price"":4990000,""acceptedAt"":null},{""price"":2800000,""acceptedAt"":""2022-11-21T16:44:29.000Z""}]",[],0.1
17,Reclaiming #133,"{""name"":null,""id"":""tz1bbBLVByCUyfxFpuXJr3T7dmkZ1DZfE2Bj""}",oonavdhiJCNkN38VUj9wZd7pWugDSGFoLk1T7fBubBvwN8y79U2,"[{""price"":29990000,""acceptedAt"":null}]",[],0.1
18,Reclaiming #132,"{""name"":null,""id"":""tz1V9sRCDaG3fkEGgTJZKAbCspJGpEQn5hRG""}",onn84QWWsPcozioiRhw8mhrLGibWtuaZYbjuWKkuDRMjcc1yzs7,"[{""price"":13360000,""acceptedAt"":""2022-11-07T16:21:44.000Z""}]",[],0.1
19,Reclaiming #131,"{""name"":""Newyellow"",""id"":""tz1RPZp6NLzn7x4g7jhqHtCkhCQVnhbVMj8y""}",opWju3fqYn7aXAe8xPX13hQMJdWD3wxwYvPGwSxwYUABcs3D3Vx,"[{""price"":128000000,""acceptedAt"":null}]",[],0.1
20,Reclaiming #130,"{""name"":null,""id"":""tz1QfHrDDxQsMcvfGJ4eFWCjwMeYXGjq1cu9""}",op9M9yF8eEBx3oGmL66GrzcfxE6pVfN6ViYYWcmY3rMUyNih8bv,"[{""price"":11990000,""acceptedAt"":""2022-11-07T16:19:14.000Z""},{""price"":25000000,""acceptedAt"":null}]",[],0.1
21,Reclaiming #129,"{""name"":""ArtistUnknown"",""id"":""tz1LMvSEVi43DTKpVLi7RjMaS544qZcRjRq3""}",opQBs73abgLZ8F1NZBZE1xajYmUtp1evZnTphBcJCNSR7uEmwjz,"[{""price"":12220000,""acceptedAt"":null},{""price"":2950000,""acceptedAt"":""2022-11-22T13:30:44.000Z""}]",[],0.1
22,Reclaiming #128,"{""name"":""Quaresma"",""id"":""tz1e3K4iJBPaeGtu6T3qJYt9UytoTuzKHD7x""}",opGoXHR8FjvagDKjoZmGUKCEaPXySNYCA7hUmo4NLnEHUSs72MS,"[{""price"":75000000,""acceptedAt"":null},{""price"":25000000,""acceptedAt"":null}]",[],0.2
23,Reclaiming #127,"{""name"":null,""id"":""tz1Luwx9YFqUCvt32XDkPGaqZXCb7RaRFnBW""}",ooZuDPFB1UWgvwcL3LdntkCUbmLjxaoB1aUMUHREQ8UYeUAoJvm,"[{""price"":49000000,""acceptedAt"":null},{""price"":13700000,""acceptedAt"":null},{""price"":9000000,""acceptedAt"":null},{""price"":7800000,""acceptedAt"":""2022-11-10T14:45:59.000Z""}]",[],0.200376
24,Reclaiming #126,"{""name"":null,""id"":""tz1bfmjXXJ2xGbstFS7beWqKF8sfrbxUP3t9""}",ooGz1J3Sg8NrgrT1SoMjfwbmUVxbLvKhYMLJSSqkTaZYQuXjjjC,"[{""price"":10000000,""acceptedAt"":""2022-11-07T17:13:44.000Z""}]",[],0.22
