,name,minter,generationHash,listings,offers,gas_fee
0,Repeater #500,"{""name"":null,""id"":""tz1Y8KLMwAz917nxcQaLFyXfnBN1minGcKKx""}",op8VmXifeteV5yWesYNXzHG83S19vWYKxznN4DoGcXtD8UqQqKs,"[{""price"":26500000,""acceptedAt"":""2021-12-11T15:26:36.000Z""}]",[],0.001474
1,Repeater #499,"{""name"":""urben"",""id"":""tz1SoKFcnJJpkihm8AEgCRGgNpefePEAnHQE""}",oob5qRhUZo93FSXmjsTCTFmYi7ccA25nvFfBDZakJudZsYgUaLx,[],[],0.001474
2,Repeater #498,"{""name"":""Bilinda Butcher"",""id"":""tz1XiALu2SbAr47gpzZEKPsaWK2TSmDVaME7""}",opNHXMhiNVsRYKVaskEuRHRx4deyAkrndZUAzKjJsNMvnTV5w3P,"[{""price"":40000000,""acceptedAt"":null},{""price"":25000000,""acceptedAt"":""2021-12-11T15:25:36.000Z""},{""price"":150000000,""acceptedAt"":""2021-12-16T11:42:06.000Z""}]",[],0.001447
3,Repeater #497,"{""name"":""ÜÙÑÑçéÔ"",""id"":""tz1dAViAo8cXPAhLiDBkRwtsBaxZrDUW9BLx""}",op3xE4ub9B8jWshnTpgtx7JRwo1E6DZJLFEk3z8BLC7HUJZLh8J,"[{""price"":1010000000,""acceptedAt"":null},{""price"":555000000,""acceptedAt"":null},{""price"":800000000,""acceptedAt"":null},{""price"":5000000000,""acceptedAt"":null},{""price"":188000000,""acceptedAt"":""2022-01-09T00:35:50.000Z""},{""price"":888888000,""acceptedAt"":null},{""price"":888000000,""acceptedAt"":null},{""price"":505050000,""acceptedAt"":null},{""price"":1200000000,""acceptedAt"":null},{""price"":2222222200,""acceptedAt"":null},{""price"":1123112300,""acceptedAt"":null},{""price"":2020202000,""acceptedAt"":null},{""price"":696969000,""acceptedAt"":null},{""price"":1010101000,""acceptedAt"":null},{""price"":666666000,""acceptedAt"":null},{""price"":497497000,""acceptedAt"":null},{""price"":444444000,""acceptedAt"":null},{""price"":303303000,""acceptedAt"":null},{""price"":333333000,""acceptedAt"":null},{""price"":300000000,""acceptedAt"":null},{""price"":777000000,""acceptedAt"":null},{""price"":500000000,""acceptedAt"":null},{""price"":600000000,""acceptedAt"":null},{""price"":500000000,""acceptedAt"":null},{""price"":250000000,""acceptedAt"":""2022-12-15T23:26:14.000Z""}]",[],0.001447
4,Repeater #496,"{""name"":""idlebit"",""id"":""tz1LSjfgjLXmbp6VtPx7Tptxuh3Ljjbqj2Py""}",oonsrHdFD4KK5EE5E2hrPbee5kxWyzy5grRNhhKf3Se1K3YKw4x,"[{""price"":75000000,""acceptedAt"":""2021-12-15T16:21:36.000Z""}]",[],0.001447
5,Repeater #495,"{""name"":null,""id"":""tz1cAdLvxiQaFmCDpQaxBb8L9kfYgXqvL2Rq""}",opRSTFxSv5vrzJZvkh5pnxuzBzhNnreYvrUCxMaASSfgFffMeNs,[],[],0.001474
6,Repeater #494,"{""name"":""seventeenblack"",""id"":""tz2LXbRhJdbHCsG5S6BydPLFg3YFTaGmG69S""}",ooschyjDGsBUkCv7Ubgk3QdUAy6NCaGfuc7R8PUixP6mFFWPWAj,[],[],0.001447
7,Repeater #493,"{""name"":null,""id"":""tz1cAdLvxiQaFmCDpQaxBb8L9kfYgXqvL2Rq""}",opVwquoTV19m3cKTMx7NBrwRdYXfEfwZwWZLjPciLLshuw1nUJX,[],[],0.001466
8,Repeater #492,"{""name"":""Collektor"",""id"":""tz1iMAT1obCnntPpmief2g3MS2kNnDesqDs5""}",onhX9GjWjaENzGHYwmEGiY93EyxyqZyRKvLMSamiLRSn9R5qEn9,"[{""price"":30000000,""acceptedAt"":null},{""price"":29000000,""acceptedAt"":""2021-12-11T15:19:06.000Z""},{""price"":35000000,""acceptedAt"":null},{""price"":27000000,""acceptedAt"":""2021-12-11T18:05:06.000Z""},{""price"":100000000,""acceptedAt"":""2021-12-15T15:59:06.000Z""},{""price"":315000000,""acceptedAt"":null},{""price"":235000000,""acceptedAt"":""2022-05-10T18:14:14.000Z""}]",[],0.001474
9,Repeater #491,"{""name"":null,""id"":""tz1V3Yn92PycCij8CZpt4eeTb5GsRvrqjm6a""}",opKXsw484FZvGwan7GomqYWaGGC4fobxtdURmGkaU7ukSSkP3sH,"[{""price"":40000000,""acceptedAt"":null},{""price"":24000000,""acceptedAt"":""2021-12-11T15:03:36.000Z""},{""price"":199000000,""acceptedAt"":null},{""price"":125000000,""acceptedAt"":null},{""price"":144410000,""acceptedAt"":null}]",[],0.001474
