,name,minter,generationHash,listings,offers,gas_fee
0,Settler #104,"{""name"":""pixelwank"",""id"":""tz1fPR5U9vvCJMjfB5gFjgAGB2eD76arskGG""}",oo9tyAFDKHV76396yiJAs74Ahc6swZvrDjENbuPVR2FZeb96QDU,[],[],0.003841
1,Settler #103,"{""name"":""Explosive Panda"",""id"":""tz1RqPkTgvgdYAtqeWDm4McquWvSjNGZ9cqB""}",op9MrRXov3sjs6cjtpf2Lb7YXftUfBqspTQ9Rz8C5pWk1UNcQgY,[],[],0.004037
2,Settler #102,"{""name"":""bfos"",""id"":""tz1cbJ2fHK4Tv7yES7Tq9dc9k8gXArnk7DyE""}",op5EEAk39sXQrQXhe2LGLQHwrszQ1HwPHruoTGqotRz9ZaiKyJa,[],[],0.003807
3,Settler #101,"{""name"":""ChaosII"",""id"":""tz1im75yPLziXQq7vHRp56PoQP1XjC61m7Bn""}",opVk7Ae28MoSqzRWjdiNE1z3YDYWcBM1BPhK5C8vSaruApCyoUW,[],[],0.003807
4,Settler #100,"{""name"":""ghostbaby"",""id"":""tz1gbSJRBw2spyjRWB6oobbHB5KH9jtLvQgB""}",ongPaL91B7g3X2U9Uc2djfina9SFDkkE81RkKjK9YTpZ5Ta3FWF,"[{""price"":121000000,""acceptedAt"":null},{""price"":97000000,""acceptedAt"":null}]",[],0.003807
5,Settler #99,"{""name"":""ghostbaby"",""id"":""tz1gbSJRBw2spyjRWB6oobbHB5KH9jtLvQgB""}",op738j3TyGjwrBXAYn6Q1SNaKUxPULcZtrJUoVXRfTXy63kowfD,[],[],0.003807
6,Settler #98,"{""name"":""r.rodkin"",""id"":""tz1aiYi2RXc2xCpNwnAixWtVSwHKXzGU8SEn""}",op3DwisG9iAu62tzNSpV6UVNEaHEXAA1PtHiVrcdFrWf8BGX6bD,[],[],0.003841
7,Settler #97,"{""name"":""spacedebris.tez"",""id"":""tz1XnUuqs7A8vbS2YWR7UeqVkvJxgE7mzekH""}",opQjgnWUMvr3XaNJahoBV3e5TAgwznydnvyXB5ttiqs1HV4wzA9,[],[],0.003808
8,Settler #96,"{""name"":null,""id"":""tz1cqWGkNb7bpmm3pNJcZK1knKbCU3DpjZK6""}",oowU1ipuVPbu1LVdNPgfWXrTp3EyujY8nhbqsT3ZezGwbrfmeXV,"[{""price"":7000000,""acceptedAt"":""2022-12-15T01:46:44.000Z""}]",[],0.003691
9,Settler #95,"{""name"":""NZBR"",""id"":""tz1PBr7XHadaaWoJyC1KVZKRraUJ4RyGfFcz""}",ooLVSdT1CTM9ng462QHSBYvAKPrTcWT5YV3iQhs73bRn55yYuXN,[],[],0.003807
10,Settler #94,"{""name"":""NZBR"",""id"":""tz1PBr7XHadaaWoJyC1KVZKRraUJ4RyGfFcz""}",opU6Wifo39EgXk3Sm2ZHfNXueYFm49n9hoRChbLuPNm9jTM6qAc,[],[],0.003807
11,Settler #93,"{""name"":""Oinky"",""id"":""tz2NWFvGkQA1dGLWniDVS9Z4dkmB9nWjvLww""}",ooi3w31dHsnan9Jxy9Keq5h7NfZyPPhpdND5mbyzsY5PhiNPvPd,[],[],0.003841
