,name,minter,generationHash,listings,offers,gas_fee
0,Squiggly lines #15,"{""name"":""AnnaCarreras"",""id"":""tz1bjGah9KhGHuVGxuabQM2okXyafnPMxvhH""}",oobRXno86f251fXLx9GPwccwVsyk3HX5qz775UUU7KY2g2JXRzj,[],[],0.002682
1,Squiggly lines #14,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",oovoAPr7cU4LFmaCBaMPeU697BotdFMWsXAkfZEQN79WHJoyWup,"[{""price"":4000000,""acceptedAt"":""2022-11-06T21:18:29.000Z""},{""price"":55000000,""acceptedAt"":null},{""price"":55000000,""acceptedAt"":null}]",[],0.002736
2,Squiggly lines #13,"{""name"":""Cryptone"",""id"":""tz2R7mM9QtjsUsifaXSS5xx78NoW4YDALgiX""}",opWPYfrBDfXruvNrPFeEbEwfgYJZF8Hrd1iF2g63P6GGo1hWDQE,[],[],0.002695
3,Squiggly lines #12,"{""name"":null,""id"":""tz1XFcuRkFJ6FPvRvMdf8Xi6tMvFP6qnCprp""}",ooxtM55YPaA1B5TRKHFirS64vczGfQS9mhuMH4mwj425dyy9XL6,[],[],0.002578
4,Squiggly lines #11,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",oozLrhSjwhGtPE4ZJNVMPf9qYJs47NpHkowqHy2kgACAE3iGZs7,[],[],0.002736
5,Squiggly lines #10,"{""name"":null,""id"":""tz1KxnqxtAgRNCCw4Go3PSQhMnDypnXsZybi""}",opQNA6N831QjVkzN7wEigwDVgJB1BS7n3pLH6cYDjwwD4CnqsVx,[],[],0.002682
6,Squiggly lines #9,"{""name"":null,""id"":""tz1a6cLfzPyk9KRdy1uyZZri5PV4Tfm1TB6X""}",ooxx6jVBhks9PXACszMMGgab267Pv36RPBaTAhauewvpoxW19SV,[],[],0.002736
7,Squiggly lines #8,"{""name"":""nudoru"",""id"":""tz1hf7a8ueUyHvjAZ4VhxUGAnGfhvTmnffyw""}",opT8zvwRn4RDps7GqyBguRHoiqDcgjxzgV5uFuLuw5D9zs8nQng,[],[],0.002695
8,Squiggly lines #7,"{""name"":null,""id"":""tz1ZsmzfoEtGPamwXbAB14xf2oupBABsKCsE""}",opGpsb282hMmDBbPQ7sckqb912URVqkt4s6i6LP8FJG9jQfjafN,[],[],0.002682
9,Squiggly lines #6,"{""name"":null,""id"":""tz1ZsmzfoEtGPamwXbAB14xf2oupBABsKCsE""}",ood3cV51Nay6EtppLSaaBCH4zhGKGZmNUZjKy3ELfN9HLGc7wor,[],[],0.002682
10,Squiggly lines #5,"{""name"":null,""id"":""tz1ZsmzfoEtGPamwXbAB14xf2oupBABsKCsE""}",opDK9ZzaTLRpPStjdZd2W8R5XWesJ1FAHJXU67Qa6gs71ykM57N,[],[],0.002682
11,Squiggly lines #4,"{""name"":""j0rdan"",""id"":""tz1RxdMQhHoQKxmtwqEC8h5yLHVghHdEPqEk""}",ooSfWFLjr8jhKkjEftrDTrvhgwqe6QPDj3gWTHaCGbdNEKVFzs5,[],[],0.002695
12,Squiggly lines #3,"{""name"":""Liquidity Network"",""id"":""tz1UraXm8CyqneVqUawTppCAYF6zWkxcSsPr""}",ooqancJhbtucyxw1rcC1sNyp1rwQzCUuEvoCsu5R77P5QizxTKV,"[{""price"":26000000,""acceptedAt"":null},{""price"":26000000,""acceptedAt"":null}]",[],0.002682
13,Squiggly lines #2,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",ookMkxY3kFvYPfBwrpq4oxLm74J6zTveRG3QLbgsTHHeFV5TqHL,[],[],0.002784
14,Squiggly lines #1,"{""name"":""danieljulia.tez"",""id"":""tz1SpToaU7V2HkUJ3KjJmRFx9k2XFAJH5Sc6""}",opYA8iAinZqZHcH2TTb2yz9fX6YfpP81jjsB998puj1qzpxdZp8,[],[],0.002784
