,name,minter,generationHash,listings,offers,gas_fee
0,The City #333,"{""name"":""clod"",""id"":""tz1LWETrCgEunMm6Md5Q7sbCDCecSm53xoFT""}",ooEuqxchALb7KYH3kfDWJYChK2uDJvgGoQ6zZ5trLr9qgdZMt4a,[],[],0.004059
1,The City #332,"{""name"":""Laxraven"",""id"":""tz1N3wxmggKeyaAMpVsKZAZNGDUDq5vdPG5E""}",opQK2SRHc6YrEGejK6M8ASXS6sB17Ykcqa1vT5cS42Yk42Ff8E2,[],[],0.003941
2,The City #331,"{""name"":""r1b2"",""id"":""tz2Q5AmNP45Z5KMmeK7ZYdXyLMkbhz82n6fd""}",ooFE56a7eRYqs6cmC2uWD4aax2zrCaawmHHw3S18nhjSqDy5EXM,[],[],0.004059
3,The City #330,"{""name"":""Buy it if you can"",""id"":""tz1iPTBWXLmKbCx6w36UgR8CUTXQB5YCLRCF""}",ooovUQ4HCJ3dqEBC1CVs9MMuBxfNDMuWb61jZKyzdBVPyUyBRp6,"[{""price"":67000000,""acceptedAt"":null},{""price"":50000000,""acceptedAt"":null},{""price"":29000000,""acceptedAt"":null},{""price"":273000000,""acceptedAt"":null},{""price"":50000000,""acceptedAt"":null},{""price"":3555000000,""acceptedAt"":null}]",[],2.4
4,The City #329,"{""name"":""Nokia 110i"",""id"":""tz1iMPATE53Rda4LB2tYriPbdTvtU4JVzgbE""}",ooNxxZDM2Png15ufmcXkrAJvHf3mc49fvFomdLAJ5X2Xhysketv,"[{""price"":62000000,""acceptedAt"":""2022-10-25T17:14:44.000Z""},{""price"":100000000,""acceptedAt"":null},{""price"":135000000,""acceptedAt"":null},{""price"":150000000,""acceptedAt"":null},{""price"":125000000,""acceptedAt"":null},{""price"":110000000,""acceptedAt"":null},{""price"":98500000,""acceptedAt"":null},{""price"":90000000,""acceptedAt"":null},{""price"":60000000,""acceptedAt"":null},{""price"":72500000,""acceptedAt"":null},{""price"":80000000,""acceptedAt"":null},{""price"":55000000,""acceptedAt"":""2022-12-30T00:06:14.000Z""}]",[],2.4
5,The City #328,"{""name"":""Conan"",""id"":""tz1Ymvy7cV7pxcaZenvGngfcYiQLB72ZoSTX""}",opMY25RdQnsCj1A4NdqGxbwKY9nHLYXoXNZNft2fxK5qojRw2qE,"[{""price"":100000000,""acceptedAt"":null},{""price"":80000000,""acceptedAt"":null},{""price"":45000000,""acceptedAt"":null},{""price"":192000000,""acceptedAt"":null},{""price"":59000000,""acceptedAt"":null},{""price"":1022000000,""acceptedAt"":null}]",[],2.4
6,The City #327,"{""name"":""Pika Pika"",""id"":""tz1YLH1637HYSiTwr8LA93hwkGnzqW7CKPWf""}",opDGJYywxjC2QrBLHniNXM3Eo5hsX9wQU2p8ADWaMUf3KSAmrPL,"[{""price"":199000000,""acceptedAt"":null},{""price"":199000000,""acceptedAt"":null},{""price"":90000000,""acceptedAt"":null},{""price"":90000000,""acceptedAt"":""2022-10-26T04:58:14.000Z""}]",[],2.4
7,The City #326,"{""name"":null,""id"":""tz1WCJY9zcxq7cYc963K6aaxCKVt8gZMXUGd""}",opQ1zJj86DSf6drksXQqnVNACjwhaF2qUXrtPVwkAbRvWztAtFM,"[{""price"":60000000,""acceptedAt"":null},{""price"":50000000,""acceptedAt"":null},{""price"":46000000,""acceptedAt"":null},{""price"":40000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":null},{""price"":45000000,""acceptedAt"":null},{""price"":40000000,""acceptedAt"":null},{""price"":45000000,""acceptedAt"":null},{""price"":40000000,""acceptedAt"":null},{""price"":38800000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":""2022-10-27T19:09:14.000Z""}]",[],2.4
8,The City #325,"{""name"":null,""id"":""tz1VR2wnLAkXgKnJiYpajE6ZYSEoL5N38qNm""}",opH9DzdaEVAdp18BfFvNr5VTaDkJSS6WQSPxpaq2jwh8xqw8Ppz,"[{""price"":55000000,""acceptedAt"":null},{""price"":48000000,""acceptedAt"":null},{""price"":40000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":null},{""price"":50000000,""acceptedAt"":null},{""price"":45000000,""acceptedAt"":null},{""price"":40000000,""acceptedAt"":null},{""price"":45000000,""acceptedAt"":null},{""price"":40000000,""acceptedAt"":null},{""price"":38000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":""2022-10-27T09:43:44.000Z""}]",[],2.4
9,The City #324,"{""name"":""Anti Mage"",""id"":""tz1UMUr8Vd9Zb7vrcwjMLbZ1gUukKZwTM7Fc""}",ooyArzrNuPqj6NibbeV63zfWvee53GpVUcTdzBVRNkpVApUYHwT,"[{""price"":90000000,""acceptedAt"":null},{""price"":65000000,""acceptedAt"":null},{""price"":39000000,""acceptedAt"":null},{""price"":69000000,""acceptedAt"":null},{""price"":199000000,""acceptedAt"":null},{""price"":4463000000,""acceptedAt"":null}]",[],2.4
10,The City #323,"{""name"":""Holy Moly"",""id"":""tz1SdoRUPTLjbDQQQdbCKMLEShrQNbubHSiS""}",opFkWYBgPcCtSBWgEC2i3RHrXW9GLMHgyWP5iCU4khoLuXg18AK,"[{""price"":80000000,""acceptedAt"":null},{""price"":60000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":null},{""price"":55000000,""acceptedAt"":null},{""price"":265000000,""acceptedAt"":null},{""price"":2966000000,""acceptedAt"":null}]",[],2.4
11,The City #322,"{""name"":""Uchiha Sasuke"",""id"":""tz1SX3gdbisRxAg7dzWkHkerN8vK3aeuu1DN""}",op5PQJmAtHbw4Tge5XzBVg2kUyA2nLy2oYJxE2jC1EEqP38xTxG,"[{""price"":60000000,""acceptedAt"":null},{""price"":40000000,""acceptedAt"":null},{""price"":31000000,""acceptedAt"":null},{""price"":27000000,""acceptedAt"":""2022-10-26T02:57:14.000Z""}]",[],2.4
12,The City #321,"{""name"":""Expensive petro"",""id"":""tz1NsEsLrJHoPqd6NnRbxfAyUncjEsDcPvsR""}",opDJWHBQQ2Af1MBxKs5VsaermytpsHnpyb8CtXeKComPk9L6qmg,"[{""price"":555000000,""acceptedAt"":null},{""price"":555000000,""acceptedAt"":null},{""price"":100000000,""acceptedAt"":""2022-10-26T03:00:14.000Z""}]",[],2.4
13,The City #320,"{""name"":null,""id"":""tz1NMuTqbLE2pxmbwET4k2HNeSU3Crj5XGbX""}",onkBhL64w9DPSd2fXSYDp4CqZ8g4P8kB8mVBsuGL8M3KUQuy8EF,"[{""price"":55000000,""acceptedAt"":null},{""price"":50000000,""acceptedAt"":null},{""price"":46000000,""acceptedAt"":null},{""price"":40000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":""2022-10-26T02:59:14.000Z""}]",[],2.4
14,The City #319,"{""name"":""otaku"",""id"":""tz1fQWvoT1SL9K518tzf3miJ1DtXGN7DYdoD""}",ooYp6ReAZBXnLJxHWu31iM1BY9tTtP2hBaof3tKxPHnqpwbDMWD,"[{""price"":64000000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":null},{""price"":30000000,""acceptedAt"":""2022-10-25T23:13:14.000Z""}]",[],2.4
15,The City #318,"{""name"":""mamram"",""id"":""tz1YrPfKcuwgQFYoyZUVe36dcSUghMb9CEFb""}",ooKpdxugBtKGeHMde65oq2CkndxZZCdv8CwgbhKka9yGc1M9J2Z,"[{""price"":68000000,""acceptedAt"":""2022-10-25T17:16:44.000Z""}]",[],2.4
16,The City #317,"{""name"":null,""id"":""tz1hKq7ufbAhoUUF6cZT2WoNJikAGbHCjyBi""}",oo9znMFYHzcxFHuJTjYTmAuYzBvcvxHrcdwvdsHjrrCd9qeijTT,"[{""price"":51900000,""acceptedAt"":null},{""price"":53480000,""acceptedAt"":null},{""price"":45300000,""acceptedAt"":null},{""price"":33980000,""acceptedAt"":""2022-10-29T04:47:29.000Z""}]",[],2.42
17,The City #316,"{""name"":null,""id"":""tz1SnFuUCJTUzHNE4ZWYYzc8ZsVktxKXrksk""}",ooGtcXHMBXaRAm5WMFfyFGGyqArF3nBHJq8C5HW6tJ3idegNcsX,"[{""price"":51900000,""acceptedAt"":null},{""price"":54980000,""acceptedAt"":null},{""price"":30980000,""acceptedAt"":null},{""price"":29980000,""acceptedAt"":""2022-10-31T15:32:29.000Z""}]","[{""price"":18000000,""acceptedAt"":null}]",2.42
18,The City #315,"{""name"":""mintdingo.tez"",""id"":""tz2WbfazkesHc5pTLDbFPzBMRNPmjfFhLtkC""}",ooKN8wGdgnu6eqXbBHGmQkv9eJzsYR24aat7j7iAwTDeARrj2d3,"[{""price"":85000000,""acceptedAt"":null},{""price"":59000000,""acceptedAt"":null},{""price"":52500000,""acceptedAt"":""2022-10-26T03:39:44.000Z""},{""price"":88000000,""acceptedAt"":null},{""price"":75000000,""acceptedAt"":null},{""price"":125000000,""acceptedAt"":null},{""price"":77000000,""acceptedAt"":null},{""price"":60000000,""acceptedAt"":null},{""price"":75000000,""acceptedAt"":""2022-12-30T00:25:29.000Z""}]","[{""price"":27000000,""acceptedAt"":null},{""price"":49000000,""acceptedAt"":null}]",3.0
19,The City #314,"{""name"":""tulalit"",""id"":""tz2UL9PXHxRGZpShwQ47dNW3L13Lfzuc7wDT""}",onynFkPhSoMASxQVCfkZ4LGSa1S9ZtxC1xEEKRFtsqTuH7qWWyX,"[{""price"":56780000,""acceptedAt"":null},{""price"":43210000,""acceptedAt"":null},{""price"":28000000,""acceptedAt"":""2022-10-26T03:07:14.000Z""}]",[],3.0
20,The City #313,"{""name"":""Make FXhash Great Again!"",""id"":""tz1ZvvxMvCHejMFuNeGWS1A33MSMTtxAcAyM""}",oosHzXea6N9ZCeHno7N9KCy4sJtWh5sHCEZVrFh57TJTtb1g5ko,"[{""price"":55000000,""acceptedAt"":null},{""price"":45000000,""acceptedAt"":""2022-10-25T17:12:44.000Z""}]",[],3.0
21,The City #312,"{""name"":""silk"",""id"":""tz1cyArB4tsLzcJCFTEKj81J2Q6kNjtL4bPS""}",op5gDqVULu6nrqn1A5pLpUzyY46JWquJ7mMGMuQmggJNMNbvgUR,"[{""price"":31200000,""acceptedAt"":null},{""price"":27000000,""acceptedAt"":""2022-10-25T19:15:44.000Z""},{""price"":70000000,""acceptedAt"":null},{""price"":50000000,""acceptedAt"":null},{""price"":39000000,""acceptedAt"":null},{""price"":37000000,""acceptedAt"":null},{""price"":34000000,""acceptedAt"":null},{""price"":47000000,""acceptedAt"":null},{""price"":37000000,""acceptedAt"":""2022-12-30T00:25:59.000Z""}]",[],3.0
22,The City #311,"{""name"":""Birbman.tez"",""id"":""tz1c1T62BqhmNbpz13uE7gGsWc7qo8uEj4z1""}",opDVEQQwJq2CK3KbDdw3Pvi1m9EDUc7MZNz3eXNedc64jy7Lp2F,[],[],3.0
23,The City #310,"{""name"":""Bad Daddy"",""id"":""tz1ZHaSG6KNWctBLF22Md2PbpNiVW7KKkFb4""}",oozU9J3EWQ37TAPerXE4EVgkXGdNeBsqYhqPmwwHQeCWsDRcppZ,"[{""price"":50000000,""acceptedAt"":null}]",[],3.0
