,name,minter,generationHash,listings,offers,gas_fee
0,VHX-1 #128,"{""name"":""Jimi Wen"",""id"":""tz1cJQj4x2mijkmYC85tbKFSwisNUFoqy1o9""}",op4wxe2NAHmDX1aXcvi1yn8HqR9TsgHDPmZhrb4sYjQtsHEgAei,[],[],0.003958
1,VHX-1 #127,"{""name"":""whitekross"",""id"":""tz2CeapCYrWMZ7jSruo7KJevabwboqHjiwsQ""}",opPXqhnANBVuE7pco8CjdPxep1gJuVjCmBfMBhBG9kiDtp1HHxT,[],[],0.003958
2,VHX-1 #126,"{""name"":""bfos"",""id"":""tz1cbJ2fHK4Tv7yES7Tq9dc9k8gXArnk7DyE""}",ooWUFT1QRiLMjJGXAfagPsAPWqStG2ziZBVKaKzQAUGCyG9ZVRr,[],[],0.003803
3,VHX-1 #125,"{""name"":null,""id"":""tz1awH58Vrh2jp3SeHf92mcp3gk9ejwrn6r9""}",ooV3LXYzjqJL1GjJUqGirz7WYJwdniHQ4wJEjRyBAB6mX6nGLui,"[{""price"":35000000,""acceptedAt"":null},{""price"":24000000,""acceptedAt"":null},{""price"":17500000,""acceptedAt"":null},{""price"":15000000,""acceptedAt"":""2022-10-27T05:47:29.000Z""}]",[],0.003803
4,VHX-1 #124,"{""name"":""Ascallon"",""id"":""tz1QWpRs3mfYgZcaG62krPcACSeQLS4uV1WB""}",opTMeSbnFCEADJKyxJPBfGxaREbCKWchrhmr6D3GnaDeohjFTPf,"[{""price"":30000000,""acceptedAt"":null},{""price"":21000000,""acceptedAt"":null},{""price"":18000000,""acceptedAt"":""2022-10-28T20:25:14.000Z""}]",[],0.003803
5,VHX-1 #123,"{""name"":""FFFFLOOD.tez"",""id"":""tz1LVUrnCK1DpB4YDhz2JGZcq5RxJDvdTnzh""}",oosypWLG6ftPER858jQxvAohY7kvVWXaX1emC7D69PkXYPttFoE,[],[],0.003803
6,VHX-1 #122,"{""name"":""VIKTORIYA"",""id"":""tz1iRs4xScM3dZM8mY4fjDNTkE2fU3cD4bkN""}",opKmCNWpJ6RMS6cscg4SoV567xfqob6zcLfnPNTKpNVDMaA6CT2,"[{""price"":122000000,""acceptedAt"":null},{""price"":42200000,""acceptedAt"":null},{""price"":32200000,""acceptedAt"":null},{""price"":20900000,""acceptedAt"":null}]",[],0.003945
7,VHX-1 #121,"{""name"":""CAT ART"",""id"":""tz1hmh4p8Zn7XMYG8EjXCajBuAf4YmxGkWLS""}",onhZz5NtJaBPx5kwx8pZaV3TmbvbLpyrcZdAK8Ymuqpn5Z9awzG,"[{""price"":18800000,""acceptedAt"":null},{""price"":35000000,""acceptedAt"":null},{""price"":33000000,""acceptedAt"":null},{""price"":27900000,""acceptedAt"":null},{""price"":39000000,""acceptedAt"":null},{""price"":24900000,""acceptedAt"":null},{""price"":44000000,""acceptedAt"":null},{""price"":33000000,""acceptedAt"":null},{""price"":19800000,""acceptedAt"":null},{""price"":19800000,""acceptedAt"":null},{""price"":19900000,""acceptedAt"":null},{""price"":19900000,""acceptedAt"":null},{""price"":19000000,""acceptedAt"":null},{""price"":19000000,""acceptedAt"":null},{""price"":18880000,""acceptedAt"":null},{""price"":18880000,""acceptedAt"":null},{""price"":18880000,""acceptedAt"":null},{""price"":49000000,""acceptedAt"":null},{""price"":33000000,""acceptedAt"":null},{""price"":66000000,""acceptedAt"":null}]",[],0.003945
8,VHX-1 #120,"{""name"":""thehood"",""id"":""tz1Xu4PxeJccmvrXEtx8ybTC2HxndNxT4858""}",onwygPM59w7dRYost6Sj2jxFvYDNekv7JB1DhAPQU5FchUsGuvh,"[{""price"":57110000,""acceptedAt"":null},{""price"":64110000,""acceptedAt"":null},{""price"":44110000,""acceptedAt"":null},{""price"":24110000,""acceptedAt"":""2022-12-01T19:41:14.000Z""}]",[],0.003945
9,VHX-1 #119,"{""name"":""Krpdm"",""id"":""tz1WSPRrHwF97xkMfJM3jQsVHkqPfQvwSZpW""}",onfDBN7QcsZyZfbuXJKaM3xeJBWWqeGRrxq6gSrv12kMjYNgxF7,[],[],0.1
